,cid,votes,time,含fake,含fake中文翻译
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,3 years ago (edited),"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
4233,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9STnLfU3qNM,47,1 year ago,@miukeefeng4951 so u telling me all of these videos are fake lifestyle,@miukeefeng4951，所以你告诉我所有这些视频都是假的生活方式
33776,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2JTvzeW-S,42,4 years ago,"justicefornichole hmm, i wouldnโ€t say the entire thing is faked. but i do think that the video only shows the positives of living in rural areas (which gives people a false/delusional sense of what itโ€s really like to live in the rural areas).",JusticeFornichole嗯，我不会说整个事情都是假的。但是我确实认为该视频仅显示了生活在农村地区的积极因素（这使人们对生活在农村地区的真正感觉有着错误/妄想的感觉）。
17925,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv984__odmlEJ,25,3 years ago,no disney are a bunch ok fake. their use meaghan markel to talk about elephants. they are so many people who have spend their life to protect them and that has so much more knowledge. disney doesn’t care it just a money thing.,没有迪士尼是一个伪造的。他们使用Meaghan Markel谈论大象。他们有很多人一生来保护他们，并且拥有更多的知识。迪士尼不仅仅在乎这笔钱。
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
26126,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-06TkIai9_,20,3 years ago,"@user-sc8cy5qc6e it doesn't matter if her videos are fake or real, what matter is the positive vibes it brings to it viewers. real life is very stressfull and suffocating watching her videos make us calm and happy and it doesn't matter if she makes billions or trillions out of it.",@user-sc8cy5qc6e她的视频是假的还是真实的，它带给观众带来的积极共鸣。现实生活中的压力很大，看着她的视频令人窒息，使我们平静而快乐，无论她赚了数十亿美元或数万亿美元都没关系。
13412,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CQOhatxrbL,19,2 years ago,"@kaikujawa6063 hehe everything about china has to have a hidden agenda,everything good about china has to be fake or controlled by the government, you know better than our people, even than herself? who's brainwashed? stop making these irresponsible comments that only show your stupidity.",@kaikujawa6063 hehe关于中国的一切都必须有一个隐藏的议程，关于中国的一切都必须是伪造或由政府控制的，您比我们的人民更了解，甚至比她自己更了解？谁洗脑了？停止发表这些不负责任的评论，只会表现出您的愚蠢。
33779,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2m0SsWpiH,19,4 years ago,"@kathaleenwood2426 ugliness is two drug addicts murdering a young woman, then cutting her body up and dumping it in a river. which is what happened to nichole. now ... people like you can watch this video and not understand that it is highly produced, that she is deceiving her followers. you have clearly not read through the comments on her videos where people are putting themselves down and judging themselves against this fakery. i have watched many how-to videos on yt and they don't lie to their followers. they show how long it actually takes to make things. they show how dirty you get when you do probably 75% of the things she does. idgaf, she'll eventually be exposed but people will follow her anyway because they'd rather have her fake feel-good life rather than deal with real, difficult things like nichole alloway's murder.",@kathaleenwood2426丑陋是两个吸毒者谋杀一名年轻女子，然后将她的身体倒在河里。尼科尔发生了什么事。现在...像您这样的人可以观看此视频，并且不明白它是高度生产的，她在欺骗她的追随者。显然，您没有阅读她的视频评论，人们将自己放下来并判断自己反对这个伪造的评论。我已经在YT上观看了许多操作视频，但他们不对追随者撒谎。他们表明实际需要多长时间。他们表明，当您做她所做的事情的75％时，您会感到多么肮脏。 IDGAF，她最终会暴露出来，但无论如何人们都会跟随她，因为他们宁愿拥有她的假感觉，而不是处理像Nichole Leceray的谋杀案这样的真实，困难的事情。
27203,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zdf4-nV-Io,17,3 years ago,"@oshadiamarak0on237 as far as i know, it is real. it's impossible to fake things since she's very famous now.",@oshadiamarak0on237据我所知，这是真实的。由于她现在很出名，因此不可能伪造东西。
