,cid,votes,time,含pretty,含pretty中文翻译
23863,Ugw3Cxr5gIo_5_pT_454AaABAg,221,3 years ago,i’m pretty sure she made enough food to feed the film crew too!,我很确定她也做足够的食物来喂电影工作人员！
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,2 years ago,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
28552,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zF7j7MJpc7,71,3 years ago,@franzpeters3824 nothing to do?... i can see she is working hard... and she posting videos which watch by over 1 million people.. and she get a pretty nice income...,@franzpeters3824无所事事吗？...我可以看到她正在努力工作...她发布了一张超过100万人的视频。
28273,Ugztn_zvZAGmFpPy9mx4AaABAg,45,3 years ago,those rose garden is so pretty,那些玫瑰花园是如此漂亮
16587,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92vf7xJoD1c,44,3 years ago,pretty sure its her that's recording this... she's out in the wilderness. she's not in the city paying a photographer to film her.,可以肯定的是，她正在记录这一点...她在旷野。她不是在城市付给摄影师拍摄她的城市。
25907,Ugwwm1OnvPfUP_o1FNR4AaABAg,44,3 years ago (edited),"grump in the house!

oh wow this is amazing and so beautifully shot. that woman is very pretty too.","在屋子里脾气暴躁！

哦，哇，这真是太神奇了，很漂亮。那个女人也很漂亮。"
22395,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-IJdmx0zwj,41,3 years ago,"pretty sure after she finish recording all the video, she go right back into her room which have a 10000usd high end pc plus ac and do wt ever she want",可以肯定的是，她录制了所有视频后，她就回到自己的房间，那里有10000 usd High End PC加上AC，并且她想要的是WT
19944,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91r-fVStewz,41,3 years ago,@ashoretoo i'm pretty sure it is jealous city women who disliked this. they're probably jealous that a hard working country girl can also look this pretty and maybe even prettier than themselves.,@ashoretoo我很确定是嫉妒的城市妇女不喜欢这个。他们可能嫉妒一个努力工作的乡村女孩也可以看起来很漂亮，甚至比自己更漂亮。
3471,UgyTXA9v0XHnuPKGjIV4AaABAg,24,2 years ago,"what i like the most about ziqi's videos: 1. she is so pretty and pleasant to look at; 2. the food looks so beautiful; 3. the countryside, the environment... everything in her videos, from the person to the environment, are just so beautiful and pure. i am glad that there are no men in her videos except the occasional appearance of the camera man.",我最喜欢Ziqi的视频：1。她看起来很漂亮和愉快； 2.食物看起来很漂亮； 3.乡村，环境...从人到环境的视频中的所有内容都是如此美丽和纯洁。我很高兴她的视频中没有男人，除了偶尔的摄影师外观。
26999,UgySTRxH_M-qBYqsoGx4AaABAg,20,3 years ago,"i visited in a korean news article. the video is really pretty, and she is also quite beautiful. the whole green-colored video is really amazing. it's a comfortable video to watch.",我在韩国新闻文章中访问了。该视频真的很漂亮，她也很漂亮。整个绿色视频真的很棒。这是一个舒适的视频。
