,cid,votes,含dream,含dream中文翻译
28236,UgzFSH_E5j37KtyOwAJ4AaABAg,393,everything she has is reusable or can be given back to the earth. i love this channel. it's everything we can only dream for the world to be.,她拥有的一切都是可重复使用的，或者可以归还地球。我喜欢这个频道。这是我们只能梦dream以求的一切。
12156,UgycBYapKu7TH6vb3Ed4AaABAg,272,"my dream is to one day have a garden where i can grow plants, flowers, herbs and food for my family. her and grandma must be so happy. all that nature around them and the nutritious food to nourish them",我的梦想是有一天有一个花园，我可以在这里为家人种植植物，鲜花，草药和食物。她和奶奶一定很高兴。他们周围的所有大自然以及营养丰富的食物以滋养它们
6903,UgzhLfv10DLOfN-W8Xl4AaABAg,197,"this is the life thanos dreamt of, after his retirement...",这是塔诺斯（Thanos）的生活，他的退休后梦dream以求...
23135,UgyEjxiRcAoQo1Ge5NJ4AaABAg,130,honestly that big wok looks like a dream to cook with,老实说，大炒锅看起来像是一个梦的梦想
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
24858,Ugztyhladsn-4Os-RXR4AaABAg,64,i absolutely love bamboo! my dream is to have a bamboo forest like that in my backyard!,我绝对喜欢竹子！我的梦想是在我的后院拥有这样的竹林！
3682,UgwsRhvlQoSzrLQbHIh4AaABAg,47,"seems like i was in a dream for a moment. this background, her yard, flowers, jungle & specially she heals me up",好像我在梦中有片刻。这个背景，她的院子，鲜花，丛林和特别是她治愈了我
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
24900,UgxnmzxyolLKwv4xRT14AaABAg,41,"this beautiful girl lives my dream everyday of her life , what a peace providing video ! i felt like i was on a journey of my dreamland. thanks",这个美丽的女孩过着我一生中每天梦想的梦想，这是一个提供视频的和平！我觉得自己正在梦境。谢谢
26333,UgyH1cVx3GC5Do489rR4AaABAg,38,like my dream home :) that is a lot of trees a lot of vegetables and can also make a garden be,就像我梦dream以求的家:)那是很多蔬菜，也可以使花园成为
15930,UgygE8WIABCx8lI4oB94AaABAg,31,i'm here to see how many boy dreams a wife just like this girl!,我在这里看看有多少男孩像这个女孩一样梦见一个妻子！
32644,UgyAt-e9reVsP9Jq8QR4AaABAg,29,"i was healed today too!
i dreamed of living like lezuchie.
i want to fulfill it in about 3 years","我今天也得到了治愈！
我梦见像勒齐（Lezuchie）一样生活。
我想在大约3年内实现它"
13989,UgxQ0ijZvbspl30fZHd4AaABAg,28,she is living my dreams!!! their way of life is beautiful and perfect!!! the way god meant it to be for us all !!!,她正在实现我的梦想！！！他们的生活方式是美丽而完美的！！！上帝意味着对我们所有人的意义！！！
16786,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92zrvrZ1LXm,24,"@tehkettybear you definitely know a lot about china, i appreciate that.
i just have to remind you 2 things:
1. she's not filming documentary, it's an art work based on her dream of life
2. she's not actress, she's actually filming her hometown. they're real: the house, granny, field, and her personality, her willingness to learn skills on various works.
those real things add up to a seemingly unreal event, just because we can't do it doesn't mean she can't. i think she deserves this fame.","@tehkettybear，您肯定对中国有很多了解，我很感激。
我只需要提醒您2件事：
1.她不是在拍摄纪录片，这是基于她的生活梦想的艺术作品
2.她不是女演员，实际上是在拍摄自己的家乡。他们是真实的：房子，奶奶，田野和她的个性，她愿意学习各种作品的技能。
这些真实的事情加起来似乎是虚幻的事件，只是因为我们做不到，并不意味着她不能做。我认为她值得这个名声。"
32751,UgxAABEpc-SAO_QNBaZ4AaABAg,11,"my dream house is her house.
somewhere far from the city. surrounded by nature and most of all, i have a garden of my own.","我梦dream以求的房子是她的房子。
远离城市的地方。被大自然所包围，最重要的是，我有一个自己的花园。"
18151,UgxiEYmBX-jwCkXfBhd4AaABAg,10,"awesome. it turned out to be crying. many pictures cross time, and quiet flowing. can smooth a lot of folds in my heart. this is the dream of life.",真棒。竟然看哭了。很多画面穿越时间，安静的流水过去。可以抚平很多心上的褶子。这是梦寐以求的生活。
16493,UgyWHD1EvYlAnYUpcO94AaABAg,9,this is the natural way of life style i’m dreaming for,这是我梦dream以求的自然生活方式。
6408,UgxEDNhrOohMPRbIwMt4AaABAg,9,she is living the life of my dreams,她过着我梦的生活
25683,UgyW7ZBe9WNP-0nzZWR4AaABAg,9,"love is a condition that a person goes through once in life, never repeated .....
when you love, you change, change your features other than the ones you are used to .. and your voice becomes like tunes when you speak to the one you love ...
and that condition is related to the person you love and who seeks to live with your life and dreams with him
and when you lose it, you lose all life even if your life penetrates another person, it is a pain reliever and not an endless love. ..... !!","爱是一个人生活一次，从未重复过的条件.....
当您爱时，您会改变，更改您习惯的功能。
这种情况与您所爱的人以及试图与您的生活一起生活和与他的梦想有关
而且，当您失去它时，即使您的生活渗透到另一个人，这是一种止痛者，而不是无尽的爱。 ..... !! !!"
11401,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97usPt5z3Qd,8,"logicone lol poor you. that’s not a movie set as you tried hard enough to claim. you research ability, if you have any, is poor enough as a hater. check that house from her old videos. that dream garden is made from scratch. it was not beautiful at first. it’s her grandparents’ house. check more info online, if you know how, then you should know she moved back there to take care of her sick grandmother and started to make the house different. if you did even more research, you would know there have been already people checking her life and the house by using the drone and monitors in that small village, disturbing her grandmother’s and her peaceful life, just like stalkers, which almost made her try to move to other places if it were not rejected by her granny since that’s where she has lived for tens of years. if you did know what a “research” is, you should also know there is an interview from sina news, which gives people an quick tour of how her dream garden looks like. 

and you claimed you did research... lol","逻辑大声笑可怜你。这不是一部电影，因为您努力地索要声称。您的研究能力（如果有的话）作为仇恨者足够贫穷。从她的旧视频中检查房子。那个梦想花园是从头开始的。起初它并不漂亮。这是她祖父母的房子。在线检查更多信息，如果您知道如何，那么您应该知道她搬回那里照顾自己的祖母，并开始使房子与众不同。如果您做了更多的研究，您会知道有人在那个小村庄里使用无人机和监视器来检查她的生活和房屋，这使她的祖母和和平的生活都像缠扰者一样，这几乎使她试图尝试如果她没有被她的奶奶拒绝，那就搬到其他地方，因为那是她已经生活了数十年的地方。如果您确实知道“研究”是什么，那么您还应该知道，新闻新闻的采访，这使人们可以快速参观她的梦想花园的样子。

你声称自己做了研究...大声笑"
6338,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9F3c0x3_LBF,8,your dream will come true,你的梦想成真
4987,Ugw0WgwizNuKan2MLq14AaABAg,6,"it's awesome, a beautiful lifestyle. this is my dream lifestyle.",太棒了，一种美丽的生活方式。这是我梦dream以求的生活方式。
19489,UgzaKfXhcX0d1zjU9Rd4AaABAg,5,i feel like i could only dream of finding a woman like this,我觉得我只能梦想找到这样的女人
22405,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-wbU9qHbcD,5,"she picks up something in chinese culture to show everyone, most chinese knows she shows a “taoyuan” dream in everyone’s heart.",她在中国文化中捡起一些东西来向所有人展示，大多数中国人都知道她在每个人的心中都表现出“作魔法”的梦想。
33196,UgxvN624pp-e8k2o7CZ4AaABAg,5,"this is the life i wanna live, my dream 
away from technology and social media","这是我想要生活的生活，我的梦想
远离技术和社交媒体"
19906,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91pWGmfQEpR,4,tab khe she looks to be the best daughter or daughter in law that every mom or mil dreams of.,Tab Khe看起来是每个妈妈或MIL梦想中的最好的女儿或女儿。
10478,UgwTMSfolfY1sLzJ4A14AaABAg,4,it's so relaxing to watch. and also makes me dream of being there,观看真是太放松了。也让我梦想在那里
