,cid,votes,含nature,含nature中文翻译
30068,UgwuZpYWUJmsZqmhdLh4AaABAg,4000,she has puppies and lambs and other farm animals following her. she is one with nature. she's a disney princess.,她随后有小狗，羔羊和其他农场动物。她是大自然的人。她是迪士尼公主。
32675,Ugy800mmFiW5Y1YrP-N4AaABAg,3400,"100% unique cooking
99% nature 
100% relaxing music 
120% beautiful girl and with her talent
30% animal


yeah i'm done","100％独特的烹饪
99％的性质
100％放松音乐
120％美丽的女孩和她的才华
30％动物


是的，我完成了"
32469,UgyIxvPyiC8eDoOzRfB4AaABAg,2300,this woman knows everything. huge respect for keeping nature close at hand. you are a beautiful being ๐’•,这个女人知道一切。对保持大自然的巨大尊重。你是一个美丽的人
33749,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vJkqbFTH5R,882,"@ingestrauss3826 seems our idea of success, doesn't coincide with health and happiness too well. we are working for the man and government (which i thought was the other way around), period. most of us will not be as financially successful as we'd like. in the process we've are ruining nature, instead of protecting it, and letting it provide it's best for us to live and enjoy.",@ingestrauss3826似乎是我们成功的想法，与健康和幸福不太吻合。我们正在为人类和政府工作（我认为这是相反的时期）。我们大多数人不会像我们想要的那样成功。在此过程中，我们正在破坏自然，而不是保护自然，并让它为我们的生活和享受提供最好的生活。
12038,UgzUQiRfalSMHAk6GbN4AaABAg,531,why are we going to war when there is so much to enjoy peacefully from mother nature?,当大自然母亲和平享受这么多享受时，我们为什么要战争？
20901,UgxbKRpBovS4jA6rNqJ4AaABAg,395,she is so connected with nature like any human supposed to be. sad that we totally lost our connection with nature and its raw energy. that's why we are angry and depressed in the cities.,她像任何人类一样与自然有联系。可悲的是，我们完全失去了与自然及其原始能量的联系。这就是为什么我们在城市中生气和沮丧的原因。
6778,Ugxcg1YecqZ1udNnT4V4AaABAg,360,the best life a human can possibly live in harmony with nature....,人类可能与自然和谐相处的最好的生活。
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
6265,Ugx8nG2qhN8UfEgsh5R4AaABAg,301,"imagine how beautiful is to have a life like this. living in harmony witg nature,no social media,so there is no insecurities or body shaming,just care about you and the biotic organisms around you,life will be at its best.",想象一下，拥有这样的生活有多美好。生活在和谐的维格大自然中，没有社交媒体，因此没有不安全感或身体羞辱，只是关心您和周围的生物生物，生活将处于最佳状态。
26996,UgyUuyuyl9JkP3v5kA54AaABAg,286,is this the real life version of studio ghibli's ? a life so simple and beautiful nature it brought tears to my eyes t_t,这是吉卜力工作室的现实生活版吗？生活如此简单和美丽的自然，使我眼中的眼泪T_T
43470,Ugzo1FOEREGiFyITaGd4AaABAg,283,"she should become the brand ambassador of the united nations framework convention on climate change (unfccc). she is inspiring millions of people around the globe to opt for more sustainable and organic living. i wish and pray that her efforts reach larger and larger audience with each passing day and she becomes an agent of great changes in future! 

she is the daughter of nature! 
long live the princess !

love :-)","她应该成为《气候变化》（UNFCCC）的联合国框架大使的品牌大使。她激发了全球数百万的人，以选择更可持续和有机的生活。我希望并祈祷她的努力每天都在吸引越来越多的观众，她成为未来发生巨大变化的代理人！

她是大自然的女儿！
公主万岁！

爱 ：-）"
13990,UgxgLDqPkeX2Oh7ZgbJ4AaABAg,205,"she lives in a place like heaven... blessed with nature, spared by humans",她住在一个像天堂这样的地方...充满了自然，被人类所幸免
23217,UgynvQ_4Iapdjw7-dQF4AaABAg,94,ppl who disliked it has no connection with nature and god,不喜欢它的人与自然没有关系
9712,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9H-bByCbp4x,90,"in my humble opinion maybe it's because by default we humans used to live like that way, to peacefully co exist with our surroundings. we're trapped in a society where we live for work and superficial power and success. maybe we just gotta accept that those things weren't really our nature but to rather live peacefully just like her would be much more fulfilling eh?",我的拙见，也许是因为默认情况下，我们人类曾经像这样生活，与周围环境保持和平。我们被困在一个生活，肤浅的力量和成功的社会中。也许我们只能接受那些事情并不是我们的本性，而是像她一样和平地生活，就像她更充实吗？
4950,UgzC97-HLWTIURvWxc94AaABAg,86,"thank you for giving up for your hard work and insisting on being harmed by gossip
dig in the ordinary life and the beauty of life and nature
i also look forward to this video exceeded 1 billion","感谢你一直努力 坚持 没有被流言蜚语伤害而放弃
在平凡的生活中 挖掘着生活和自然的美好
也期待这个视频突破一个亿"
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
36593,UgzQNc8ceqoOm2ZnvXl4AaABAg,74,"beautiful to watch the process, and encouraging. life is harder but more valuable when we work with nature (earth's bounty) instead of against it.",美丽地观看过程和鼓励。当我们与自然合作（地球的赏金）而不是反对时，生活更加艰难，但更有价值。
7241,UgxFdqS9tk_KLbCJMhd4AaABAg,74,"nature loves her. whatever she touches, it turns into a gold...",大自然爱她。无论她接触什么，它都变成了金子...
32980,UgytxdEvkOgBuBCs6CN4AaABAg,69,so this is literally harvest moon back to nature girl edition ๐‘ฉโ€๐พ,所以这实际上是收获月亮回到自然女孩版
15678,UgzRD_h-oSYNTld1II54AaABAg,64,she told me how to make those food from nature materials. we grow up in city and only know buy food from supermarket,她告诉我如何从自然材料中制作这些食物。我们在城市长大，只知道从超市购买食物
3545,UgyjQEf8f2BxUGAs1oN4AaABAg,63,"how i wish i could live with ms lizqi for a week, to enjoy nature, her cooking and her friendship. i simply love her channel. nothing compares.",我希望我能和利兹女士一起生活一个星期，享受自然，烹饪和友谊。我只是爱她的频道。没有任何比较。
29927,Ugzqygpa7z5-mKY8azh4AaABAg,63,"i really love the nature around you so much, wonderful girl

wish you good health!","我真的很喜欢你周围的大自然，很棒的女孩

祝你身体健康！"
16845,Ugye3sesHYiU8p75_dd4AaABAg,50,"this life is commendable for innumerable reasons. it is self-sustainable (which is something we can only wish we had), there are healthy and nutritious food options provided by nature's bounty, there is little to no need of harmful chemical-based products, and more importantly all the members of the ecosystem are benefitted. i hope people realize just how wonderful living like this is.",由于无数的原因，这一生活值得称赞。它是自我维持的（这是我们只希望拥有的东西），有自然的赏金提供的健康且营养的食物选择，几乎不需要有害化学物质的产品，更重要的是所有成员生态系统受益。我希望人们意识到这样的生活多么美好。
35376,UgytzIfdHGD_NUIqrfx4AaABAg,49,my dream lifeโคat peace in the mountain with the nature๐ญ.,我梦dream以求的生活是在山上与大自然的和平。
4138,UgwFwTgWme_yL7LQ6tR4AaABAg,47,"if i can live with here, my age probably be over 100 years! i love the nature around her home... especially the natural and fresh foods. good luck for you!",如果我能在这里生活，我的年龄可能超过100年！我喜欢她家周围的大自然……尤其是天然和新鲜食品。祝你好运！
22113,Ugz_rMHrYJ9bOe3QpG94AaABAg,44,"she's living the real life. while we all are here gossiping ,scamming ,runnin after money .hurting each other .political issues. she's living the life that i wish i had ,one with nature .all the freshness around her....i really love and admire her hard work ๐ข๐ข๐ข๐ง๐๐",她过着现实生活。虽然我们所有人都在这里闲聊，骗子，奔跑，互相抚养。政治问题。她过着我希望的生活，与大自然的生活。她周围的新鲜感。。。
13845,UgwC3w1V9TVaQSDZPA94AaABAg,42,"how to love your homeland in order to be able to show the nature and everyday life of people in rural areas so beautifully and unobtrusively! bravo! very talented! and what a rich nature of china, just delight!",如何爱您的家园，以便能够如此美丽，毫不客气地展现人们在农村地区的自然和日常生活！勇敢！很有天赋！中国的丰富本质，只是高兴！
13817,UgxTPEhZueXTD1lsRfF4AaABAg,41,"i don't know why, i am a big man, watching this video crying. perhaps it is moved in the world to have such a peaceful, beautiful, close life of nature, and then look at the mediocre and complicated and complicated work every day in the city. ziyi wishes you and mother -in -law who has always been healthy and happy, thank you for your video.",不知道为什么，我一个大男人，看这视频哭了。也许是感动世上有这么宁静的，美好的，亲近大自然的生活，再看看自己每天在城市里庸庸碌碌紧张复杂地打拼着，很向往。子柒祝福你和婆婆一直健康快乐，谢谢你的视频。
50636,UgxL-kG-pFDEm8qdyyt4AaABAg,39,"thanks to all videos that i have learned to live in different ways, understand nature, love it, respect it, and enjoy my silence moment. may the universe full of your blessings.
i am a work from bolivia -south america. i hope to share some photos of my place where i live with you.","感谢所有我学会以不同方式生活的视频，要了解自然，去爱它，尊重它，享受我的沉默时刻。愿宇宙充满你的祝福。 
我是来自玻利维亚 - 南美洲的作品，我希望与大家分享一些我住的地方的照片。"
16473,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l98lPdzA56xQ,37,been with nature is the best happiness,与大自然在一起是最好的幸福
48589,UgyTBvQ7nse-MDxc8814AaABAg,35,"would love to live there, smell the nature, grow your own fruits and vegetables, no pollution",很想住在那里，闻到大自然，种植自己的水果和蔬菜，没有污染
