,cid,votes,time,含music ,含music 中文翻译
32675,Ugy800mmFiW5Y1YrP-N4AaABAg,3400,4 years ago (edited),"100% unique cooking
99% nature 
100% relaxing music 
120% beautiful girl and with her talent
30% animal


yeah i'm done","100％独特的烹饪
99％的性质
100％放松音乐
120％美丽的女孩和她的才华
30％动物


是的，我完成了"
37016,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uP5rOuURwX,702,4 years ago,"she has a photographer who films her (but she chooses the angles and content of the shots, as well as background music i think), and an editor who also uploads it to youtube, but she is involved in the process too (writing descriptions etc)",她有一位摄影师拍摄她（但我认为她认为镜头的角度和内容以及我认为背景音乐的角度和内容），还有一个也将其上传到YouTube的编辑，但她也参与了此过程（编写描述等）
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,2 years ago (edited),"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
33214,UgyZlshMYDW0_Bc6rcJ4AaABAg,75,4 years ago,"i really enjoy this video. itโ€s so nice and homely... but the digimon music turned me nostalgic and more comfy. 
hugs from mexico","我真的很喜欢这个视频。真是太好了...但是，数码兽音乐使我怀旧，更舒适。
从墨西哥拥抱"
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,3 years ago,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
2974,UgxG_0rGSXX1DvWsRxF4AaABAg,48,1 year ago,it was quite sometime when i realize that thid wasn’t her first video but this was the first one i saw and i keep coming back. the shots and the blend pf the music is almost fairy tale like. everyone should know and appreciate how much hard work went into this video and i love every second and minute of it.,有时我意识到，这不是她的第一个视频，但这是我看到的第一个视频，我一直回来。镜头和混合PF音乐几乎是童话故事。每个人都应该知道并欣赏这段视频中的辛勤工作，我喜欢它的每一分钟和分钟。
39537,Ugyq0UjeWhSBQgi7luV4AaABAg,45,4 years ago,i am wondering where is she living?? i wanna live that life just like her!! by the way the music is so so relax,我想知道她住在哪里？我想像她一样生活！顺便说一句，音乐是如此放松
35315,UgxZ97A7Jb-DjGDgjzF4AaABAg,41,4 years ago,"the music is from digimon!!!! thats why is so nostalgic and amazing for everyone!!! is the epic part when somethimg amazing happend in the episode!
this girl is so clever but me moooreee 
insta teddygarsa","音乐来自Digimon ！！！这就是为什么对每个人都如此怀旧和惊人的原因！！！当Somethimg在这一集中出现惊人时，是史诗般的部分！
这个女孩是如此聪明，但是我
Insta Teddygarsa"
42715,UgykQi5WLI8pw7KzNat4AaABAg,38,4 years ago,i just thought to myself 'this is beautiful' when i saw the beginning but when the digimon music actually kicked in at 5:16 i genuinely fell in love with this channel.,当我看到开始时，我只是想着自己“这是美丽的”，但是当数码兽音乐实际上在5:16开始时，我真正地爱上了这个频道。
14597,UgxcDISzzoVmMnAziJF4AaABAg,23,2 years ago,"anyone else noticed that this background music sounds exactly like the music from the 1993 video game ""breath of fire""? i can't be the only one",还有其他人注意到这种背景音乐听起来完全像1993年视频游戏“ Fire of Fire”中的音乐吗？我不能是唯一的一个
