,cid,votes,time,含thank,含thank中文翻译
26223,Ugz4x9jZf79qtb1MNMB4AaABAg,20000,3 years ago,"you inspired me to clean my room today, sounds stupid but i've been depressed for 5 years now, lived in pure garbage land and today... i cleaned, threw away alot a shit and took a shower hahaha thank you!",您启发了我今天打扫我的房间，听起来很愚蠢，但是我已经沮丧了5年，住在纯垃圾土中，今天...我打扫过，扔了很多屎，洗了个澡，hahaha haha​​ha谢谢！
27160,UgwoBK95SLTCe-m60uJ4AaABAg,11000,3 years ago (edited),thanks to her for inspiring me to film my mom's video ! love from vietnamese.,感谢她激励我拍摄妈妈的视频！来自越南人的爱。
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,4 years ago,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
32279,UgyJXYo2X2L5tkjUvfR4AaABAg,3500,4 years ago (edited),"the way she runs to cover her grandmas ears ๐๐ผ so adorable ๐ญ






shit...thanks for over 1,000 likes โค๏ธ๐๐ผ","她的跑步方式遮住了祖母的耳朵






该死...谢谢您超过1,000个喜欢❤️"
12621,UgwT1gDAxj3u5Py3Xn14AaABAg,567,2 years ago,when i get depressed by reading comments full of hatred about china i come here. this is like the most friendly place towards chinese people. thank you liziqi. it has been a hard year to us.,当我阅读充满仇恨的评论时，我来这里。这就像对中国人民最友好的地方。谢谢Liziqi。对我们来说，这是艰难的一年。
2237,UgwojBqA1rIKuxWouGZ4AaABAg,535,1 year ago,"it makes me want to make snacks. it’s not so hard as imagined. thank you, li ziqi. hope you get back what you deserve for your contents, kick these greedy businessmen’ ass and come back soon.",这让我想做零食。它并不像想象中的那么难。谢谢，李齐。希望您能拿回来的内容，踢这些贪婪的商人的屁股，然后很快回来。
4563,Ugya9YO3LoSnRIr1DWR4AaABAg,387,1 year ago,is there anything this girl can’t do . such a inspiration i learn so much from you thank you,这个女孩做不到吗？我从你那里学到了很多灵感，谢谢你
42244,UgwtsLBEnygPVuHoWmF4AaABAg,254,4 years ago,felt so good watching this! thank you for recommending me this youtube,看着这个感觉真好！谢谢您向我推荐这个YouTube
24361,UgzLwLKR8vnAGKTdwHR4AaABAg,221,3 years ago (edited),"you look like a princess with an animal friends
edit: wait am i dreaming i got so many like ๐ thank you this literally make my day","你看起来像一个公主和动物朋友
编辑：等等，我在做梦，我有很多喜欢"
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,4 years ago,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
