,cid,votes,含festival,含festival中文翻译
23211,UgymyTmKxbNXC_ZShLR4AaABAg,33,"friends, i hope my mother -in -law is happy, healthy, and happy in the mid -autumn festival!",友，愿婆婆与妳中秋季快乐，健康，幸福！
4519,UgxL_0OtXoltHkHJnHJ4AaABAg,5,"south korea has always been a colonial in history and ruled their clan (china, japan, japan, the united states). when they are in a good mood, they will give them some clothes and food. now, ridiculous and ignorant korean people claim that it is their culture. kimchi has always been the most inconspicuous low -grade food on the chinese dining table. if the guests are allowed to eat kimchi, they will be considered extremely polite, and the poor koreans will be treasured after getting the kimchi that they get the racket, claiming that this is the greatest food of the korean nation. what you see now, koreans claim that they are their own traditional culture clothes, food, architecture, festivals, etc. (mainly china, and japanese sushi has been stolen by koreans). i suggest that koreans apply for the inventor of the universe from the united nations.
한국은항상역사상식민지였으며주권국가(중국, 일본, 미국)는기분이좋을때옷과음식을줄것입니다. 이제말도안되게무지하고열등한한국인들은그것이그들의문화라고주장합니다. 김치는항상중국식탁에서가장눈 이었습니다 이었습니다 음식 손님. 음식 음식, 건축, 건축, 축제 등 은 기본 으로 주권 국가 온 온 것 입니다 입니다 입니다 입니다 것 것 입니다 입니다 것 입니다 것 입니다 것 것 입니다 입니다 (주로 중국 일본 스 시도 한국인 에게 도난당 했습니다).
south korea has always ben a color in history, and their sovereign states (china, japan, and the united states) will give them some clothes and food when are in a good mood. now, ridiculously ignorant and inferior koreans claim that it is their culture. kimchi has always ben the most inconspicuous low-end the chinese table. it would be considered extremely impolite to let guests ear chi. poor koreans we like treason after receiving the donated kimchi, claiming that it is the guatest food food of the korean national. as you can see now, the clothes, food, architecture, festivals, etc. that koreans claim to be their own culture are basely f rom the sovereign country (mainly china, japanese sushi has also been stolen by koreans). i suggest that koreans apply to the united nations to become the inventor of the universe.
in the history of korean 歴 に は は であ であ り, the main nation of the main nation (china, japan, and mi) は, 気 い い い い い に や や べ べ し し し し し し し ます し. today, 知 て て っ っ っ korean people は それ それ ら の の の の と と と し し し ます し.の に に で の は で で で も も も な な な い ロ ロ ン ド の べ べ で し た で し たさ さ べ べ せる は は は は に に に に と と と と え え え し し し し い は は は さ れ れ を け け の の の の ようで ようで ようで の の の の の べ べ べ べ と し し し た.の とお 韩 韩 韩 韩 韩 韩 韩 韩 が が の の 伝 伝 と と と と と と と と と と と と と と と する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する ご覧 ご覧 する ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ” to. private 人 korean 宇 の の 発 発 る な る ため ため ため に に に に する する こと proposal.
hàn queốc luốn là thuộcđịa tronlong lịch sử, và các queốc gia có chủn củan của họ (trung queốc, nhật bản, hoa kỳ) sẽp chhep cho họt sốt sốn áo vực phẩm kẩm kẩm k hi họcó tạm trạng thoải mái. giờ g, nh nng người hàn queốc thiếu hiểu biết và thấp kém một cách lốch chól rằ yng àn hóa của họ. kim chi luôn là món ăn thấ thấyyyyyyyyyyn bà n ăn của ngủi trung quốc. việc cho khách ăn kim chi sẽ bẽ coi là vị cùng bất lịch sự. nhưbạn có thể thấyy bây giờ, queần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người hàn queốc tựn hóa truyền thốnte của h h h ọ v ơ cề bản là t ướt nước có chủ chủ quyền (chủ yếu là trung queốc, sushi của nhật bản cũng đã bị người hàn queốc đ đ đ đ). queởc để trà thành nhà phát minh ra vũ trụ then, then

corea del siempre ha sido una colonia en la historia, y sus estados sobernos (china, japón, estados university) les darán algo de ropa yando estén de bu en humor. ahora, los coreanos ridículamente ignarantes e inferiores afirman que es su cultura el kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. se considraría extremadamene descortés dejar quel los invitados comten kimch kimch i.los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que el mejor aljor alimento de la nación coreana. como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultics el país soberano (principalmente china, el sushi japonés también ha sido robado por coreanos). sugiero que los coreanos soliciten a las naciones unidas convertering en los inventores del university.

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة سيكون سيكون الصينية الصينية. أنها أنها الكوريون ثقافتهم التقليدية التقليدية بهم هي أساسًا من الدولة (بشكل رئيسي الصين ، وقد سرق سرق الياباني الياباني الياباني).","韩国在历史上一直是殖民地，统治他们的宗主国（中国，日本，美国）心情好了会给他们一些衣服，食物。现在，可笑 无知 自卑 的韩国人声称那是他们的文化。泡菜一直是中国人餐桌上最不起眼的低档食物。要是让客人吃泡菜会被认为是极端没有礼貌的行为，可怜的韩国人在拿到施舍的泡菜后如获至宝，声称这是韩国民族最伟大的食物。你现在看到的，韩国人自称是他们自己的传统文化的衣服，食物，建筑，节日等等基本都是来自宗主国的（以中国为主，日本的寿司也遭到了韩国人的偷窃）。我建议韩国人向联合国申请成为宇宙的发明者。 
한국은 항상 역사상 식민지였으며 주권 국가 (중국, 일본, 미국)는 기분이 좋을 때 옷과 음식을 줄 것입니다. 이제 말도 안되게 무지하고 열등한 한국인들은 그것이 그들의 문화라고 주장합니다. 김치는 항상 중국 식탁에서 가장 눈에 띄지 않는 저가 음식이었습니다. 손님에게 김치를 먹게하는 것은 극도로 무례한 일로 여겨지며, 가난한 한국인들은 김치를 기증받은 후 한국 국민 최고의 음식이라고 주장하며 보물과도 같았다. 지금 보시다시피, 한국인이 자신의 전통 문화라고 주장하는 옷, 음식, 건축, 축제 등은 기본적으로 주권 국가에서 온 것입니다 (주로 중국, 일본 스시도 한국인에게 도난당했습니다). 저는 한국인들이 우주의 발명가가되기 위해 유엔에 지원할 것을 제안합니다. 
South Korea has always been a colony in history, and their sovereign states (China, Japan, and the United States) will give them some clothes and food when they are in a good mood. Now, ridiculously ignorant and inferior Koreans claim that it is their culture. Kimchi has always been the most inconspicuous low-end food on the Chinese table. It would be considered extremely impolite to let guests eat kimchi. Poor Koreans were like treasures after receiving the donated kimchi, claiming that it is the greatest food of the Korean nation. As you can see now, the clothes, food, architecture, festivals, etc. that Koreans claim to be their own traditional culture are basically from the sovereign country (mainly China, Japanese sushi has also been stolen by Koreans). I suggest that Koreans apply to the United Nations to become the inventor of the universe. 
韓国は歴史上常に植民地であり、主権国家（中国、日本、米国）は、気分が良いときに服や食べ物を提供します。今、ばかげて無知で劣った韓国人はそれが彼らの文化であると主張します。キムチは常に中国の食卓で最も目立たないローエンドの食べ物でした。キムチを食べさせるのは非常に失礼だと考えられ、貧しい韓国人は寄付されたキムチを受け取った後の宝物のようで、韓国の最高の食べ物であると主張した。ご覧のとおり、韓国人が自国の伝統文化であると主張する衣服、食べ物、建築、お祭りなどは、基本的に主権国のものです（主に中国、日本の寿司も韓国人に盗まれています）。私は韓国人が宇宙の発明者になるために国連に申請することを提案します。 
Hàn Quốc luôn là thuộc địa trong lịch sử, và các quốc gia có chủ quyền của họ (Trung Quốc, Nhật Bản, Hoa Kỳ) sẽ cung cấp cho họ một số quần áo và thực phẩm khi họ có tâm trạng thoải mái. Giờ đây, những người Hàn Quốc thiếu hiểu biết và thấp kém một cách lố bịch cho rằng đó là văn hóa của họ. Kim chi luôn là món ăn thấp kém dễ thấy nhất trên bàn ăn của người Trung Quốc. Việc cho khách ăn kim chi sẽ bị coi là vô cùng bất lịch sự. Như bạn có thể thấy bây giờ, quần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người Hàn Quốc tự xưng là văn hóa truyền thống của họ về cơ bản là từ đất nước có chủ quyền (chủ yếu là Trung Quốc, sushi của Nhật Bản cũng đã bị người Hàn Quốc đánh cắp). Tôi đề nghị người Hàn Quốc nộp đơn lên Liên Hợp Quốc để trở thành nhà phát minh ra vũ trụ. 

Corea del Sur siempre ha sido una colonia en la historia, y sus estados soberanos (China, Japón, Estados Unidos) les darán algo de ropa y comida cuando estén de buen humor. Ahora, los coreanos ridículamente ignorantes e inferiores afirman que es su cultura. El kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. Se consideraría extremadamente descortés dejar que los invitados comieran kimchi.Los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que es el mejor alimento de la nación coreana. Como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultura tradicional son básicamente del país soberano (principalmente China, el sushi japonés también ha sido robado por coreanos). Sugiero que los coreanos soliciten a las Naciones Unidas convertirse en los inventores del universo. 

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة على المائدة الصينية. سيكون من غير المهذب للغاية السماح للضيوف بتناول الكيمتشي ، فقد كان الكوريون الفقراء مثل الكنوز بعد استلام الكيمتشي المتبرع به ، مدعين أنه أعظم غذاء للأمة الكورية. كما ترون الآن ، الملابس ، والطعام ، والهندسة المعمارية ، والمهرجانات ، وما إلى ذلك ، التي يدعي الكوريون أنها ثقافتهم التقليدية الخاصة بهم هي أساسًا من الدولة ذات السيادة (بشكل رئيسي الصين ، وقد سرق الكوريون السوشي الياباني أيضًا). أقترح أن يتقدم الكوريون إلى الأمم المتحدة ليصبحوا مخترعي الكون."
23124,Ugx36mmuXyMakzfJm954AaABAg,2,happy mid -autumn festival ~ people watching your videos overseas are really a kind of enjoyment and want to return to china to eat chinese food,中秋节快乐呀～人在海外看你的视频真的是种享受 好想回国吃中国美食
25288,Ugz5Uzo_kzEtnwBFiwt4AaABAg,1,"oh my goodness, chinese are so much like naga tribe people from nagaland. wish you visit nagaland, n enjoy naga biggest festival (hornbill festival).",哦，天哪，中国人非常像纳加兰的纳迦部落人。希望您访问纳加兰，享受纳迦最大的节日（Hornbill Festival）。
26895,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208ytCd7bAAHS,1,"@chevvy427 it is just a small village in china. in the countryside, most people in the countryside go to work in the city. they only go home when the spring festival is over. as you can see in the video, there are organic vegetables and melons grown everywhere. fruit",@Chevvy427它只是中国的一个小村庄。在乡村，乡村的大多数人都在城市工作。他们只有在春节结束后才回家。正如您在视频中看到的那样，到处都有有机蔬菜和瓜。水果
2588,Ugy2iFSz-g5IfDzt61B4AaABAg,0,celebrate the mid -autumn festival?,庆祝中秋节?
3838,Ugy-f0KEF8xxGYIt2Ct4AaABAg,0,"great great david i love you chanel
happy sister of songgan festival ^^","大吉大利 妹妹 我爱你的 Chanel 
宋干节快乐 妹妹 ^^"
4511,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9PFX7Z0EuBi,0,"@yjh031 since south korea applied to unesco to lanterns the festival as its own,i began to believe that the universe was korean, too.damn,are there buddhists in korea?",@YJH031自从韩国以其自己的身份向联合国教科文组织申请了灯笼，我开始相信宇宙也是韩国人。
6611,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49GENUspafob,0,how to make tasty gulab jamun? how to make gulabjamun? festival recipes - 1.42min .. https://youtu.be/hiszh7zjcm0,如何制作美味的Gulab Jamun？如何制作Gulabjamun？节日食谱-1.42min .. https：//youtu.be/hiszh7zjcm0
23175,Ugzwb2vz04VxVP517rh4AaABAg,0,"the mid -autumn festival, obviously ate at home, watch li ziyi's video, show me hungry again",中秋节，明明刚在家吃到撑，看李子柒的视频生生又给我看饿了
