,cid,votes,time,含thank,含thank中文翻译
21753,UgwHHw9NsEGyLXeYM3F4AaABAg,1100,3 years ago (edited),"my mom would cook authentic phillipino food every single day without stop, after she lost her battle with cancer about a year ago ive never had the same feeling of just coming home from school to smell the most amazing food ive ever tasted. your videos brings back these memories, the frying of the food sounds the same in your videos, her tossing the food in the wok, the scrapeing of the metal on the pan, i can even smell whats going on through the screen. your videos saved me from ever forgetting her, your videos helped me out through those dark times, though its not phillipino food, the way you cook is so so so similar to my mom’s. thank you for that. (ive also shown these videos to my dad and he also loves them, my entire family is full of cooks so this was a breath of fresh air)",我妈妈每天都会每天煮正宗的菲律宾食物，而大约一年前，她失去了与癌症的斗争后，我从来没有像从学校回家回家的感觉，闻到了有史以来最令人惊叹的食物。您的视频带回了这些记忆，食物的煎炸在您的视频中听起来一样，她在锅中扔食物，锅上的金属刮擦，我什至可以闻到屏幕上发生的事情。您的视频使我免于忘记她，您的视频在那些黑暗的时期帮助了我，尽管它不是菲律宾的食物，但您的烹饪方式与我妈妈的烹饪方式如此相似。谢谢你。 （我还向我的父亲展示了这些视频，他也爱他们，我的整个家庭都充满了厨师，所以这是新鲜空气的呼吸）
31736,UgyQgiwGmJ28ya5Qgz94AaABAg,824,3 years ago,i swear my soul purifies every time. thanku,我每次都发誓我的灵魂都会净化。感谢你
25916,UgxBsztybtV9hwif3Jh4AaABAg,418,3 years ago (edited),"thanks, dan and arin.",谢谢，丹和阿林。
31115,Ugw2WElkzBoP_jXGvpJ4AaABAg,373,3 years ago,"i always love your videos! soothing to the spirit. i wish you had the recipes in english. i want to make them so bad! maybe you can create a cookbook and publish it in various languages. living near seattle, washington in the united states, i know i could find all the ingredients in our international district. thank you so much for sharing one aspect of your beautiful life with us.",我总是喜欢你的视频！抚慰圣灵。希望您有英语食谱。我想让它们如此糟糕！也许您可以创建一本食谱并以各种语言发布。居住在美国华盛顿的西雅图附近，我知道我可以在国际区找到所有成分。非常感谢您与我们分享美丽生活的一个方面。
31037,UgxVmzlkSGUEZMQK8D14AaABAg,340,3 years ago,"wow, 8 hours later she got more than a million views... thanks for the english sub,,,",哇，8个小时后，她获得了超过一百万的观看次数...感谢英语潜艇
34722,UgwEvpOvh9kcPGJ57Mh4AaABAg,279,3 years ago,"thank you for your hard work and effort to make us happy, love you♥️",感谢您的辛勤工作和努力使我们快乐，爱你♥️
34243,Ugztc4zDHo36WMYUpj14AaABAg,216,3 years ago,"세상에.. 3 videos in a week ?? 
we dont deserve you, liziqi. thank you so much.","一周内的3个视频？
利兹奇，我们不应该得到你。太感谢了。"
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
32039,UgxdEhj-cZs-wEm9c4x4AaABAg,193,3 years ago,"this is the only channel that i eagerly look forward to watching. so much hard work done by her and her crew, thanks.",这是我热切期待观看的唯一频道。谢谢她和她的船员做很多艰苦的工作，谢谢。
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
