,cid,votes,含lifestyle,含lifestyle中文翻译
33747,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vFGectdxIJ,3000,"absolutely. we live in a system created by mankind that is designed for us to become ""successful"". i ask you. being stressed, overworked, depressed is better than this simple, satisfying, honest, hardworking lifestyle?",绝对地。我们生活在人类创建的系统中，该系统旨在使我们变得“成功”。我问你。压力，劳累过度，沮丧比这种简单，令人满意，诚实，勤奋的生活方式更好？
36216,Ugw3qr-9--BZV3PyiBJ4AaABAg,426,even a millionier will feel jealousy with your lifestyle dear...very hard-working girl.!! โฎ๏ธ,即使是百万富翁也会对您的生活方式感到嫉妒...非常勤奋的女孩。 ☮️
38611,UgzLsfWhfAh-os8v8Jt4AaABAg,227,"now...that's a productive busy lifestyle. very nice and nostalgic, makes you forget of the urban unhealthy hysteria.
by the way, those people who put thumbs downs are very ungratefull ignorants.","现在...这是一种繁荣的生活方式。非常友善和怀旧，让您忘记了城市不健康的歇斯底里。
顺便说一句，那些放下大拇指的人是非常不知所措的人。"
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
10680,UgzggH3LcmPPa1jXggR4AaABAg,184,"it's all very cool, but these people have some lands!! there's so much abundance of everything. they are rural rich. it's not easy to have that lifestyle.",一切都很酷，但是这些人有一些土地！一切都有很多。他们是农村富人。拥有这种生活方式并不容易。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
33762,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vdso7ou4My,68,"i really wish to experience lifestyle like this someday. if not now, then when i retire.",我真的很想有一天能体验到这样的生活方式。如果不是现在，那我退休。
4231,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SJwqBQjELa,62,"@quito787 staged in what way? well, of course she has to prepare certain camera angles before she records her actions... but are you implying that her ""real"" lifestyle is not according to the way that she shows in her videos?",@quito787以什么方式上演？好吧，当然，她必须在记录自己的动作之前准备某些相机角度……但是您是否暗示她的“真正”生活方式并不符合她在视频中显示的方式？
32487,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18wBclm413Dd,56,"@ultramaryna00 so you're saying this entire channel is just an actress and instead of living a ""normal"" life she proceeds to act every single day and produces all this just for the sake of clout? right, because having a different lifestyle, upbringing, and culture is just so unheard of",@ultramaryna00，所以您要说的整个频道只是一名女演员，而不是过着“正常”的生活，而是每天都会表演并为影响力而产生所有这些生活吗？是的，因为拥有不同的生活方式，养育和文化是如此闻所未闻
4233,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9STnLfU3qNM,47,@miukeefeng4951 so u telling me all of these videos are fake lifestyle,@miukeefeng4951，所以你告诉我所有这些视频都是假的生活方式
10688,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FizG66SKWG,30,"yes it might not be easy lifestyle but better than urban city life where people are obessed with all junk food, unhealthy lifestyle, smoke of vehicles and factories.",是的，这可能不是一个容易的生活方式，而是比城市城市生活更好的生活方式，在这些生活中，人们遵守了所有垃圾食品，不健康的生活方式，汽车和工厂的烟雾。
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
41520,Ugx6Kg-s6YnCahHDxrN4AaABAg,23,these videos are truly amazing. it really makes me want to enjoy and appreciate that kind of lifestyle as it is so different from living in an urban society!,这些视频确实很棒。这确实使我想享受和欣赏这种生活方式，因为它与生活在城市社会中截然不同！
15469,UgyjBdbZkjS2XC_c5hd4AaABAg,22,"2020 - this time of pandemic, it seems that i wanna go back to our province, and do all these kinds of living, so simple but pure of happiness no stress and so relaxing.
i like your lifestyle ms. liziqi, keep it up and god bless u always.
i'm your avid fan's from the philippines.","2020年 - 这一次大流行，似乎我想回到我们的省，做所有这些生活，如此简单但纯净的幸福没有压力和放松。
我喜欢您的生活方式Liziqi女士，请继续前进，上帝永远保佑您。
我是菲律宾的狂热球迷。"
37516,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN8uC6fzJaBYp,20,yes definitely! iโ€m an introvert who unreservedly loves my family and nature so this lifestyle would fit me perfectly. i really have a tough time working with jerks in the city so yeah...,当然是！我是一个性格内向的人，他不保留我的家人和自然，所以这种生活方式将非常适合我。我真的很难与城市的混蛋一起工作，所以是的...
47268,UgyYeNzLAX0sWDEo2T54AaABAg,18,i'm enraged with jealousy. beautiful is too weak a word for this lifestyle,我很嫉妒。美丽对于这种生活方式来说太虚弱了
40689,UgxIUWO7nNOZ09huCH94AaABAg,17,it's official. i am in love with this lifestyle.,这是官方的。我爱上了这种生活方式。
35027,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vDWl-ovE46,17,"@petphotomaster who cares? it's still a beautiful lifestyle and many people continue traditions like this throughout different countries and cultures to this day. 
it's not completely unheard of, it's just that most westerners cannot wrap their heads around this type of living.","@petphotomaster谁在乎？这仍然是一种美丽的生活方式，许多人在不同国家和文化中继续这样的传统。
这并不是完全闻所未闻的，只是大多数西方人都无法围绕这种生活。"
30948,UgzE40l6rTlYiv3zGrt4AaABAg,15,"hello liziqi!
i recently found your channel. your lifestyle is very beautiful and inspiring. the videos you make are very calming. thank you!","你好liziqi！
我最近找到了你的频道。您的生活方式非常美丽和鼓舞人心。您制作的视频非常平静。谢谢你！"
35032,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vE5yI2EshD,14,"@jadesohpuppy you guys are missing the entire point to his comment. we can all ""learn stuff"" but if our modern lifestyle does not require certain things, it's not the same as years worth of culture past down as a means to survival. 
if she was thrown into city life, she would still have the knowledge, of course but she wouldn't need to do and couldn't do most of these things.","@jadesohpuppy你们错过了他的评论的全部要点。我们都可以“学习东西”，但是，如果我们的现代生活方式不需要某些事情，那与过去的文化年代不一样，而不是生存的一种手段。
当然，如果她被扔到城市生活中，她仍然会有知识，但是她不需要做，也不能做大多数事情。"
4253,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UMR55s_ngs,13,"@diogomelo3705 i mean if she's purely a chinese farmer, there's no way she can afford such good food and ingredients. this is an ideal rural life style but definitely not the real lifestyle unless she's a very rich person who retired from work.",@diogomelo3705我的意思是，如果她纯粹是中国农民，她就无法负担得起这种美味的食物和食材。这是一种理想的乡村生活方式，但绝对不是真正的生活方式，除非她是一个非常有钱的人，他退休了。
17083,UgySOGhSCZ8IzTgrISt4AaABAg,12,her lifestyle reminds me of studio ghibli's animation.,她的生活方式让我想起了吉卜力工作室的动画。
