,cid,votes,time,含pretty,含pretty中文翻译
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
15471,UgyNayJixRjxTw3_bAl4AaABAg,33,3 years ago,the amount of knowledge in that pretty little head is incredible. would pay her just too follow her around for a day too pick her brain. amazing craft,那个小头的知识数量令人难以置信。也会付钱给她一整天，也捡起她的大脑。惊人的工艺
34592,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8vHX-i6j1Bd,28,4 years ago,"@pnoplyr14 you probably never seen it before, it makes a huge sound when you open that thing. this video did something to limit the volume but it is actually pretty loud sounds like a bomb tho. lol",@pnoplyr14您可能以前从未见过它，当您打开那件事时，它会发出巨大的声音。该视频做了一些限制音量的事情，但实际上它的声音很大，就像炸弹。哈哈
10690,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FofMko6LRY,27,2 years ago,"land in the middle of nowhere china is actually pretty inexpensive. that being said, sheโ€s basically a celebrity online now and definitely has some money. she may show only the most beautiful 5% of the effort that goes into these videos, but that doesnโ€t make them any less beautiful. if anything, we appreciate them even more because we know how much work it took to get that one perfect shot. ๐",陆地中国中国的土地实际上很便宜。话虽如此，她基本上是一个在线名人，肯定有一些钱。她可能只显示这些视频中最美丽的5％的努力，但这并不能使它们变得不那么美丽。如果有的话，我们会更加感谢他们，因为我们知道要获得一个完美的镜头所需的工作量。
52311,UgxzMNnK_Bl8Ecfhykt4AaABAg,25,4 years ago (edited),"when picking up at night, korean red coating ranch gloves
i would recommend it ~^* (all weather)
ah! gangjeong has been made pretty.
make a pretty and delicious food and pack it
it's done! there is no korean subtitle, so it is inferred ~*
brushing your teeth in the video is so cute, and it's cool to wear boots when you work.
when you feel, the main winter is very beautiful to alternate several colors of long mango. ~ ^^
i have the same name in my name! ~ ♥","晚上捡起时，韩国红色涂料牧场手套
我会推荐它〜^*（所有天气）
啊！ Gangjeong变得漂亮。
做一个漂亮可口的食物并打包
完成！没有韩国字幕，因此可以推断〜*
在视频中刷牙是如此可爱，上班时戴靴子很酷。
当您感觉到时，主要的冬天非常美丽，可以交替使用多种颜色的长芒果。 〜^^
我的名字中有相同的名字！〜♥"
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
16636,UgwC5JuWJFOVIQDCAtB4AaABAg.98YP3M1hKpR995467yo-Oo,20,3 years ago,because she is chinese. pretty simple.,因为她是中国人。很简单。
29254,UgxB2B-6k92WOgnfWZ94AaABAg,19,3 years ago,"wow they have so much to eat,the girl she is pretty and very hard-working",哇，他们有很多东西要吃，她漂亮又勤奋的女孩
43971,UgxRf8L4msJevGDrYsF4AaABAg,17,4 years ago,"pretty! if you thought you would eat raw meat with a little grilled, there was after that!
i want to spend time in such a beautiful space!","漂亮的！如果您以为自己会用一点烤生肉吃生肉，那之后就有了！
我想在如此美丽的空间里度过时光！"
30529,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHhTbtbPLL,13,3 years ago,"@odee126 man you're just brainwashed by west propaganda. this girl made videos on china's website such as bilibili far more early than youtube along with other video makers. they join youtube because of competition and the huge benefits. another reason is that almost every village of china now connects to 4g, so you see more villager using youtube and upload videos now. talking about their tool vpn, it is legal to use but illegal sell it, we have no problem if we just use it. furthermore, this is also not a better image of china, the real better image of china is an advanced, tech-originated country which we are going to meet soon lead by our government. so i am pretty sure that there is no national support for this kind of videos, it is just your own imagination based on the bias to china and anti-china's west propaganda you've received in decades.",@odee126男人，你只是被西部宣传洗脑了。这个女孩在中国网站上制作了视频，例如比利比利（Bilibili）和其他视频制作人更早。他们由于竞争和巨大好处而加入YouTube。另一个原因是，中国几乎每个村庄现在都连接到4G，因此您现在看到更多的村民使用YouTube并上传视频。谈论他们的工具VPN，使用合法，但非法出售它，如果我们只使用它，我们就没有问题。此外，这也不是中国更好的形象，中国的真正更好形象是一个先进的，以技术培养的国家，我们将很快见到政府的领导。因此，我很确定没有国家对这种视频的支持，这只是您自己的想象力，基于对中国的偏见和您几十年来您收到的反中国的西方宣传。
25482,Ugxe4RkrzLKXChm5AUh4AaABAg,13,3 years ago,"this comment thread is like an international love festival.

she is amazing. it does seem like all that work would take several people several days, at a minimum, and they'd be pretty spent, but hey . . .

i've tried to make many things from scratch. maybe i lacked training and super-natural vitality, but it seemed a whole lot harder than that.","这个评论线程就像一个国际爱情节。

她很棒。似乎所有的工作都将花几天的时间至少需要几天的时间，而且它们的花费很漂亮，但是。 。 。

我试图从头开始做很多事情。也许我缺乏训练和超自然的活力，但似乎比这要困难得多。"
21356,UgyMT0oRUzt1BcRJ06t4AaABAg.93iGxVsI80l93uh6s2AdSr,10,3 years ago,i mean he pretty much accomplished it. and then the avengers came and might have beheaded him,我的意思是他几乎完成了。然后复仇者来了，可能斩首了他
38089,UgwgDpA2C3QgnRFmkzN4AaABAg,10,4 years ago,amazing woman and i love all of her video so so so so so pretty and beautiful nice lovely,很棒的女人和我爱她的所有视频，如此如此漂亮，美丽的漂亮可爱
17610,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982KQSHMxyA,8,3 years ago,"@heardistance hmm, not well educated... if a german phd candidate is not well educated i really do not know what kind of country's people can be identified as so much better well educated. of course, you can debate german professors are pretty bad quality even work with me who comes from such a poor country called china, so poor, unbelievable.",@heardistance嗯，受过良好的教育...如果德国博士学位候选人受过良好的教育，我真​​的不知道可以将哪种国家的人确定为受过良好教育的人。当然，您可以辩论德国教授的质量也很差，甚至与我来自如此贫穷的中国国家，如此贫穷，令人难以置信的国家。
24088,Ugx1OibTn6JtmPVYGH54AaABAg,8,3 years ago,every thing she makes is so healthy and pretty ( i canโ€t say the same for america but to be honest i am ashamed of living in america.......),她所做的每一件事都是如此健康和漂亮（我不能对美国说同样的话，但是说实话，我为住在美国而感到羞耻。
9162,UgyC_WUzCm8zQ9s0ZHJ4AaABAg.9HcsOPQ9z049IGihB9MemL,7,2 years ago,it looks pretty on camera but truthfully it looks like a lot of work. many hours to prepare everything in this way.,它看起来很漂亮，但实际上看起来像是很多工作。以这种方式准备一切。
36986,Ugys5HUZ3Qn6uKkPGj14AaABAg.8uLTm1B6D-P8uXUAaejNF8,7,4 years ago,"it easy to say than done. coming from someone who asked for it and my father was like ""lol aight"" and sent me to the village he was born. i lived with my grandma and pa and i couldn't even survive for 2 days dkfjfjjf ๐ญ๐’€๐’€ (i lived around the mountain regions but i gotta tell ya, the view was prettyโค๏ธ)",说出比完成的容易。来自一个要求它的人，我父亲就像“大声笑”，然后把我送到了他出生的村庄。我和奶奶和宾夕法尼亚州住在一起，甚至无法生存2天DKFJFJJF
27205,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zeKc8tvMX6,6,3 years ago,"she is pretty girl, how we can find her in facebook? maybe somebody want help her?",她是漂亮的女孩，我们如何在Facebook中找到她？也许有人要帮助她？
35697,UgwM-V2zKtRYzZZ4GuN4AaABAg,5,4 years ago,iโ€m pretty sure all the men out there are very attracted to her how talent and hard working she is wanting to marry her~ ^_^,我很确定那里的所有男人都对她非常吸引她的才华和努力工作，她想嫁给她〜 ^_ ^
13072,UgwtIgIBUyeVqxjs5bx4AaABAg,5,2 years ago,she so pretty i wish i can live whit her :(,她真漂亮，我希望我能活着她:(
14781,UgwYvDHe6MTWVzNtEYJ4AaABAg,5,2 years ago,how does this small and pretty person pretend to do these things? i think it's so pretty on the screen.,这个小而漂亮的人如何假装做这些事情？我认为在屏幕上很漂亮。
43706,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rNwSxpMOn0,5,4 years ago,@xiuxiuhachoi9100 sichuan girls are so pretty in a natural way.,@xiuxiuhachoi9100四川女孩自然而然地是如此漂亮。
36120,UgwW3M4OGiY8vVG8u3x4AaABAg,4,4 years ago,"what a pretty woman .... what a beautiful place .... my admiration and respect.
i would like such a wife for me. blessings","多么漂亮的女人....真是一个美丽的地方。...我的钦佩和尊重。
我想要这样的妻子。祝福"
38728,Ugy3qNm-Sc3wyE5FbbV4AaABAg,4,4 years ago,"as soon as i heard the sound, i felt like our person. searching is really a pretty girl in mianyang. appreciate such videos very much!",一听口音就觉得像我们那的人。搜了搜真是绵阳的俏妹子。很欣赏这样的视频！
49400,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qtcBwPpbH3,4,4 years ago,"@mick1937 nah, it ain't just the video edit; if you tried to do what she did, it wouldn't have looked pretty.",@mick1937不，它不仅仅是视频编辑；如果您尝试做她所做的事情，那看起来就不会很漂亮。
