,cid,votes,time,含wow,含wow中文翻译
17395,UgwV-uzw6206Qx2IoKZ4AaABAg,536,3 years ago,no drama nothing...eating sleeping and cooking..wow life s soo cool...,没有戏剧什么都没有...吃睡觉和做饭..生命很酷...
31037,UgxVmzlkSGUEZMQK8D14AaABAg,340,3 years ago,"wow, 8 hours later she got more than a million views... thanks for the english sub,,,",哇，8个小时后，她获得了超过一百万的观看次数...感谢英语潜艇
32352,UgxHrpF8FQeeEcny9RZ4AaABAg,168,3 years ago,"more than 500k views in 4 hours .... wow! her following is very huge, but understandable coz her video indeed are very good. keep it up... liziqi.",4个小时内的50万次浏览量超过50万次。她的关注非常巨大，但可以理解的，因为她的视频确实非常好。继续... liziqi。
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,3 years ago,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
25907,Ugwwm1OnvPfUP_o1FNR4AaABAg,44,3 years ago (edited),"grump in the house!

oh wow this is amazing and so beautifully shot. that woman is very pretty too.","在屋子里脾气暴躁！

哦，哇，这真是太神奇了，很漂亮。那个女人也很漂亮。"
26257,UgzA1Q8HkCOrZHYuKeF4AaABAg,33,3 years ago,wow chinese food is so great. will surely visit the middle kingdom on day. love from india!,哇，中国菜真棒。一定会在当天参观中间王国。来自印度的爱！
22299,UgybzWdmCyevuxF72W14AaABAg,31,3 years ago,"so i had to pause the video, because i was amazed by how big bamboo shoots are. it seems silly, but wow.",因此，我不得不暂停视频，因为我对竹拍有多大感到惊讶。看起来很傻，但是哇。
24374,UgztzqbRicDcCw605Zt4AaABAg,27,3 years ago,all i can say is wow... theres no preservatives and artificial flavoring. it's pick from the yard fresh.,我只能说哇...没有防腐剂和人造调味料。这是新鲜的院子。
15970,UgxDX_CkTY_gptXSund4AaABAg,26,3 years ago,i'm hungover and stumbled upon this channel and wow this is all so relaxing and nice,我宿醉了，偶然发现了这个频道，哇，这一切都很放松和不错
17481,UgzYg9lV4WPYoS1mPOd4AaABAg,26,3 years ago,wow. what a pure beautiful life. this is how humans are supposed to live.,哇。多么纯洁的美丽生活。这就是人类应该生活的方式。
7174,UgyKvog_WwPdF2uOBkl4AaABAg,25,2 years ago,"wow. chinese have a great traditional food clothes house and life style.one day i hope i will able to visit this country as a tourist. 
from bangladesh ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ","哇。中国人有一个很棒的传统美食屋和生活方式。我希望我能够作为游客访问这个国家。
来自孟加拉国"
2659,Ugw6yTwn-CyeZ2Ba1nh4AaABAg,25,1 year ago,"i didn’t even know bamboo was edible! wow! 
i love watching her cook what is grown on their farm, everything is totally fresh and organic and probably tastes fantastic!","我什至不知道竹子是可食用的！哇！
我喜欢看着她的农场上种植的东西，一切都是新鲜和有机的，可能会很棒！"
24956,Ugz0gzWxt2T8PYtnZBN4AaABAg,18,3 years ago,"wow, this is super relaxing...",哇，这是超级放松的...
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
5562,Ugw5Onb3ClEcM-3vZ0Z4AaABAg,12,2 years ago,"wow, this is my favorite video",哇塞，这是我最喜欢的视频
21259,Ugx4Ik49LafJWYFX_pN4AaABAg,12,3 years ago,awesome too good to be true the farm has everything and anything wow.,太棒了，太好了，无法实现农场拥有一切和一切哇。
19463,UgwfT43O6fuwN6cvTkh4AaABAg,11,3 years ago,"wow, youtube put me a cool video in the recommendation))",哇，YouTube在建议中给我一个很酷的视频））
19499,Ugwji6titTVDIE9JdEx4AaABAg,11,3 years ago,"everyone:
wowie she's so wonderful and amazing i wish i could do that
me:
yall right but where can i get that snazzy knife spatula she uses cause damn","每个人：
哇，她真是太棒了，很棒，我希望我能做到
我：
你们好吧，但是我在哪里可以得到那个时髦的刀子，她使用了该死的"
24390,Ugyyl3JELeUZ6n1GxfN4AaABAg,10,3 years ago,wow!! the best chef and also very organic.. i wish i could learn some cooking from you #❤,哇！！最好的厨师和非常有机的..我希望我可以从您那里学到一些烹饪＃❤
23209,UgxNiScc2EmIVNQU0at4AaABAg,8,3 years ago,"hi i am from nepal, i love everything in your video... wow ! amazing !",嗨，我来自尼泊尔，我喜欢您的视频中的所有内容...哇！惊人的 ！
18990,UgwNuqpROZ99_IQPms14AaABAg,8,3 years ago,"i recently learned about li ziran. i just watched a few videos. wow, it was great. i lived a lot of people who wanted to have a burden on life.",最近才了解到李子染，刚刚看了几个视频哇塞实在太棒了，活出了许多人想要的样子，也没有生活负担，挺你！
18712,UgzcCSreyhWEv9DJhlh4AaABAg,8,3 years ago,"in fact, there are a lot of food in china, but what we have promoted is not very sufficient, and the food documentary on the tip of the tongue is not enough wow.",其实中国有很多美食，然而我们宣传的不是很充分，舌尖上的美食纪录片不够哇
21966,UgwRhyvkA2w3w2Dzrnx4AaABAg,7,3 years ago,wowwww i like tje sorroundings full of fresh vegetables ..,wowwww，我喜欢充满新鲜蔬菜的tje sorroundings。
14237,UgwhgInG-UgmziMOd8t4AaABAg,7,3 years ago (edited),having a life like this and earning money thru yt. just wow. i wish i could live life like hers..,拥有这样的生活，并通过赚钱。哇。我希望我能像她一样生活。
17956,UgzwJOIY_82wbF_-g214AaABAg,6,3 years ago (edited),"wow, this was such an amazing video. the scenery, and beauty that surrounds her home is something i wish to achieve in life (not to mention the amount of technique, skill and knowledge this woman has, another goal). inside of the home was lovely too. 
reminds me a lot of hayao miyazaki’s art work. just speechless!!!!","哇，这真是一个了不起的视频。我希望在生活中实现的风景和周围的美丽（更不用说这个女人拥有的技巧，技能和知识，另一个目标）。家里也很可爱。
让我想起了许多宫崎骏的艺术作品。只是无语！！！"
30186,UgyJqCDjhT3PYjFDofJ4AaABAg,6,3 years ago,wow i never knew bamboo could be so big and never knew the shoots that large were still edible! in america you would not find such a forest and even if you did you would not be allowed to harvest anything. your freedom to forage the wild areas is a blessed gift and that will pay off in lasting health!,哇，我从来不知道竹子会这么大，而且从不知道大型的芽仍然可食用！在美国，您找不到这样的森林，即使您这样做，也不会被允许收获任何东西。您觅食野外区域的自由是一种有福的礼物，这将在持久的健康中获得回报！
2647,Ugy7COff-2N5GQKenZF4AaABAg,5,1 year ago,she can cook all my meals....wow she makes cooking look beautiful. ..a work of art,她可以煮我所有的饭菜。...哇，她让烹饪看起来很漂亮。 ..艺术品
19084,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392IbfbEjWaW,5,3 years ago,"wow, i don't understand all of these negativity. i don't know is any of you able to travel to other countries and continents, but i've been to so many countries and cities, even in the places that are in the third red zone of travel safety, and i still enjoyed my trips and vacations. you can be at home and something bad can happen. what is meant to be will happen. my life goal is to visit the whole world, to meet the people, learn from their own culture, try all the food, even the crazy ones and will definitely do that. so like i've said, china, japan or korea is next on the list.",哇，我不明白所有这些消极情绪。我不知道你们都可以前往其他国家和大洲，但是我去过许多国家和城市，即使在旅行安全的第三红色地区，我仍然很喜欢我旅行和假期。您可以在家，可能会发生一些不好的事情。将要发生的事情将发生。我的人生目标是拜访全世界，与人民见面，从自己的文化中学习，尝试所有食物，甚至是疯狂的食物，肯定会做到的。因此，就像我说的那样，中国，日本或韩国是下一个。
32564,Ugwni1JWagt-HIvhUCB4AaABAg,5,3 years ago,wow... she is such a resourceful person.. i wonder who will be her lucky husband,哇...她真是个足智多谋的人..我想知道谁会是她的幸运丈夫
21614,UgwzANMWMQUzHmJt0_N4AaABAg,4,3 years ago,this has such a high production wow,这具有如此高的生产哇
32844,Ugz5E5RK3Ph0EwwsuX54AaABAg,4,3 years ago,wow so yummy,哇，好吃的祖母，很幸运☺，你是我最喜欢的女士之一
28290,UgzBeOl07MgSJcYe3894AaABAg,4,3 years ago,"wow! 
amazing! 
we are so blessed to have your channel. thank you! ♥
moira 
from england.","哇！
惊人的！
我们很幸运能拥有您的频道。谢谢你！ ♥
莫伊拉
来自英国。"
21657,UgzEAmhAeP-uEVoNka94AaABAg,4,3 years ago,idk y this popped up in my recommendation but wow i love this video,我的建议中弹出了这一点，但哇，我喜欢这个视频
918,UgxgwgiMogfX_IdiwDx4AaABAg,4,11 months ago,her house are full of foods. wow. i hope i can transform my garden like this when go home.,她的房子里到处都是食物。哇。我希望回家时能像这样改变我的花园。
29487,UgwlutRB2F0CA-0Xt0l4AaABAg,4,3 years ago,"wow, it turned out that ziyi was a local tyrant. i even saw a large bottle of mustard vegetables in her family, a lot of tea eggs, and a few types of tea eggs. let me experience the peak of the nobles?",哇哦、原来子柒是土豪呀、我竟然看见她家有一大瓶榨菜、和好多只茶叶蛋、还分几个类型的茶叶蛋、子柒能让我嗦一下茶叶蛋和给一根榨菜我舔一下、让我体验一下贵族的巅峰吗？
