,cid,votes,含dislike,含dislike中文翻译
28516,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yaXBjP5kIe,1400,@franzpeters3824 you have a problem with people not speaking english? what's your problem? don't watch it if you dislike her....,@franzpeters3824您对不说英语的人有问题吗？你怎么了？如果您不喜欢她，请不要看。
19925,Ugy64b8Tc-CR9fv_DdR4AaABAg,807,why are there 10k dislikes ..like people her videos are extremely aesthetic and calming and a lot of effort is required for these videos and she's feeding her grandma and giving us amazing content. why would you dislike this :(,为什么有10k的不喜欢。就像她的视频非常美观和平静，这些视频需要付出很多努力，她正在喂奶，并给我们提供了惊人的内容。你为什么不喜欢这个:(
29433,UgzV5SRrEU2-VIvbK7h4AaABAg,417,"panda a: that girl comes again, who cut our bamboo last time to make her furniture! this time she evens eats it!
panda b: damn! let’s go dislike her on youtube!
hence the dislikes.","熊猫A：那个女孩又来了，她上次砍了我们的竹子来制作家具！这次她逃避了！
熊猫B：该死！让我们在YouTube上不喜欢她！
因此，不喜欢。"
16775,UgxjySQyWB6VBun_lLt4AaABAg,312,why would someone dislike this? i literally can’t think of any reason,为什么有人会不喜欢这个？我从字面上想到任何原因
18791,Ugws-cr34RVZokUlHr14AaABAg,182,what kind of losers would dislike such video? cant figure out.,什么样的失败者会不喜欢这种视频？无法弄清楚。
12364,UgygGphu6PgOX7YaItl4AaABAg,64,how do you even dislike these videos they are literally a grace from god,您甚至不喜欢这些视频，它们实际上是上帝的恩典
21103,UgxIIoQ4kisIDaD28pF4AaABAg,52,idk who has the nerve to dislike such beautiful content,idk谁不喜欢如此美丽的内容
30956,UgyO8280ftF4Qn5JOIt4AaABAg,41,"why this video have so many dislikes?? i mean, wtff",为什么这个视频有这么多的不喜欢？我的意思是，wtff
19944,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91r-fVStewz,41,@ashoretoo i'm pretty sure it is jealous city women who disliked this. they're probably jealous that a hard working country girl can also look this pretty and maybe even prettier than themselves.,@ashoretoo我很确定是嫉妒的城市妇女不喜欢这个。他们可能嫉妒一个努力工作的乡村女孩也可以看起来很漂亮，甚至比自己更漂亮。
29445,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yY0rLI7Jim,33,"nah, may be people just dislike because watching her video makes them as hungry as hell that they can bare hit like button correctly",不，可能是人们不喜欢的，因为观看她的视频使他们像地狱一样饿了
19941,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91Xmied6iFl,33,"hi w. w., i saw a clip posted by (very likely) american white males denouncing chinese enterprises that presented food products as clean and healthy but actually filthy and dangerous to health. when some viewers see miss li's clips, they may over-generalize / stereotype and guess miss li is faking everything. many dislikes are definitely from rival camps, many of which are in china.",嗨W。 w。，我看到（很可能）美国白人男性发布了一个剪辑，谴责中国企业，这些企业将食品表现为清洁，健康但实际上对健康的危险。当一些观众看到李小姐的剪辑时，他们可能会过分刻板 /刻板印象，并且猜猜李小姐正在伪造一切。许多不喜欢的人肯定来自竞争对手营地，其中许多是在中国。
16778,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92w1ZbbFbCE,31,"her life is boring, she should eat more gmo vegetables that's contaminated by pesticides, work harder 12hours daily in small office, and not forget she not eat any junk food at all so they decided to dislike it.",她的生活很无聊，她应该吃更多被农药污染的转基因蔬菜，每天在小型办公室里努力工作12小时，并且不要忘记她根本不吃任何垃圾食​​品，所以他们决定不喜欢它。
19794,Ugw3wBE9UiZKUfxrjNt4AaABAg,25,"who dislikes her videos ,seems to be brain less fellows",谁不喜欢她的视频，似乎是大脑
4019,Ugw3lPr4ca-ek-0Fmwt4AaABAg,25,i'm confused as to how by there's 31k people who dislike this video,我对有31k的人不喜欢这段视频感到困惑
23928,UgwU7nEOIA5U6bs0d2F4AaABAg,21,"how can one watch this and dislike?






oh i get it, they must have not watched the video..... i mean that’s the only explanation.","一个人如何看待这一点和不喜欢？






哦，我明白了，他们一定没有看过视频.....我的意思是这是唯一的解释。"
19953,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91xZDt3yshg,19,"@sweetanzu2231 all due respect, even if its for money you can't deny that it's good content. i don't see why can't it be for money. she's not currently working in the cities and so she posted some meaningful content online to get some income. and it's not easy to get those content filmed so clearly. people who dislikes just find excuses to dislike it.",@sweetanzu2231所有应得的尊重，即使它是为了钱，也不能否认它是很好的内容。我不明白为什么不能赚钱。她目前没有在城市工作，因此她在网上发布了一些有意义的内容以获取一些收入。而且，让这些内容如此清晰地拍摄并不容易。不喜欢的人只是找到不喜欢它的借口。
19943,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91qP2MB5sL_,18,the dislikes are the true supporters of ms. why bother to click the dislike button if they don't come here often.,不喜欢的人是女士的真正支持者。如果经常来这里，为什么要打扰他们不喜欢按钮。
30555,Ugxx12SQiE4UpMV5s554AaABAg,14,"who dislike the video
liziqi love you dear from india your so sweet","谁不喜欢视频
利兹奇（Liziqi）爱你亲爱的印度，你如此甜蜜"
11915,Ugx7V6wRlZhTI1yXM_94AaABAg,13,i just to know who are these 15k dislike people...everything she do is just like a part of my fairytale stories but i can't get enough of her videos and talent......but its true that if you have talent and successful then you will definately have haters and people will try to bring you down.so if you read this comment then keep going.lots of love from india,我只是知道这些15k不喜欢的人是谁...她所做的一切都像我童话故事的一部分，但我无法获得她的视频和才华的足够才华横溢和成功，那么您一定会有仇恨者，人们会试图让您失望。因此，如果您阅读此评论，请继续前进。
4058,Ugw9d-WHdmwXdfzp3DR4AaABAg,12,i don't really know why there are thousands of people who made to dislikes this video. liziqi share us such a natural lifestyle.,我真的不知道为什么有成千上万的人不喜欢这个视频。 Liziqi与我们分享了如此自然的生活方式。
16780,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92wdGBGl8gy,12,some people dislike this cause they are jealous and bad,有些人不喜欢这种原因，因为他们嫉妒和不好
17005,UgzCwT-Khgr4NDvn8cp4AaABAg,12,i'm so confused about these dislikes...,我对这些不喜欢的人感到困惑...
31776,UgxnJvlynXyoniJoWY94AaABAg,12,the dislikers are the ones who try to copy you and fail miserably. you are great and keep up the good work.,不喜欢的人是那些试图复制您并惨败的人。您很棒，并保持良好的工作。
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,"@metalwaves4154 thank you both. if what ms. li's observers posted on some chinese sites are true, she is making around chinese yuan 200 million a year, from videos and online store combined. yt further gives her at least an estimated 1.5 million us dollars a year due to tens of millions of viewer clicks. she disclosed she sometimes worked till 3 a. m. to edit filmed images. at a number of times, she fell ill and was hospitalized due to over-diligence. i respect her since i grew up in south china and i can do 99 % of what she did on camera (due to my deprived childhood). i read and found some dislikes came from opposing camps and competitors. like she does, my daughters and i donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
30900,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ytWCxtiBol,10,"bramha's astra well... that is what cooking is... its definitely not ""food eating"" or ""food storing""... putting together dishes doesnt need to be original or super creative. i really dislike how americans are looked down on on everything. im not saying american cuisine is anything impressive, weve been around for a handful of generations tbh and were all just bunch of cultural foods mixed together, but dont disrespect american chefs or food lovers that genuinely enjoy their creations...",布拉姆（Bramha）的阿斯特拉（Astra）很好...那就是烹饪...绝对不是“食物吃”或“食物存储” ...将菜肴放在一起不需要原始或超级创意。我真的不喜欢美国人如何看待一切。我并不是说美国美食令人印象深刻，我们已经待了几代人，只有一堆文化食品混合在一起，但不要不尊重美国厨师或食物爱好者，这些爱好者真正喜欢他们的创造...
