,cid,votes,time,含house,含house中文翻译
7523,Ugz33gk2n58Ad39Ysvt4AaABAg,701,2 years ago,"you could dump this girl in the wilderness, and you'd come a year later to see that she already has a furnished house, eats nutritious meals, and has befriended and domesticated the animals xd

i love this channel so much.","您可以在荒野中丢弃这个女孩，一年后，您会看到她已经有家具屋子，吃了营养餐，并与动物成为了XD的朋友和驯化

我非常喜欢这个频道。"
36906,Ugys5HUZ3Qn6uKkPGj14AaABAg,318,4 years ago,"seeing her makes me want to go to my village and live on my own...making small house ..gardening,farming๐’๐’๐’๐’",看到她让我想去我的村庄独自生活...制作小房子..守夜，耕种
27192,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zZSm5IDHnU,135,3 years ago,"did you say she has drones flying over her house??? thats terrible, why would people do such terrible things like invading someones privacy?? she should find a way to catch those drones and destroy them or cook them or fry them.",你说她有无人机飞过房屋吗？？？太可怕了，为什么人们会做这样可怕的事情，例如侵犯某人的隐私？她应该找到一种方法来抓住那些无人机，摧毁它们，烹饪或油炸。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,4 years ago,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
5323,Ugyx51wb_3DVntcO5WN4AaABAg,84,1 year ago,"for someone who makes a living for doing household & taking care of her grandmother.. n having a net worth of 8.5 mil, not bad, not bad indeed..",对于一个以家庭为生和照顾祖母的人。
18317,UgzRKs4d9NmwMOL5lQx4AaABAg,75,3 years ago (edited),"those puppies and the lamb just following her everywhere... so cute
wait....they have a popcorn guy with specialized industrial grade equipment that goes house to house to make popcorn?","那些幼犬和羔羊到处都在跟随她...太可爱了
等等...。他们有一个爆米花家伙，有专门的工业级设备，可以在家中可以制作爆米花？"
32007,UgxxBPIVKdd9bUgvq7h4AaABAg,51,4 years ago,now im thinking.. did she build her own house??? so talented โก,现在我在想..她建造了自己的房子吗？？？如此有才华
24887,UgwHxEQZJ1TMbrrekPZ4AaABAg,40,3 years ago,"โ€add some diced melon to the mixture...โ€
us: goes to grocery store to pick up a melon
liziqi: walks outside her house and grabs a melon from a plant","“在混合物中加一些切丁的瓜……”
我们：去杂货店拿起瓜
Liziqi：走到她家外面，从植物上抓住瓜子"
13408,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9C4wUWcUZGI,38,2 years ago,"@kaikujawa6063 considering her living conditions, you can at least tell she isn't short of money. for a house in a rural area, especially in areas with farms, she lives a luxurious life (or rather just her surrounding are especially high standards).",@kaikujawa6063考虑到她的生活条件，您至少可以说她不短缺。对于农村地区的房屋，尤其是在有农场的地区，她过着奢华的生活（或者只是她的周围环境特别高）。
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,3 years ago,"fantastic work, it reminds me my childhood life! she possesses skills of majority of farmer house wife in a typical traditional chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
18075,UgyBJsA04TN0FjiLB7h4AaABAg,30,3 years ago,"if anyone send drones to her house
im gonna whip their spinal cords out","如果有人将无人机送到她的房子
我要鞭打他们的脊髓"
16710,UgxKTlCAdOs4VwXmy414AaABAg,29,3 years ago,"my family is rich and living in big houses. doing etiquette is not easy since im still young and need to learn. but all i want is that! that kind of life! with no maides , all by yourself. look at that cute puppys and sheep.",我的家人很富有，住在大房子里。做礼节并不容易，因为我还很年轻，需要学习。但是我想要的就是！那种生活！没有女仆，一个人自己。看那个可爱的小狗和绵羊。
5714,Ugx4BIN-0lZqai7ihW54AaABAg,25,2 years ago,she makes life and housework look like a poem,她使生活和家务劳动看起来像一首诗
31568,UgxG6rQbECUYkdtpilB4AaABAg,20,4 years ago,i would trade my current life to be in a house this beautiful and liqizi's skills.,我会把我当前的生活换成这个美丽而利奇西的技能。
