,cid,votes,time,含sharing,含sharing中文翻译
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,4 years ago,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,4 years ago,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
818,UgzSyvl6YLaORFbQzTh4AaABAg,46,6 months ago,nice. thanks for sharing all parties to all,好的。感谢您分享所有聚会的所有聚会
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
50168,UgzcuCGDd_nkd_CQyll4AaABAg,12,4 years ago,"thank you again for sharing your life,
happy chinese new year!!","再次感谢您分享您的生活，
农历新年快乐！"
39901,Ugzyd6YIBPmBDwWvsJd4AaABAg.8shCkzYM9Xt8sr4favbMoz,10,4 years ago,puneeth kumar itโ€s sichuan in china. life is a lot harder than it looks in the video but you can choose to complain or create your quality of life. she chose the latter and became very famous in mainland china (20m+ followers) for sharing such lifestyle. sheโ€s a gem.,浦那库玛（Puneeth Kumar）是中国的四川。生活比视频中的看法要困难得多，但是您可以选择抱怨或创造自己的生活质量。她选择了后者，并在中国大陆（20m+追随者）分享了这种生活方式。她是宝石。
3127,UgxznqNRRFDdKcIFUQh4AaABAg,8,1 year ago,your dishes look absolutely wonderful! enjoy watching you cook exotic foods. ty for sharing!,您的菜看起来绝对很棒！喜欢看着你煮奇特的食物。分享！
7092,UgwxvShUzgmMWfhxelF4AaABAg,7,2 years ago,"our families watch this clip together even we live in different countries. we agree that watching her life story allowing us to gain more understand of chinese nowadays in china which is different from what we learned in schools in western countries. (better thank listen to any formal ambassador)
this is heaven on earth that we want to have an opportunity just at least once in our lives to have such direct experiences like ziqi. 
thank you for sharing many things with us. also thank to her cameraman & assistant who is also her cousin, min guo for being with her to create many wonderful videos.","即使我们住在不同的国家，我们的家人也会一起观看这个剪辑。我们同意，看着她的人生故事使我们能够对中国的中国人有更多的了解，这与我们在西方国家中学到的东西不同。 （最好谢谢听任何正式大使）
这是地球上的天堂，我们希望在生活中至少有一次机会拥有像Ziqi这样的直接经历。
感谢您与我们分享很多东西。还要感谢她的摄影师和助手，她也是她的堂兄，明尼·郭（Min Guo）与她一起制作了许多精彩的视频。"
46647,UgznRayRv0aCLiZInI54AaABAg,7,4 years ago,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
38690,UgyIEshGKmdZrZefzwN4AaABAg,7,4 years ago,"hi! thank you for sharing. on minut 06: 49 we can read "" fried melon seeds"" , but they are sunflower seeds and they are just roasted. thanx a lot.",你好！感谢你的分享。在精明的06：49上，我们可以阅读“炸瓜籽”，但它们是向日葵种子，只是烤了。非常感谢。
48522,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qn9u8xKxdv,6,4 years ago,"@catcat-gu5tm, thank you for sharing. i was lonely.",@catcat-gu5tm 谢谢你分享。我孤陋寡闻的。
38032,UgxfXYDybsm3gSdxv0l4AaABAg,5,4 years ago,"the simple life is good for all.
thank you for your sharing.
i love it โคโคโค","简单的生活对所有人都有好处。
感谢您的分享。
我喜欢它❤❤❤"
49895,UgzxN2P9v51m7OeK9CV4AaABAg,4,4 years ago,❤❤❤ your videos. thank you for sharing,❤❤❤您的视频。感谢你的分享
32544,UgxOLEDy3Zru6XfOBRp4AaABAg,4,4 years ago,thank you for sharing your story. i love to see the traditional way of cooking. teaches me a lot.,谢谢你分享你的故事。我喜欢看到传统的烹饪方式。教我很多。
31575,Ugx-QwhMUxtGaDMh-xF4AaABAg,4,4 years ago,"you are such a beautiful person, you've inspired me! thank you for sharing!!",你真是个美丽的人，你启发了我！感谢你的分享！！
8529,Ugx40GICVBVkwteYONV4AaABAg,4,2 years ago,"sorry, liziqi, those impolite comments are from stupid idiots in my country, but that cannot represent all the korean, i apologize for them, please keep sharing fantastic videos, and ignore those stupid uneducated people. i like your videos very much",抱歉，Liziqi，这些不礼貌的评论来自我国愚蠢的白痴，但这不能代表所有韩国人，我为他们道歉，请继续分享出色的视频，而忽略那些愚蠢的未受过教育的人。我非常喜欢你的视频
48742,Ugz9GqrwOQjkZKeZQF14AaABAg.8qmXB6Y9kKz8qn3uGFt_iD,3,4 years ago,"pay attention to sharing everything is also an open -minded attitude towards life, welcome to china! intersection",关注分享一切美好的事物也是一种豁达的人生态度，欢迎来中国！！
34171,Ugyneks5uAWtWPcM1eh4AaABAg,3,4 years ago,"i enjoy watching you accomplish so much then share with your family. especially with your grandparents. the joy in their faces. i also like seeing how differently you do things like the popcorn. we don't have spring festivals here so its great to see it celebrated else where. you're going to have to do another video explaining why you put all that delicious food in boxes? are they stored for later? or are the boxes gifts or donations or maybe offerings?
keep the videos coming . we enjoy them. thank you for sharing with us","我喜欢看着你完成这么多，然后与家人分享。特别是与祖父母在一起。他们脸上的喜悦。我也喜欢看到您做爆米花之类的事情的不同。我们在这里没有春节，所以很高兴看到它在其他地方庆祝。您将不得不做另一个视频，解释为什么您将所有这些美味的食物都放在盒子里？他们存储以后吗？还是盒子的礼物，捐赠或可能的产品？
保持视频的到来。我们喜欢他们。多谢与我们分享"
27249,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-H1fdL3An3,3,3 years ago,"thanks for sharing, i think she is adorable and a strong woman and soul. god bless her and her grandma in all things.",感谢您的分享，我认为她很可爱，是一个坚强的女人和灵魂。上帝保佑她和她的祖母在万物中。
27223,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zuV4wqoExT,3,3 years ago,thanks a lot for sharing.,非常感谢分享。
5769,UgzmNZReRc-yYrAzpv54AaABAg,3,2 years ago,"beautiful and professional videos! every video is a beautiful story, thank you so much for your work, by sharing with us and inspiring so many people! i wish if there would be translation or any english subtitles to the dishes you cook! they look so delicious! what a wonderful place you live in and i admire your strong personality and yet so artistic, hardworking! best wishes for you and your family",美丽而专业的视频！每个视频都是一个美丽的故事，非常感谢您与我们分享并激发了很多人，非常感谢您的工作！我希望您烹饪的菜肴是否会翻译或任何英文字幕！他们看起来很美味！您居住的地方真是一个很棒的地方，我欣赏您强大的个性，但如此艺术，勤奋！祝您和您的家人最良好的祝愿
