,cid,votes,time,含paradise,含paradise中文翻译
34010,UgzhqLlw1RPT7apnOpB4AaABAg,227,3 years ago (edited),"people: nature paradise don't exis-

liziqi: hold my rice bowl","人：大自然天堂不要偏离 - 

liziqi：握住我的米碗"
27640,Ugw7ELr8s9-jBJQO1M94AaABAg,68,3 years ago,omg you have a little paradise there...thanks for sharing!,天哪，您在那里有一点天堂...感谢您的分享！
32719,Ugxe5mWOvV5i7jL2gD14AaABAg,59,3 years ago,i wish one day before i die i could go there and live with you for a day. its a paradise on earth.,我希望有一天我死了，我可以去那里和你住一天。它是地球上的天堂。
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,3 years ago,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
11109,UgyU5DcrSTwyHceU6Ax4AaABAg,19,3 years ago,"her place,just like a real life ""paradise""..she's so talented,esp.in cooking,.fruits organic and,veggies.",她的位置就像现实生活中的“天堂”。她是如此有才华，尤其是在烹饪中，有机和蔬菜。
11155,Ugx2ecOjOYh5ShKvRRp4AaABAg,18,3 years ago,"i appreciate myself very much. when i saw a lot of videos of the beautiful paradise you have, i wanted to come here to live, my greetings, mexico.",我很欣赏自己，当我看到许多您拥有的美丽天堂的视频时，我想来这里生活，我的问候，墨西哥。
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
14218,Ugy-HWbznr4VqeE5bUN4AaABAg,10,3 years ago,"i have anything, so i really want to go to paradise",我有什么，所以我真的很想去天堂
16637,UgzP2kEHbLIkgsLlbGZ4AaABAg,9,3 years ago,every aspect is stunning. a wonderful depiction of paradise.,每个方面都是惊人的。对天堂的精彩描绘。
27915,UgwdkOuMYJJFFB32TO54AaABAg,8,3 years ago,"hi liziqi, your paradise is always beautiful, your grandma and you enjoyed every thing you make and cooking",嗨，利兹奇（Liziqi），你的天堂总是美丽，你的祖母，你喜欢你做的每一件事
17681,UgxC0EF_6wnpzQ5G7YF4AaABAg,6,3 years ago,where is this paradise? looks absolutely heavenly.,这个天堂在哪里？看起来绝对是天堂。
33090,Ugz8TkJKDETZdPc5tDR4AaABAg,3,3 years ago (edited),"lallallah kalash sweet paradise on the destination of the good land, kalash is sweet, and i know one complaint. and his wish, god willing, to fulfill the aspirations, lord, in general, and you are the father of a thousand, and i will return to you, and please, lord.",拉拉拉·卡拉什（Lallallah Kalash）甜蜜的天堂在好土地的目的地，卡拉什（Kalash）很甜蜜，我知道一个抱怨。他的愿望，上帝愿意，愿意实现愿望，主，总的来说，你是一千的父亲，我是我的父亲会回到你身边，请，主。
19783,UgxHccAR5UTCEpXb47V4AaABAg,3,3 years ago,angel in paradise. this is the eden garden,天使在天堂。这是伊甸园
