,cid,votes,time,含lovely,含lovely中文翻译
10509,UgyBw9PEGP_lHQwxqEl4AaABAg,783,3 years ago,the cameraman seems from another world. nature beauty and her lifestyle are so lovely.. loved this content,摄影师似乎来自另一个世界。大自然美女和她的生活方式是如此可爱..喜欢这个内容
11847,Ugxj-NWxRDsYzlG9c1V4AaABAg,327,3 years ago (edited),i love seeing grandma chilling out on the shaded swing. every elderly person should have that opportunity for rest after a long life. and have lovely well prepared meals for them.,我喜欢看到奶奶在阴影的秋千上放松。每个老人都应该在长寿之后有机会休息。并为他们提供可爱的餐点。
33469,Ugxi62w6Jt8MlO_OpJl4AaABAg,260,3 years ago (edited),i always forget she lives in the modern world with us. so lovely,我总是忘记她和我们一起生活在现代世界中。太可爱了
27120,UgxQN5MtvnJ0GDjkW5V4AaABAg,18,3 years ago,we north eastern part of india eat the same as she eats so lovely to see her cook so gracefully ❤❤,我们印度东北部的吃和她吃的东西一样可爱，以至于看到她的厨师如此优雅地吃❤❤
11853,UgwLAcAQG4gkcP-iBRB4AaABAg,15,3 years ago,"she is so lovely! 
i'm like living in contryside.","她真可爱！
我就像住在争议中。"
28000,Ugx1WY5JExPYRwUI8JR4AaABAg,10,3 years ago,your video are so lovely and it has a calming and peaceful effect on,您的视频是如此可爱，并且对保持良好工作的镇定和和平影响
4226,Ugw-UR4AZmbiBRTg7aR4AaABAg,7,2 years ago (edited),"congratulations! your videos remember me of my lovely childhood in the countryside and my grandma's awesome cooking!! furthermore, your videos have an eerie aesthetic. they seem etxtracts from a film! may i ask which camera do you use? by the way, which editing programme do you use?",恭喜！您的视频记得我在乡村和祖母的烹饪烹饪中可爱的童年！此外，您的视频具有令人毛骨悚然的美感。他们似乎是从电影中获得的！请问您使用哪种相机？顺便说一下，您使用哪个编辑程序？
26877,UgyIms1hOLaWVF7KU-t4AaABAg,6,3 years ago (edited),"the western media often report that china is a terrible country. the government is very dictatorial, and always bully people, such as hong kong, xinjiang, and tibet. but china is very vast with 56 different nationalities, they also have a lot of social problems, but the government is working hard to solve it and narrow the gap between the rich and the poor, they try to make the chinese live better. i have lived in china for 35 years, the chinese are lovely and kind, they are peaceful, work hard and enjoy life, that's why the chinese love to cooking food so much!",西方媒体经常报告中国是一个可怕的国家。政府是独裁的，总是欺负人，例如香港，新疆和西藏。但是中国非常庞大，有56个不同的国籍，他们也有很多社会问题，但是政府正在努力解决这个问题，并缩小富人与穷人之间的差距，他们试图使中国人的生活变得更好。我在中国生活了35年，中国人既可爱又善良，他们宁静，努力工作并享受生活，这就是为什么中国人喜欢这么多烹饪食物的原因！
18268,Ugy16ZH4s7aNsTlNpmt4AaABAg,6,3 years ago,"this place is so lovely.... there have so vegetables, fruits and everything.......",这个地方太可爱了。...有蔬菜，水果和一切。
17956,UgzwJOIY_82wbF_-g214AaABAg,6,3 years ago (edited),"wow, this was such an amazing video. the scenery, and beauty that surrounds her home is something i wish to achieve in life (not to mention the amount of technique, skill and knowledge this woman has, another goal). inside of the home was lovely too. 
reminds me a lot of hayao miyazaki’s art work. just speechless!!!!","哇，这真是一个了不起的视频。我希望在生活中实现的风景和周围的美丽（更不用说这个女人拥有的技巧，技能和知识，另一个目标）。家里也很可爱。
让我想起了许多宫崎骏的艺术作品。只是无语！！！"
33723,UgyiCmqJ-Iy4o8MxYm94AaABAg,5,3 years ago,"i am always surprised how many different kinds of fresh foods you have on your land. it is great. 
thank you for making this lovely dish. also greetings to grandmother","我总是惊讶于您在土地上有多少种不同种类的新鲜食品。太好了。
感谢您制作这道可爱的菜。也向祖母问候"
4349,UgyzNLitPWRTTdMT6rl4AaABAg,5,2 years ago,"my wife is from guangzhou china. so cute, lovely and super smart. i love china ~ ^0^",我的妻子来自中国广州。如此可爱，可爱和超级聪明。我爱中国〜 ^0 ^
19106,UgxftWxnuzeN0jmwjq94AaABAg,4,3 years ago,i love ur grandma she's so sweet and lovely,我爱你的祖母，她是如此可爱又可爱
3446,Ugz52awlurniXXBVGwx4AaABAg,3,2 years ago,"so beautiful, amazing, lovely, and wonderful. much blessings to you. thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。祝福你。感谢您的分享，耶和华 - 基督教
3371,UgzcEyG8DzzsWhQjnIV4AaABAg,2,1 year ago,how lovely your grandma ❤,你的祖母多么可爱，看到你的祖母让我想起了我的祖母
28364,Ugw4oagRSrnkZ2PMqUR4AaABAg.8yZ1XUUU0pf8yduaog1-KE,2,3 years ago,"chad hk your tribe and culture is beautiful, one of india’s best part our lovely northeast! happy independence day girl",乍得香港您的部落和文化很美，这是印度最好的东北地区之一！独立日快乐的女孩
6270,UgwyzW3-IjFllMQcKS14AaABAg,2,2 years ago,the cameraman seems from another world. nature beauty and her lifestyle are so lovely.. loved this content,摄影师似乎来自另一个世界。大自然美女和她的生活方式是如此可爱..喜欢这个内容
9454,Ugz4SbjMsUuAJBd7AE94AaABAg,1,2 years ago,"just watching the videos of this lovely girl get me out of stress and fatigue, i feel like i have moved in my soul to this wonderful and quiet place",只是看这个可爱的女孩的视频使我摆脱了压力和疲劳，我觉得自己已经搬到了这个奇妙而安静的地方
13909,Ugzn5jAwPlsgz0PeTbx4AaABAg,1,3 years ago,"she is so beautiful and hardworking, a lovely young lady. would have loved to have a daughter like that!",她是如此美丽而勤奋，是一个可爱的小姐。本来很想有这样的女儿！
28104,UgzQcs09dVWjTG4QDBF4AaABAg.8y_QqzYH1K78ydv8Z1tkRO,1,3 years ago,"i’m an indian too, love her channel, it’s beautiful just like our lovely north east. happy independence day!",我也是印度人，喜欢她的频道，就像我们可爱的东北一样美丽。独立日快乐！
10158,UgzRLLsa6cxzqgisAjp4AaABAg,1,3 years ago,"1:21
this remind me of my lovely grandma and me when we were spending our time together.","1:21
这让我想起了我和我一起度过时光时的可爱奶奶。"
15764,UgyCNUuaiGI7Hfdhmml4AaABAg,1,3 years ago,lovely,可爱的
10740,Ugyl4fzkHiqW-h0KtKt4AaABAg,1,3 years ago,that's lovely. ñam ñam. health. hugs from ❤️,这是可爱的。 ñamñam。健康。拥抱❤️
22053,UgxYt_jpGJvEKAUOAn94AaABAg,1,3 years ago,what a beautiful and skillful girl! she is just lovely!,多么美丽而熟练的女孩！她只是可爱！
