,cid,votes,time,含best,含best中文翻译
32151,Ugw98zMUT5-2W4KP6xF4AaABAg,7600,4 years ago,i suddenly feel the urge to turn my life 180ยบ and become the best version of myself,我突然感到自己的生活180º并成为我自己最好的版本
33749,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vJkqbFTH5R,882,4 years ago,"@ingestrauss3826 seems our idea of success, doesn't coincide with health and happiness too well. we are working for the man and government (which i thought was the other way around), period. most of us will not be as financially successful as we'd like. in the process we've are ruining nature, instead of protecting it, and letting it provide it's best for us to live and enjoy.",@ingestrauss3826似乎是我们成功的想法，与健康和幸福不太吻合。我们正在为人类和政府工作（我认为这是相反的时期）。我们大多数人不会像我们想要的那样成功。在此过程中，我们正在破坏自然，而不是保护自然，并让它为我们的生活和享受提供最好的生活。
48873,UgxUxrzh2_nXib9I-4h4AaABAg,459,4 years ago,the puppies are the best part of this video oh and the cute sheep too,幼犬是该视频中最好的部分哦，可爱的绵羊也是
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,1 year ago,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
6778,Ugxcg1YecqZ1udNnT4V4AaABAg,360,2 years ago,the best life a human can possibly live in harmony with nature....,人类可能与自然和谐相处的最好的生活。
29830,UgzwLAANTk5m3qE9Vcp4AaABAg,342,3 years ago,"i am egyptian, i have 14 years. but i believe that the chinese are the best people in the world. i am talking about arabic, but i translate it into chinese and let the chinese understand. i love china and china, and i have been looking forward to all news from this great country in china. this is a very great country.",我是埃及人，我有14年。但我相信中国人是全世界最好的人。我说的是阿拉伯语，但是我把它翻译成中文，让中国人理解。我热爱中国和中国，我一直期待中国这个伟大国家的所有新闻，这是一个非常伟大的国家。
17187,UgycGdB8SkzL05KPC1Z4AaABAg,308,3 years ago (edited),"imagine if she had kids





her kids would have the best homemade lunch in the whole school.","想象她是否有孩子





她的孩子将在整个学校里吃最好的自制午餐。"
6265,Ugx8nG2qhN8UfEgsh5R4AaABAg,301,2 years ago,"imagine how beautiful is to have a life like this. living in harmony witg nature,no social media,so there is no insecurities or body shaming,just care about you and the biotic organisms around you,life will be at its best.",想象一下，拥有这样的生活有多美好。生活在和谐的维格大自然中，没有社交媒体，因此没有不安全感或身体羞辱，只是关心您和周围的生物生物，生活将处于最佳状态。
24882,UgykCd6Iis9HNK6PQKt4AaABAg,200,3 years ago (edited),"this woman is very tough, i've seen her injured several times to create the world's best content.
keep up the spirit, sister and hopefully have a long healthy life.
warm greetings to grandma ๐","这个女人非常艰难，我见过她几次受伤，创造了世界上最好的内容。
保持精神，姐姐，并希望能长寿。
向奶奶的热情问候"
26235,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zpV1JqRyOB,121,3 years ago,good job! best wishes!,好工作！最好的祝愿！
36757,UgxCLSmif0mx5Hvc-kx4AaABAg,119,4 years ago,"this is the best channel everrrrrrrrr
i am so serious omg wow","这是最好的频道Everrrrrrrrr
我好认真的天哪哇"
44961,UgxF6fHp5nG5Nh5CLnp4AaABAg,97,4 years ago,"who said french cuisine is the best ? chineses is far better, healthier and richer. am french.",谁说法国美食是最好的？ Chineses更好，更健康，更丰富。是法国人。
19356,UgxrGL_gZgLw_j9TS1t4AaABAg,87,3 years ago,"she is like a dream princess. best of luck dear.

from,
bangladesh.","她就像一个梦想的公主。祝您好运。

从，
孟加拉国。"
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,4 years ago,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
26241,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zrFm-8ra9s,69,3 years ago,"the best step is the 1st step, fantastic job buddy",最好的一步是第一步，很棒的工作伙伴
15968,UgwAbK_X4dln96WPCTN4AaABAg,63,3 years ago,you motivate me you inspire man i'm 75 years old and that give up online until i saw some of your shows that's the best medicine anybody would want. i do not know you personally but you're a godsend the lord loves you i wish i was more people like you were that kind of russian americans it makes no difference i wish i was more people planet earth like god bless you.,您激励我，您激发了我今年75岁的人，在网上放弃了，直到我看到您的一些节目，这是任何人都想要的最好的药物。我个人不认识你，但你是天哪，上帝爱你，我希望我更多的人，就像你是那种俄罗斯的美国人那没有什么区别，我希望我像上帝一样，像上帝一样，保佑你。
48782,UgzY9XjMdZTksNhI74J4AaABAg,54,4 years ago,"the best chinese culture ambassador, thousands love from nigeria",中国最好的文化大使，来自尼日利亚的成千上万的爱
32448,UgzkTsZpN8KLsl_Ng_d4AaABAg,52,4 years ago,"this is an actual asmr video. 

(the best part is 3:11)","这是一个实际的ASMR视频。

（最好的部分是3:11）"
6170,UgxwsnZSo2V99XRIAhZ4AaABAg,52,2 years ago,i suddenly feel the urge to turn my life 180º and become the best version of myself,我突然感到自己的生活180º并成为我自己最好的版本
16473,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l98lPdzA56xQ,37,3 years ago,been with nature is the best happiness,与大自然在一起是最好的幸福
29506,UgwfErjz-wPj1YiSNwJ4AaABAg,35,3 years ago,"you are awesome and your village is world's best place to live, hope i was there forever...",您很棒，您的村庄是世界上最好的生活场所，希望我永远在那里...
40174,UgwJqScim-uvTVs3UJB4AaABAg,35,4 years ago,it was the 10 best minutes invested in my click life,这是我点击生活中投入的10分钟
38471,Ugwbxyiat2vTu2Jfcep4AaABAg,33,4 years ago,best video iโ€ve seen in my life.. donโ€t know why... maybe itโ€s knowing the old lady must be happy makes me happy.. uau,我一生中见过的最好的视频..不知道为什么...也许是知道老太太一定要快乐让我开心。
32173,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w2Gt1qED_U,31,4 years ago,hope you the best!,希望你一切顺利！
27224,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zvAelFBZOU,28,3 years ago,"during the hardest time in city, she even slept on street benches. what a hard life for a young girl! she deserves what she gets today! god bless her! bless all the people who are striving all their best to live in the hardest mode of life! big respect!",在城市最艰难的时期，她甚至睡在街头长凳上。对于一个年轻的女孩来说，这真是艰难的生活！她应该得到今天得到的！上帝保佑她！祝福所有尽力生活在最艰难的生活方式的人们！大尊重！
43625,UgwEjFsNd0cxZjZo9sN4AaABAg,26,4 years ago,"everything about this channel is so soothing and relaxing, the best way to end the day! very thank you! happy new year! may you be happy and prosperous!","Everything about this channel is so soothing and relaxing, the best way to end the day! 很谢谢！ 新年好！ 恭喜发财！"
42797,UgysGxgQ5Ehy45ioJZ14AaABAg,25,4 years ago,the best heir of traditional chinese culture,中国传统文化最优秀的继承人
49503,UgxaE7KhdDZT9yFA_NZ4AaABAg,22,4 years ago,happy chinese new year!! i never lost any video of you !! wish you all the best!!! ❤,农历新年快乐！我从来没有失去过你的视频！祝你一切顺利！！！ ❤
32175,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w2tS7s8fI2,22,4 years ago,@sensen4161 thanks! that's very sweet! i wish the best for you too!,@sensen4161谢谢！那太好了！我也祝您一切顺利！
18350,UgyVnU8FwUnNwJQ_NBZ4AaABAg,22,3 years ago,i truly admire this lady. she is so well rounded and skilled at so many things and is kind to her family. best wishes always to her.,我真的很佩服这位女士。她在很多事情上都非常圆润，熟练，对她的家人很友善。祝她最好。
18642,Ugybw03rCCEfggeewoN4AaABAg,18,3 years ago (edited),imagine being the husband of this young lady...probably will be the best thing ever!!,想象一下成为这位小姐的丈夫...可能是有史以来最好的事情！！
4160,Ugywxwa2cd59U71Sdvd4AaABAg,14,1 year ago,"it's the best! i haven't seen it yet, but i feel like that.",这是最好的！我还没有看过，但是我觉得那样。
48807,UgxjihSO5UBXhgLrj-x4AaABAg,14,4 years ago,happy chinese new year!!!!!!! all the best~~~~,农历新年快乐!!!!!!!最好的~~~~
4924,UgyH1xUV_1K4ULBRiFh4AaABAg,13,1 year ago,no doubt that chinese culture is the best culture in the world.,毫无疑问，中国文化是世界上最好的文化。
33270,UgzYAPal7GjkZkDP3yZ4AaABAg,13,4 years ago,"the best youtube channel with great music,cinematography,beauty young girl& super talented&cooking",最好的YouTube频道，具有出色的音乐，摄影，美丽的年轻女孩和超级才华和烹饪
42268,UgyhS1-KL-ix0nQ629Z4AaABAg,13,4 years ago,best video i watched for a long time. every thing is so beautiful,我看了很长时间的最佳视频。每件事都是如此美丽
32974,UgyGQ5lnLQ1ywd23_lR4AaABAg,12,4 years ago (edited),"your all video are great and i don't want to miss any video
but it's best if add english subtittle. love from nepal","您的所有视频都很棒，我不想错过任何视频
但是最好是添加英文小块。来自尼泊尔的爱"
49592,Ugz2jbZ_j6w3dJQl6JF4AaABAg,12,4 years ago,beautiful video! happy chinese new year to you and to everybody! best wishes and love from switzerland.,美丽的视频！春节祝您和每个人！瑞士的最良好祝愿和爱。
