,cid,votes,含food,含food中文翻译
30871,UgzwGoc9tWSZUi0myDV4AaABAg,4900,this channel beats anything they're showing on food network in the states.,该频道击败了他们在美国食品网络上显示的任何东西。
21753,UgwHHw9NsEGyLXeYM3F4AaABAg,1100,"my mom would cook authentic phillipino food every single day without stop, after she lost her battle with cancer about a year ago ive never had the same feeling of just coming home from school to smell the most amazing food ive ever tasted. your videos brings back these memories, the frying of the food sounds the same in your videos, her tossing the food in the wok, the scrapeing of the metal on the pan, i can even smell whats going on through the screen. your videos saved me from ever forgetting her, your videos helped me out through those dark times, though its not phillipino food, the way you cook is so so so similar to my mom’s. thank you for that. (ive also shown these videos to my dad and he also loves them, my entire family is full of cooks so this was a breath of fresh air)",我妈妈每天都会每天煮正宗的菲律宾食物，而大约一年前，她失去了与癌症的斗争后，我从来没有像从学校回家回家的感觉，闻到了有史以来最令人惊叹的食物。您的视频带回了这些记忆，食物的煎炸在您的视频中听起来一样，她在锅中扔食物，锅上的金属刮擦，我什至可以闻到屏幕上发生的事情。您的视频使我免于忘记她，您的视频在那些黑暗的时期帮助了我，尽管它不是菲律宾的食物，但您的烹饪方式与我妈妈的烹饪方式如此相似。谢谢你。 （我还向我的父亲展示了这些视频，他也爱他们，我的整个家庭都充满了厨师，所以这是新鲜空气的呼吸）
14876,UgxEWna8ZL1zTxibmY54AaABAg,800,"the best part about all of these videos is that every single piece of food and every single ingredient is 100% fresh, healthy, and pesticide/steroid free. i envy that the most of all, to be honest.",所有这些视频最好的部分是，每片食物和每种成分都是100％新鲜，健康和农药/类固醇的。老实说，我最羡慕最重要的是。
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
4452,Ugzj2Yk28J8Y2fosqYR4AaABAg,445,"indonisian: in indonesia, we call this bamboo root as rebung. we process it into various dishes, the taste wonderful.
korean: it's our food. we dont''t want other people to cook it.","印度人：在印度尼西亚，我们将这种竹根称为rebung。我们将其加工成各种菜肴，味道很棒。
韩国人：这是我们的食物。我们不希望别人做饭。"
24746,UgywjeuRIp_tgmm9JFZ4AaABAg,402,"liziqi: makes really good home made food by getting it from plants and lakes she finds 

me: eats mcdonald’s while watching liziqi","Liziqi：从她发现的植物和湖泊中获得真正的自制食物

我：看麦当劳一边看利兹奇"
26860,UgzQ4OBGGGIyUq7xGMV4AaABAg,308,"while we spend hundreds of dollar try to buy what so called ""organic food"" liziqi just pick her ingredients in the backyard. it's awesome.",当我们花费数百美元尝试购买所谓的“有机食品”的东西时，Liziqi只是在后院选择她的食材。这很棒。
12156,UgycBYapKu7TH6vb3Ed4AaABAg,272,"my dream is to one day have a garden where i can grow plants, flowers, herbs and food for my family. her and grandma must be so happy. all that nature around them and the nutritious food to nourish them",我的梦想是有一天有一个花园，我可以在这里为家人种植植物，鲜花，草药和食物。她和奶奶一定很高兴。他们周围的所有大自然以及营养丰富的食物以滋养它们
23863,Ugw3Cxr5gIo_5_pT_454AaABAg,221,i’m pretty sure she made enough food to feed the film crew too!,我很确定她也做足够的食物来喂电影工作人员！
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
