,cid,votes,含hardworking,含hardworking中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
11379,Ugx-5d2aAZv1U6QtBMx4AaABAg,144,"hi to all who's reading this, please continue supporting her. she's a very hardworking person so please do avoid skipping ads and continue commenting for engagement and for her videos to be seen on a bigger audience.",嗨，所有正在阅读此书的人，请继续支持她。她是一个非常勤奋的人，所以请避免跳过广告，并继续评论参与，并在更大的观众身上观看她的视频。
34245,Ugx5t6WgXk0zJSrTBg94AaABAg,129,"ziqi is the most talented and hardworking girl.
anyone agree with me","Ziqi是最有才华和勤奋的女孩。
任何人都同意我"
3909,UgxgK05InVePyfFVu_14AaABAg,62,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
8659,UgzdsTWfitOY34RZRW14AaABAg,24,this girl is so hardworking. i can't even do a percent of it,这个女孩是如此努力。我什至不能做一百分点
2366,UgydjI962gS1QDC0BVt4AaABAg,18,"you're so hardworking and beautiful, i love the simplicity. also you're a great cook, i would really like to learn some of your recipes",您是如此的努力和美丽，我喜欢简单性。另外，您是一个很棒的厨师，我真的很想学习您的一些食谱
7981,UgwkHFOB4PMOJvRjImB4AaABAg,14,"she is pretty, smart, hardworking, and cares for her grandparents she's amazing",她很漂亮，聪明，勤奋，照顾她的祖父母，她很棒
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
15068,UgySes7VPN_lSv5OzTB4AaABAg,14,sometimes i wish i was as hardworking as her but then i remember that i'm not even willing to wash my own dishes!!,有时我希望自己像她一样勤奋，但后来我记得我什至不愿意洗自己的菜！
8794,UgwB4v5FcsFKihalqeJ4AaABAg,13,"what a hardworking one, he knows how to do everything",多么勤奋的人，他知道如何做一切
20317,UgxjRl86IPQ28sNb41F4AaABAg,11,"she is such a hardworking lady. working day and night, i salute her determination. 
i loved the place which is so beautiful, whatever you need just step out and you will find everything whatever you need. this seems to be so beautiful and easy but not she is doing the hardest work. i love everything about this video","她是一位勤奋的女士。日夜工作，我向她致敬。
我喜欢一个如此美丽的地方，无论您需要什么，只需走出去，您会找到一切所需的一切。这似乎是如此美丽和容易，但不是她在做最艰苦的工作。我喜欢这个视频的一切"
10330,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR99YYPJmWwLo,7,i always do this for her. she's very hardworking and definitely deserves it,我总是为她做这个。她很努力，绝对值得
14734,UgyvsKDO1aFKa1YOWNp4AaABAg,5,"she pretty, talented, hardworking, and looks humble there aren't that many people with all those quality combined",她漂亮，才华横溢，勤奋，看起来很谦虚
15886,UgwvQwm4epd5OoI2m5h4AaABAg,5,she is the most hardworking woman i havr ever seen in this technology dependent women world.. i cant even do all those thing by myself,她是我在这个技术依赖的女性世界中见过的最勤奋的女人。我什至无法独自做所有这些事情
15491,UgxeHC0PohKFfAal8mh4AaABAg,5,"how simple is life, just like that beautiful hardworking girl",生活有多简单，就像那个美丽的勤奋女孩
24565,UgxSUie0_w4xYaV_-v14AaABAg,4,"what i love about ziqi most is she shows lots of good qualities of many traditional chinese women, resilient, supportive, gentle, caring, strong and hardworking.",我最喜欢Ziqi的是她表现出许多传统的中国女性的良好品质，这些女性有韧性，支持，温柔，关怀，坚强和勤奋。
35134,UgxYND322dbc3foA9W94AaABAg,4,she is the most talented and hardworking lady i've ever seen!! her videos are really worth watching!!,她是我见过的最有才华和勤奋的女士！她的视频真的值得一看！
33094,UgzE3laav_gV9veF8_l4AaABAg,3,liziqi have to be named « a very talented and hardworking girl in the world »,Liziqi必须被命名为“世界上非常有才华和勤奋的女孩”
20767,UgzgnP8B47BBQj4swAF4AaABAg,3,"delicious, smart and hardworking girls, we love you!",人间美味，聪明勤劳的姑娘我们爱您！
23783,UgyAm7enJjKMRR9AjzV4AaABAg,3,"i fell in love with this goddess, she is beautiful, hardworking, hardworking and loves her elderly, she is beautiful has beautiful feet and hands beyond a beautiful face.
i want to have such a life, i love the field and plant ...","我爱上了这个女神，她美丽，勤奋，勤奋，爱她的老人，她是美丽的脚，双手超出了美丽的脸蛋。
我想拥有这样的生活，我喜欢田地..."
2866,UgyBN-HoyyaPoaCrda54AaABAg,2,the most beautiful and beautiful girl her creativity has no intelligent and hardworking limits and beautiful a rare combination,最美丽，最美丽的女孩她的创造力没有明智而勤奋的限制和美丽的罕见组合
5799,UgzvbWRKeRMrGGctqlN4AaABAg,2,"eh, i would have such a mistress in a new house, i would have a drink with one love !!! i have been looking for such a magical one all my life !!! the bee is hardworking! surely the soul is the same beautiful as her appearance !!! and even on different languages, they would understand each other and even without words !!!",嗯，我会在新房子里有一个情妇，我会喝一杯爱！！我一直在寻找我一生的神奇！！！！！！！！！！！！！！！！！！像她的外表一样美丽！！！甚至在不同的语言上，他们也会彼此了解，甚至没有言语！！！
32417,Ugw6g_vEsJZc9Wb2Vop4AaABAg,2,i just love her always and her video...she is so hardworking.,我总是爱她和她的视频...她是如此勤奋。
1238,UgwHSkAhaIT63l80Ys94AaABAg,2,"what a fine fellow girl, hardworking.",真是个好女孩，勤奋。
5247,Ugx6PY7kUCw9NLE06_B4AaABAg,2,you're so hardworking,你是如此努力
15829,Ugz9yIW0_sTfOVZcda54AaABAg.933dWSf5Viy936hC-8Dy95,2,shelly g old chinese culture spirit for this in fact，so we do really for peace ，friendly and hardworking . hello from a 5000years’ country . nice day lady.,雪莉·古老的中国文化精神实际上是为了，所以我们确实为和平，友好而勤奋而做。您好，来自5000年的国家。美好的一天女士。
11299,UgxLV5tVWrtmLFEDU1R4AaABAg,1,wonderful garden with magic growing vegetables and amazing hardworking lady with wonderful talent!,奇妙的花园与魔术种植蔬菜和令人惊叹的勤奋女士，具有出色的才华！
13909,Ugzn5jAwPlsgz0PeTbx4AaABAg,1,"she is so beautiful and hardworking, a lovely young lady. would have loved to have a daughter like that!",她是如此美丽而勤奋，是一个可爱的小姐。本来很想有这样的女儿！
32662,UgzOlEDNG7x4nitvzb14AaABAg,1,"aside from the skill and beauty that ziqi possess, i really admire her hardwork and the love she has for her grandma. we all say that she's like a princess because of her beauty and the way she connects with nature and her hardworking attitude but really, what makes her the most princess like is the love that she has for her family. and with that, she must be protected at all cost ♡",除了Ziqi拥有的技巧和美丽之外，我还非常佩服她的辛勤工作和对祖母的爱。我们都说她就像一位公主，因为她的美丽以及她与自然和勤奋的态度的联系方式，但实际上，让她最主要的公主是她对家人的爱。因此，她必须不惜一切代价保护她
32060,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yWAQ6S0Crm,1,"pysvtfa4 this is the first comment i have ever gotten a reply to haha! i totally get what you mean, she’s an amazing hardworking goddess. even though she wasn’t super rich, i’m pretty sure that she was decently well off in terms of finance in order to even own this much land anyways. thanks for educating me more about her!",pysvtfa4这是我对哈哈的回复的第一条评论！我完全明白你的意思，她是一个了不起的勤奋女神。即使她不是超级富裕，我也很确定她在金融方面表现不错，以便无论如何都拥有这么多土地。感谢您对我进行更多有关她的教育！
4775,UgxoQxXlyjqlyQA1-GR4AaABAg,1,hardworking girl,勤奋的女孩
24000,UgzCabpLKGGuA8RZPLJ4AaABAg,0,"what is conveyed is nature, hardworking, beautiful, and kind, please kneel down and reflect on the japanese! intersection intersection",传达的是自然，勤劳，美丽，善良，请日本人跪下反省！！！
7258,Ugw_OaH3TA9Vt8x7eYV4AaABAg,0,you are such a hardworking girl. i love the way you do all your work . so energetic you are. god bless you.,你真是个勤奋的女孩。我喜欢您所有工作的方式。如此精力充沛。上帝祝福你。
3295,UgwPhmKovDFol0KSpQp4AaABAg,0,"i know my sister, you don't understand my tongue, but i love your vidian and you are very hardworking",我知道我姐姐，你不明白我的舌头，但我爱你的维迪安，你很努力
22751,UgwYV9tWpJUGjeaBjM94AaABAg,0,she is the real alone hardworking beautiful lady ✌✌,她是真正勤奋的美丽女士✌✌
22573,UgwqjsYmy0Zg8zENo8N4AaABAg,0,"i subscribed like a day ago, downloaded a whole lot of her videos and had my family watch. we all fell in love with her hardworking spirit. my mom kept wondering where she gets her strength and how dedicated she is for a young woman. truly motivational.",我像一天前一样订阅，下载了她的大量视频，并有家人观看。我们都爱上了她勤奋的精神。我妈妈一直想知道她在哪里得到自己的力量，以及她对一个年轻女子的奉献精神。真正的励志。
21554,UgxAi6UMl7tf8VB4j5R4AaABAg,0,"very beautiful and hardworking, now there are few. i only have time to remove in the apartment during the day, and she should make a bed and cosmetics from a bamboo, another dress. well, she will definitely survive on the island. it would be great to see her.",非常美丽而勤奋，现在很少。我白天只有时间在公寓里搬到公寓里，她应该用竹子（另一件衣服）制作床和化妆品。好吧，她一定会在岛上生存。很高兴见到她。
25075,Ugwy0uTnClgcg62I2LB4AaABAg,0,you are very hardworking,你很努力
30004,UgyngFtEZjiu0JnQEb14AaABAg,0,"the chinese are really hardworking in order to eat, just for that blindness, this is not comparable to any ethnic group in the world.",中国人为了一口吃真是不辞千辛万苦，就为了那一味，这是世界上哪个民族都比不了的。
28298,Ugznv9CFekbit5vkZo14AaABAg,0,i think that hands is roughed coz she's hardworking. she's awesome!!,我认为她的努力工作很粗糙。她很棒！
29122,UgxqfVhubcVcTcRg3tJ4AaABAg,0,im so jealous in her she is pretty lovelg hardworking kind . she is more better than a princess,我对她很嫉妒，她非常勤奋。她比公主好
29824,Ugz8wNxbMHGVmZGrOwN4AaABAg,0,a very hardworking girl.,一个非常勤奋的女孩。
30477,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39anSYqbUPgT,0,"@yolanday391 so much experience, skill, talent crushed by homelessness... it came from a little girl who was raised with the experiences of her elders. may her life always be a happy smile, hardworking woman.",@yolanday391如此丰富的经验，技巧，才华横溢的无家可归者……它来自一个小女孩，她的长者经历了。愿她的生活永远是一个快乐的微笑，勤奋的女人。
30535,Ugyj8_BU07MhMfhprU14AaABAg,0,4.7k in just 10 hours!!!amazing.mis s liziqi whole universe love and appreciate your hardworking.keep amazed us with your new video,4.7k在短短10个小时内！！令人惊叹。
30617,Ugwr7t81zknF9TEQXat4AaABAg,0,you are very hardworking love your videos wanna live at your place best of luck dear,您非常努力地爱您的视频，想在您的位置最好的好运，亲爱的
31162,Ugx2SeKdiMLI5WXz5q14AaABAg,0,"if i can judge correctly, then the hardworking and unpretentious skillful girl and her mother (or grandmother) were placed in environmentally friendly conditions, provided them with a house and removed from the entire city bustle. they provided everything necessary and observe their simple life.",如果我能正确判断，那么勤奋而朴实的熟练女孩和她的母亲（或祖母）就处于环保条件下，前提是他们有房子，并从整个城市的喧嚣中撤离。他们提供了必要的一切，并观察他们的简单生活。
