,cid,votes,time,含village,含village中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,1 year ago (edited),"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
21681,UgwBRxLOi-ZesieYcjN4AaABAg,259,3 years ago,she gave up the city life and moved back to village to take care of her grandmother,她放弃了城市的生活，搬回村庄，照顾祖母
28550,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8z7yoBdhuVf,112,3 years ago,@franzpeters3824 why she should have proper english?? she live at her village not looking for a job at new york,@franzpeters3824她为什么应该拥有适当的英语？她住在她的村庄，没有在纽约找工作
9160,Ugztg3AWD6dCH_KutUp4AaABAg,96,2 years ago,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
18509,Ugz7vX27tY0R8YBBwyB4AaABAg,89,3 years ago,i love how some of her music sounds like you're entering some sleepy little village in a jrpg from the 90's.,我喜欢她的一些音乐听起来好像您正在90年代进入JRPG的一个困倦的小村庄。
7623,UgwWWfHuFaBsk2bQqhd4AaABAg,82,2 years ago,"many years ago, i was in a small village like hers. it brings me back a lot of stories.. thanks liziqi",很多年前，我在像她这样的小村庄里。它给我带来了很多故事..谢谢Liziqi
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,3 years ago,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
12703,UgzQgS0dIddq6nW3-R14AaABAg,29,3 years ago,"i wish we could get a backstory of her actual life, her village etc",我希望我们能得到她的实际生活，她的村庄等的背景故事
11397,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97lZBQp7-pX,18,3 years ago (edited),"@logicone5667 she lives there with her grandma, the video is actually filmed at her home in the village of sichuan province. all those crops would die if she only goes there once a month...she does have a team though, but it doesnt mean its just for show. her grandma needs someone to take care of, thats why she moved back to the village to live with her.",@logicone5667她和祖母一起住在那里，该视频实际上是在她在四川省村的家中拍摄的。所有这些农作物每月只去那里一次……但是她确实有一支球队，但这并不意味着这只是为了表演。她的祖母需要一个人来照顾，这就是为什么她回到村庄和她住在一起的原因。
4164,UgwLNu47aRbiovdaVCF4AaABAg,16,2 years ago,"wonderful nature, i really miss my childhood memories in the village",奇妙的天性，我真的很想念我在村庄的童年记忆
21697,UgwBRxLOi-ZesieYcjN4AaABAg.9-_KlQ8-Npx9-xiDxZpJPO,15,3 years ago,@cammyfeng4066 no she lives in village,@cammyfeng4066不，她住在村庄
11624,Ugx7H5PE15ss_n6ZinN4AaABAg,13,3 years ago,08:00 in my village that plant is weeds. it's becomes a delicious food in the liziqi's hand.,08:00在我村庄，植物是杂草。它变成了利兹奇手中的美味食物。
11400,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97r1h4y03ef,11,3 years ago,"@logicone5667 that is her home, she still lives there despite her success on youtube. her neighbors and so many other chinese villagers actually live like this. you are only saying that because you are unable to do one tenth of the stuff she is capable to do",@Logicone5667是她的家，尽管她在YouTube上取得了成功，但她仍然住在那里。她的邻居和许多其他中国村民实际上是这样生活的。您只是说，因为您无法做她能够做的十分之一的事情
5415,Ugzh3YQiIouysa1499x4AaABAg,8,2 years ago,"now i know, life can still be extremely amazing even you have no money. go back to village",现在我知道，即使您没有钱，生活仍然会非常惊人。回到村庄
11401,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97usPt5z3Qd,8,3 years ago,"logicone lol poor you. that’s not a movie set as you tried hard enough to claim. you research ability, if you have any, is poor enough as a hater. check that house from her old videos. that dream garden is made from scratch. it was not beautiful at first. it’s her grandparents’ house. check more info online, if you know how, then you should know she moved back there to take care of her sick grandmother and started to make the house different. if you did even more research, you would know there have been already people checking her life and the house by using the drone and monitors in that small village, disturbing her grandmother’s and her peaceful life, just like stalkers, which almost made her try to move to other places if it were not rejected by her granny since that’s where she has lived for tens of years. if you did know what a “research” is, you should also know there is an interview from sina news, which gives people an quick tour of how her dream garden looks like. 

and you claimed you did research... lol","逻辑大声笑可怜你。这不是一部电影，因为您努力地索要声称。您的研究能力（如果有的话）作为仇恨者足够贫穷。从她的旧视频中检查房子。那个梦想花园是从头开始的。起初它并不漂亮。这是她祖父母的房子。在线检查更多信息，如果您知道如何，那么您应该知道她搬回那里照顾自己的祖母，并开始使房子与众不同。如果您做了更多的研究，您会知道有人在那个小村庄里使用无人机和监视器来检查她的生活和房屋，这使她的祖母和和平的生活都像缠扰者一样，这几乎使她试图尝试如果她没有被她的奶奶拒绝，那就搬到其他地方，因为那是她已经生活了数十年的地方。如果您确实知道“研究”是什么，那么您还应该知道，新闻新闻的采访，这使人们可以快速参观她的梦想花园的样子。

你声称自己做了研究...大声笑"
19913,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91tlZ1aK1ZF,6,3 years ago,"david hutchins not everything has to do with politics. some people just can’t enjoy a nice video of a beautiful girl who cooks delicious food in a beautiful village. btw china is a big country, there’s plenty of capable people. we can fool ourselves, but not the whole world.",大卫·哈钦斯（David Hutchins）并不与政治有关。有些人只是无法欣赏一个漂亮的女孩，一个漂亮的女孩在一个美丽的村庄里烹饪美味的食物。顺便说一句，中国是一个大国，有很多有能力的人。我们可以自欺欺人，但不能自欺欺人。
7830,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CV1FOIubH4,6,2 years ago,yea ik i am from a similiar village to northeast (sorry for bad eng),是的，我是从一个类似村庄到东北的（对不起，不好的Eng）
34018,UgzhqLlw1RPT7apnOpB4AaABAg.8yUW_GiXa3r8yUjTnoC6kZ,6,3 years ago,george costarica the ducks and chickens are livestock dude. relax - this is not the vegan channel. i like how she includes the catch and kill part because it is part of village life.,乔治·科斯塔里卡（George Costarica）鸭子和鸡是牲畜花花公子。放松 - 这不是素食通道。我喜欢她如何包括捕获和杀死部分，因为它是乡村生活的一部分。
27545,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqNf6on3G3,6,3 years ago,apt215 melissa brown it's just your prejudice.this type village is too normal in china and also the lifestyle.if you don't believe just have a visit to yunnan sichuan guizhou hunan province.,APT215梅利莎·布朗（Melissa Brown）只是您的偏见。这种类型的村庄在中国和生活方式都过于正常。如果您不相信只能参观Yunnan Sichuan Guizhou Hunan省。
3710,UgwW6wtLVUNt_6F7Uuh4AaABAg,6,2 years ago,wat a beautiful village!❣️,一个美丽的村庄！❣️
6111,Ugw-HjzxPFzmXVkJr454AaABAg,5,2 years ago,"without talking anything this video expressed everything..after watching your video, i wish to live in a village as yours..your house is soo gorgeous and beautiful.. the nature and weather of your village is so clam and charming that makes everyone wish to have a life like yours..loveโคโคโค you soooo much from bangladesh ๐ง๐ฉ๐ง๐ฉ",在看视频之后，我想像您的村庄一样住在一个村庄。拥有像你一样的生活。
3949,Ugz1ONrvfBB3HgR_MoB4AaABAg,5,2 years ago,"b.e.s.t f'u'u'l'l d.a.t.i.n.n.g h.o.t g.i.ra.l's — o — e — e-x —— ❤️
hotslut.live/frenchteenxxx305see



in the history of human beings, strong people, rich and cunning people predatory tribes, clan, towns, cities, and villages in the weak people, without members of the poor and poor. however, people's willingness to survive forces those who are rejected, deprived or destroyed, and have found a lifestyle and continue to integrate their dna into the development of human society.
when it comes to food, don't think those who are rejected only eat garbage. instead, they learned to find nutrition in the neglected meat and vegetables. they learned to clean, cut pieces, seasoned and stewed wild vegetables and meat, some household vegetables and meats ignored in the food market, and learned to use aromatic wood cigarettes (such as mountain walnuts, walnuts and bean shrubs
when the food is cooked^.^.","B.e.S.T f'u''l'l D.a.T.i.n.G h.o.T G.i.r.L's —L—o—V—e—S—e-X———❤️
hotslut.live/frenchteenxxx305see



在整个人类历史上，强者，富人和具有狡猾特质的人捕食部落，氏族，城镇，城市和乡村中的弱者，无`'守和贫穷成员。然而，人类的生存意愿迫使那些被拒绝，被剥夺或摧毁的基本需求的人们找到了一种生活方式，并继续将其DNA融入不断发展的人类社会。
说到食物，不要以为那些被拒绝的人只吃垃圾。相反，他们学会了在被忽视的肉类和蔬菜中寻找营养。他们学会了清洁，切块，调味和慢炖慢炖的野菜和肉类，在食品市场上被忽略的部分家用蔬菜和肉类，并且学会了使用芳香的木烟（如山核桃，山核桃和豆科灌木
来调味食物煮的时候^.^."
2672,UgzU5PVILKZHy5JH45p4AaABAg,4,1 year ago,"liziqi is like mulan in the millennium. living in the village in a simple way to maintain the beauty of traditional values. keep on inspiring. greetings of success from us lovers of #seblaqs (sukabumi, sept 2021)",Liziqi就像千年中的Mulan一样。以一种简单的方式生活在村庄，以保持传统价值观的美丽。继续鼓舞人心。 #Seblaqs恋人的成功问候（Sukabumi，2021年9月）
12376,UgxA4-_1-Z8H_bQ6eTR4AaABAg,4,3 years ago,"i came to know this video recently and i am in love in it. the nature ,greenary , village life , way of visuals , grandma and herself everything so pure and soothing to watch",我最近认识了这个视频，我爱上了它。大自然，格林尼，乡村生活，视觉效果，奶奶和她自己如此纯洁而舒缓的一切
2700,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9feBeXzlqxb,3,9 months ago,"@lizhao4061 even if this is just a commercial show, it still very chill, relaxing, positive energy... much better than some drama shows, stupid prank content...etc...etc... on internet. 

btw, i don't know about china, but my mom live in a small village in vietnam wear something similar, different design but the same metarial.","@lizhao4061即使这只是一场商业表演，它仍然非常寒意，放松，积极的能量……比某些戏剧表演，愚蠢的恶作剧内容...等等要好得多。

顺便说一句，我不知道中国，但我妈妈住在越南的一个小村庄里，穿着类似的设计，不同的设计，但具有相同的元。"
5425,UgzopX7Yr44Dc0Gv2cZ4AaABAg.9GVsPeHCDNu9JSLvUE7Tvl,3,2 years ago,she said it was made by the smith in her village.,她说，这是由史密斯在她村庄的。
