,cid,votes,time,含god,含god中文翻译
49373,Ugwc2G9zgVIeMLRaiRB4AaABAg,1100,4 years ago,"my god, i love this channel! everything looks so perfect.",我的天哪，我爱这个频道！一切看起来都很完美。
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,1 year ago,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,4 years ago,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,4 years ago (edited),"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
7141,UgzdDLXBgtLJTFaetC14AaABAg,270,2 years ago (edited),my god the puppies and the baby sheep are so adorable.,我的上帝，小狗和婴儿绵羊是如此可爱。
36766,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx8uUymXj5Q1d,220,4 years ago,"i think of harvest moon every time i see her videos! seriously though, she's maxed out all her stats and ascended to god tier girl.",每次看到她的视频时，我都会想到收获月亮！认真地说，她最大程度地提出了所有的统计数据，并登上了上帝层的女孩。
24336,UgyQAMmANW_77J2u1xt4AaABAg,216,3 years ago,didn't god kick everybody out of the garden of eden? how this woman finds her way to the garden. ๐ค”,上帝不是把所有人都踢出伊甸园吗？这个女人如何找到前往花园的方式。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
49725,UgwYmNRBOuu1iRDmVBF4AaABAg,118,4 years ago,dear god! the amount of work this beautiful woman does is insane!! and with such finesse too... it's wonderful to see her share the fruits of her hardwork with her grandmother...,亲爱的上帝！这个美丽的女人做的工作数量太疯狂了！！而且也这样的技巧……很高兴看到她与祖母分享辛勤工作的果实...
23217,UgynvQ_4Iapdjw7-dQF4AaABAg,94,3 years ago,ppl who disliked it has no connection with nature and god,不喜欢它的人与自然没有关系
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,3 years ago (edited),"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
50202,UgxTXDY2WzPeajjE1TV4AaABAg,76,4 years ago,happy chinese new year!! this video is awesome. god bless you and your family.,农历新年快乐！该视频很棒。上帝保佑你和你的家人。
12982,UgzkSMBnaPYBcYc26id4AaABAg,75,2 years ago,"sixty years i have lived on this earth, and this beautiful human being has accumulated & demonstrated more wisdom and knowledge in her young years than i have in my entire lifetime.
i kneel before you humbled, li ziqi. you are amazing.

you are exactly what we should all aspire to be like. i wish you a long and wonderful life, and may the gods reward you and your generations to come.","我已经生活在地球上了六十年，这个美丽的人在她的年轻时代积累并展现了比我一生中更多的智慧和知识。
李齐（Li Ziqi），我跪下来。你很棒。

你们正是我们都应该渴望的。祝您悠久而美好的生活，并愿众神奖励您和您的几代人。"
15968,UgwAbK_X4dln96WPCTN4AaABAg,63,3 years ago,you motivate me you inspire man i'm 75 years old and that give up online until i saw some of your shows that's the best medicine anybody would want. i do not know you personally but you're a godsend the lord loves you i wish i was more people like you were that kind of russian americans it makes no difference i wish i was more people planet earth like god bless you.,您激励我，您激发了我今年75岁的人，在网上放弃了，直到我看到您的一些节目，这是任何人都想要的最好的药物。我个人不认识你，但你是天哪，上帝爱你，我希望我更多的人，就像你是那种俄罗斯的美国人那没有什么区别，我希望我像上帝一样，像上帝一样，保佑你。
