,cid,votes,time,含lol,含lol中文翻译
28514,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yZZctXn31f,156,3 years ago,lol,哈哈
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,3 years ago,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
18156,UgyGNOeNj4QVDKZxYJF4AaABAg,103,3 years ago,i love how she eats that huge bowl all herself lol,我喜欢她如何吃那个巨大的碗自己大声笑
17251,UgwmPkAZarKIjiKWsNV4AaABAg,95,3 years ago,"i got an ad of gordon ramsay while she was cooking, lol.",我在做饭时收到了戈登·拉姆齐（Gordon Ramsay）的广告，大声笑。
12620,UgwXt8TMzqfcyKJivrZ4AaABAg,80,3 years ago,“careful when replicating this at home. we don’t want fermented fingers/fingertips” lol i love the funny caption,“在家里复制此时要小心。我们不想发酵手指/指尖”大声笑我喜欢有趣的标题
30889,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yWMpu4Y-Cu,74,3 years ago,i'm not in the us but i agree. lol,我不在美国，但我同意。哈哈
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,1 year ago,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
19440,Ugy-eU4sUYK9WQWxFCx4AaABAg,44,3 years ago (edited),"6:55 captions on.
""careful when replicated this at home. we dont want fermented finger tips and nails"" loll .","6:55字幕。
“在家里复制时要小心。我们不想要发酵的手指尖端和指甲。” Loll。"
33022,UgyJyzSzvj6TrTm0FoN4AaABAg,34,3 years ago,one of my favorite dish from china! i'm drooling lol... i miss china so much,我最喜欢的中国菜之一！我在流口水大声笑...我非常想念中国
5896,UgyGbeIzShkGkjEjbxl4AaABAg,28,2 years ago (edited),sometimes i honestly donโ€t know if the handful of random sticks she picks up are going in the wok or in the fire lol. but it sure is mesmerizing.,有时候，我不知道她拿起的少量随机棍子在锅中还是在火中大声笑。但这肯定令人着迷。
16248,Ugx66QKBcck4mPV27BN4AaABAg,28,3 years ago (edited),9:16 is my favorite part. the part where the dog is running so joyfully like he's hopping lol,9:16是我最喜欢的部分。狗像他跳的那部分如此快乐地奔跑
16352,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2931-cj6qM1j,25,3 years ago,"it’s even more amazing how she knows almost everything! her cooking recipes are so complicated and different too every time! not to mention her knowledge in farming, crafting, sewing, etc. real life harvest moon protagonist, lol.",她几乎知道一切都更加了！她的烹饪食谱每次都如此复杂和不同！更不用说她在耕作，制作，缝纫等方面的知识。现实生活收获月亮主角大声笑。
17434,Ugw4Y6TdDjlU9zRkSHR4AaABAg,22,3 years ago,feels like i'm watching an old school tv drama show lol.,感觉就像我在看一部老式的电视戏剧大声笑。
13012,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96CTrSuWe1u,21,3 years ago,"well, msg isn't actually bad lol.",好吧，味精实际上并不坏。
26880,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208ymGR0fN4Cz,21,3 years ago,evelyn dickerson her backyard has a mountain with various plants and animals and a lake with many lotuses lol.,伊芙琳·迪克森（Evelyn Dickerson）她的后院有一座山，上面有各种动植物，还有一个带有许多莲花的湖泊。
5748,UgwaYawtBC072jeexH14AaABAg,20,2 years ago,the bamboo shoot after she peeled looks sorta like a demented unicorn horn lol ๐,她剥皮后的竹芽看起来像个痴呆的独角兽号角大声笑
4783,Ugz-9AfuXVyzFJJ4yi54AaABAg.9IcflViauGt9IodqYdxqIE,18,2 years ago,"lol, everything is from korea",大声笑，一切都来自韩国
27472,UgyZ3AfyOCl5IgGc-cp4AaABAg.8yeOjhy9Yee8yiuZdM5b5K,17,3 years ago,"you will find 17m + 5m people there already lol. 
she has 17m followers on weibo, 5m subscribers here on youtube.","您会发现那里已经有17m + 5m的人已经大声笑了。
她在YouTube上的微博上有1700万关注者，这是500万用户。"
3264,UgzbhnmdcoHwZ77Gbx14AaABAg,11,1 year ago,this made me want to live in the country side too lol,这让我也想住在乡村方面
18369,UgxiHnK83xjRa84XrF54AaABAg,11,3 years ago,i doubt that most foreigners don’t even know what lupshifen smells like lol,我怀疑大多数外国人甚至都不知道Lupshifen闻起来像大声笑
24429,UgzveRsYbV6vOFCRI454AaABAg,10,3 years ago,"wahhh..lots of work for one meal, me probably starving order take out already lol",wahhh ..一顿饭的工作，我可能已经挨饿了，大声笑了
25932,UgxBsztybtV9hwif3Jh4AaABAg.8yws93FKWqS8ywxDNz6MdS,10,3 years ago,yup i'm here too because of them lol will he ever do that mario maker level???? lol,是的，我也是在这里，因为他们大声笑他会做那个马里奥制造商级别吗？？？哈哈
14933,UgwYWTbpHbAl4Uu8fJB4AaABAg.93kqjmw07EN93tXlyMai33,10,3 years ago,"and granny was playing on the swing, lol",奶奶在挥杆上玩，大声笑
23248,Ugx5VsnUwvV3aih37h14AaABAg.8znT4HyokJX8zrbyMnNmUG,9,3 years ago,you and me both. lol.,你和我都。哈哈。
30901,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yu3Or1W6C2,8,3 years ago,"bramha's astra but if they went to their garden and grabbed those ingredients, chopped them up, put dressing or grilled them or something itd be cooking right? lol idk why you think there needs to be a 30 step process for it to be real cooking, or take a long time, or prepared from scratch. this girl is amazing and talented, but do you think most chinese people cook like that? japanese people? italians, etc? plenty of people just season their foods, stir-fry them, and eat because theyre not fixing complicated full-course meals. cooking does not need to be complex. idk why youre convinced it does...",布拉姆（Bramha）的阿斯特拉（Astra），但是如果他们去了花园，抓住了这些食材，将它们切碎，放敷料或烤它们，或者它可以烹饪的东西吗？大声笑IDK为什么您认为需要有30个步骤才能真正做饭，或者花很长时间或从头开始准备。这个女孩很棒又有才华，但是您认为大多数中国人都这样做吗？日本人？意大利人等？很多人只是调味食物，炒食物并吃饭，因为他们没有修复复杂的全书餐。烹饪不需要复杂。 idk你为什么说服这是...
