,cid,votes,含fruit,含fruit中文翻译
28531,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yfhKmZypkM,208,"hey guys, to 'she has nothing to do' i want to explain for ziqi, she does public benefit very long time, let alone not to mention how much housework she does(plant vege, fruit...), she joys us by her videos and that isn't a easy thing to make such video.",大家好，我想为Ziqi解释“她无关”她的视频，制作这样的视频并不是一件容易的事。
33062,Ugx-R9NU-I2dISe7SLN4AaABAg,145,"nature, colors, fruits, clothes, your grandmother and of course you how everything is so perfect",大自然，颜色，水果，衣服，您的祖母，当然还有一切都如此完美
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
27336,Ugy98sOwqzBFNiI1K014AaABAg,28,"hello i'm from indonesia, and l like your content because its very traditional and look so beautiful flores, your very creatif and smart women and then my hobby is cooking and eat hehe so i very like your cooking with fresh vegetable and fruit 
i wish i had vegetable and fruit plants in my house too","您好，我来自印度尼西亚，我喜欢您的内容，因为它非常传统，看起来很漂亮，您非常有创造力和聪明的女人，然后我的爱好是烹饪和吃饭，所以我非常喜欢您用新鲜的蔬菜和水果
我希望我家里也有蔬菜和水果植物"
11109,UgyU5DcrSTwyHceU6Ax4AaABAg,19,"her place,just like a real life ""paradise""..she's so talented,esp.in cooking,.fruits organic and,veggies.",她的位置就像现实生活中的“天堂”。她是如此有才华，尤其是在烹饪中，有机和蔬菜。
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
23889,UgyFFyHcGtrSWBPWqS94AaABAg.8z_LLHkMSOZ8z_Tg2DNmtH,9,"not only north eastern... south indian also....... i think because of some kingdoms.. who ruled us.. eg.. cholas..pallavas.. etc.. 
rice noodles, spices, banana leaves, jack fruits etc. 

indonesia, cambodia & some other countries, in india(south india, assam, orissa, north east india..) 
some wooden utensils... and many more are same","不仅东北...南印度人也.......我认为，由于一些王国..谁统治了我们..例如.. cholas..pallavas ..
米粉，香料，香蕉叶，千斤顶水果等

印度，印度，印度，阿萨姆邦，奥里萨邦，印度东北部的印度，柬埔寨和其他一些国家。
一些木制器具...还有更多的"
16951,UgyNC3YMRklZ5WgbaPZ4AaABAg,9,this woman is amazing. she reminds me of my wife. my wife is korean. she's 54. her mother taught her how to ferment fruits and vegetables from the forest just like this woman does. we live in illinois. my wife loves this spring because we go out into the forest with baskets and collect berries and all kinds of fruits and vegetables. we go back home and my wife she sits on the kitchen for the patio out back and prepares all of the fruits and vegetables to ferment for a year. you haven't tried apple juice until you've had homemade apple juice from apples in the forest. or homemade pure grape juice from grapes in the forest. just one taste of this pure fruits and your body immediately responds to it. it is such a wonderful fresh flavor. it is amazing what fermentation does to plants.,这个女人很棒。她让我想起了我妻子。我的妻子是韩国人。她54岁。她的母亲教她如何像这个女人一样从森林中发酵水果和蔬菜。我们住在伊利诺伊州。我的妻子喜欢今年春天，因为我们带着篮子进入森林，收集浆果以及各种水果和蔬菜。我们回到家，我的妻子她坐在厨房里，将露台放回去，并准备所有的水果和蔬菜发酵一年。在森林中的苹果自制苹果汁之前，您还没有尝试过苹果汁。或来自森林中葡萄的自制纯葡萄汁。只有一种纯净的水果的味道，您的身体立即对其做出反应。这真是一种很棒的新鲜风味。发酵对植物的作用真是令人惊讶。
11314,UgyLuZ-IcDmBUJef8px4AaABAg,8,"i've been watching her videos for a week now and they're really blessed living in a simple yet prosperous life like this .. 
this made me want to plant some fruits and vegetables in my backyard once i got my own house soon","我已经看了一个星期了她的视频，他们真的很幸运地生活在这样的简单而繁荣的生活中。
这使我想在我自己的房子很快享用自己的房子后就想在我的后院种一些水果和蔬菜。"
15860,UgySX8Icw77rxDQt0iV4AaABAg,8,"my grandfather had lands like this, not as heavenly looking, but the times i spent there were the best of my life. i miss passing by the days gathering fruits and seeds. it was so magical.",我的祖父有这样的土地，而不是天上的看，但是我在那里度过的时代是我一生中最好的。我想念那天聚集水果和种子的日子。太神奇了。
