,cid,votes,time,含nice,含nice中文翻译
16580,UgwG6EGI9KhD1FkfuKZ4AaABAg,510,3 years ago,who is her photographer? the whole video is nicely shot,她的摄影师是谁？整个视频拍摄得很好
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
3678,Ugw1ZflOso2IwRtveWd4AaABAg,147,2 years ago,"it looks very satisfying that everything is available in the garden or to say farm.the way of cooking ,doing things are so nice...and also gave me lots of tips",看起来所有东西都可以在花园中或说农场。烹饪方式，做事真是太好了……也给了我很多技巧
14163,UgxhOUXbZAJ0PtM19IF4AaABAg,121,3 years ago,the snails are like: aww a nice bath. boom salt,蜗牛就像：一个不错的浴缸。繁荣盐
6573,UgyJYKtGZcL-3TvQYDt4AaABAg,72,2 years ago,"the house is nice and i want to live there. delicious food...every time i see it, i admire it.๐‘๐‘๐””๐",房子很好，我想住在那里。美味的食物...每次看到它，我都很佩服。
28552,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zF7j7MJpc7,71,3 years ago,@franzpeters3824 nothing to do?... i can see she is working hard... and she posting videos which watch by over 1 million people.. and she get a pretty nice income...,@franzpeters3824无所事事吗？...我可以看到她正在努力工作...她发布了一张超过100万人的视频。
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,1 year ago,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
33866,UgzT3Fw6kDY8XD26H7N4AaABAg,60,3 years ago,"your hometown is so nice. green mountain and green water are jinshan yinshan, green mountains and clear waters are gold and silver.",你家乡真好。青山绿水就是金山银山，Green mountains and clear waters are gold and silver.
30791,UgzmqjkWfDbMH9dZX1t4AaABAg,57,3 years ago,"everytime i watched her vids, i heard the nature singing.. nice one. all in all. a million thanks for this wonderful vids! im still amazed",每当我看着她的视频时，我都会听到大自然在唱歌。总而言之。一百万感谢这个美妙的视频！我仍然惊讶
15970,UgxDX_CkTY_gptXSund4AaABAg,26,3 years ago,i'm hungover and stumbled upon this channel and wow this is all so relaxing and nice,我宿醉了，偶然发现了这个频道，哇，这一切都很放松和不错
33996,UgzgJmjWEu74B04XM4t4AaABAg,13,3 years ago,"bamboo shoot with fermented fish is also quite nice ❤️
love from kyrgyzstan... vk","用发酵鱼竹芽也很不错❤️
吉尔吉斯斯坦的爱... VK"
7351,UgxWxP04w_ntPta5Djp4AaABAg,13,2 years ago,"heyy !! just to let you know she also sell products too !!



one of my favorite is her sauces because it reminds me of my mom's cooking hehe 






have a nice day !!","嘿！只是为了让您知道她也出售产品！！



我最喜欢的是她的调味料，因为它使我想起了妈妈的烹饪






祝你今天过得愉快 ！！"
19074,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392De8CnUWQv,11,3 years ago,"welcome to china, it is a beautiful country won't let you down.have a nice travel",欢迎来到中国，这是一个美丽的国家，不会让您失望。
1367,UgyK3lkycrWXjxJDwzV4AaABAg,10,1 year ago (edited),"i love watching your videos. our family ties are very nice to take advantage of nature, nature. i am turkish, our food culture is not similar, but i am watching because you like your work and healthy diet.",我喜欢观看您的视频。我们的家庭关系非常适合利用自然，大自然。我是土耳其语，我们的饮食文化并不相似，但我正在看，因为您喜欢您的工作和健康的饮食。
30227,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yvFd2XbMC1,9,3 years ago,this is indeed always nice to see.,这确实总是很高兴看到。
16591,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92xuW7Yem7v,9,3 years ago,nicely shot and beautifully edited.,精心射击，精美编辑。
2629,Ugx0BAOT4AoUIWtTzOp4AaABAg,9,1 year ago,a nice moment of calm from the everyday stress of modern life.,从现代生活的日常压力中，一个平静的时刻。
19002,Ugw1cZqeV_fUti3ordl4AaABAg.92C9VVriOb_92OaxHgVqf5,7,3 years ago,"china is nice, some of the news are totally bullshits",中国很好，有些新闻完全是牛棚
7775,UgxVc_iZpXIzyoTiQ2R4AaABAg,6,2 years ago,she has everything in her garden.she is also very beautiful and good cooker.i want a nice garden like her.,她的花园里有一切。她也很漂亮且很好的炊具。我想要一个像她一样的花园。
33463,UgxloP2ft62aF1uYF9B4AaABAg,6,3 years ago,"
very nice video","
非常好的视频"
19913,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91tlZ1aK1ZF,6,3 years ago,"david hutchins not everything has to do with politics. some people just can’t enjoy a nice video of a beautiful girl who cooks delicious food in a beautiful village. btw china is a big country, there’s plenty of capable people. we can fool ourselves, but not the whole world.",大卫·哈钦斯（David Hutchins）并不与政治有关。有些人只是无法欣赏一个漂亮的女孩，一个漂亮的女孩在一个美丽的村庄里烹饪美味的食物。顺便说一句，中国是一个大国，有很多有能力的人。我们可以自欺欺人，但不能自欺欺人。
24895,UgxPuSaE6FTw-C5kg-R4AaABAg.8zBgMr8-y0x8zKy9hDKIvt,5,3 years ago,nice english,不错的英语
