,cid,votes,含disgusting,含disgusting中文翻译
20239,UgzV4DNCTtBWjzkqTCB4AaABAg.94nOZTTSF069RLrppu5AfF,18,the amount of racism and ignorance in this comments - disgusting ๐คฎ,在这一评论中，种族主义和无知的数量 - 令人作呕
46647,UgznRayRv0aCLiZInI54AaABAg,7,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
23104,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ933YSNcGUFS,5,dank sinatra what the fuck dude? you are disgusting,Dank Sinatra是什么他妈的伙计？你令人厌恶
41139,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s9V1wZOJlu,4,"thank you for understanding, brother. although the guy did not scold others, the subtext was really strange to yin and yang. it's just a technical problem without turning the wall. it's not that such people advertise their capital. i don't know what happened in this world. i also confirmed that i did not have a blocked. more domestic. if you say what to overcome me, one is to watch the small pornographic films, and those disgusting stuff are also fun, but i also have my own bottom line, and i will not actively attack other countries. we know more about china, and i am not pretending to be high. thank you again for understanding, this big oolong is so ashamed!",谢谢理解，兄弟。那家伙虽没骂人，但潜台词确阴阳怪气让人恶心。翻不翻墙只是个技术问题，不是这类人标榜自己的资本，我不翻也知道这世界发生了什么，翻出来看到的也印证了我并不闭塞，区别就是碰到的恶心家伙比国内更多了。如果说为我什么翻，一是看小黄片方便，二怼那些恶心玩意也是种乐趣，但我也有自己的底线，不会主动攻击别的国家，别人的文化，但是有人不分青红皂白，装着比我们更了解中国，胡搅蛮缠，我绝不装高素质。再次谢谢你理解，这大乌龙搞得，惭愧！
52503,Ugydt0wkhHMcm9dSOZB4AaABAg.8qlLvZAfYxx8qlVxm8aRJr,1,chestnuts roasting on an open fire... no wait it's not christmas... anyways black pudding is disgusting. how can someone ruin blood so much. it removes all the good qualities of it.,栗子在开火上烤...不，等等，不是圣诞节...无论如何黑布丁令人作呕。有人怎么会破坏鲜血。它消除了它的所有良好品质。
23653,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92qs_GD61NO,1,"@wyattjia3202 if you eat dog meat terrifying, you eat pork, lamb, especially beef, is it scary? especially cow, also plow the field for human beings to provide milk. you are so cruel to eat its meat, do you not feel cruel? don't you feel scary? to put it plainly, you are selfish and self -personalist. if you like it yourself, you feel terrifying and disgusting. take your personal preferences to accuse others and force others to accept your thoughts.",@wyattjia3202 吃狗肉都恐怖的话，你吃猪肉，羊肉，特别是牛肉，就不恐怖了？尤其是牛，还给人类耕田犁地，提供牛奶，你们竟然这么残忍去吃它的肉，你们也不觉得残忍？不觉得恐怖？说白了你们就是自私，自我的个人主义者，你们自己喜欢的就觉得恐怖恶心，拿你个人的喜好去指责别人，强迫他人接受你的想法。
34844,UgztRs4f8aRz-_ccuWF4AaABAg,1,all beautiful and sweet things spoiled by the presence of disgusting beef.. may god give her the wisdom to understand that beef instills demonic characteristics in a person and ultimately destroys the entire race and is the biggest contributor to cancer/profits of western pharma manufacturers..,所有美丽而甜美的事物因令人恶心的牛肉而宠坏了。愿上帝赋予她智慧，了解牛肉在一个人中灌输恶魔般的特征，并最终破坏整个种族，并且是西方制药商癌症/利润的最大贡献者。 。
17511,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa98YnPwAKmjO,1,"@shaikhzamir5455 china's animal welfare law has been established through expert review several years ago. and do you know china? most chinese people around me don't eat dog meat. they even think it's a disgusting thing to eat dog meat.western media try their best to smear china, only report the negative news of china, and let the outside world lose their good feeling for china. this is their purpose.if you only know china from western media, you will only be one of those brainwashed by western media.",@shaikhzamir5455几年前通过专家审查制定了中国的动物福利法。你知道中国吗？我周围的大多数中国人都不吃狗肉。他们甚至认为吃狗肉是一件令人恶心的事情。西方媒体尽力抹黑中国，只报道中国的负面消息，让外界失去对中国的良好感觉。这是他们的目的。如果您只知道中国来自西方媒体，那么您将只是西方媒体洗脑的人之一。
26161,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-Y9denHdh0,1,"xie wuyan, you are so disgusting ็",谢无言 你真特么恶心
26140,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-B_m0U3lLe,0,"yazmine jasmine this is only a small part of people in my country, they suffer the life and jealous with others achievementโ€”thereby satisfying themselves. so disgusting, they just slandered and faked the story.",Yazmine Jasmine这只是我国的一小部分，他们遭受了生活和嫉妒他人的成就 - 在其中满足自己。如此令人作呕，他们只是诽谤并伪造了这个故事。
26151,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-UaUqqaCQS,0,"chaohua zeng, don't be disgusting, talk about the sun, ms. fan is also ""waiting for you in the sun"". do you lie to you? are you afraid of being fake? the fake one is to be afraid of people, right, right? say sympathy yourself, sing praise to deceive.",Chaohua Zeng 别恶心死人了，谈什么阳光，范小姐也是在“阳光下等你了”. 你骗你的，还由不得人说真相吗，为了几个臭钱. 装逼装到国际，是真的害怕被人说成假的的吗？ 假的就是怕人捅穿对吧？ 同情你自己吧，为欺骗唱赞歌.
34166,UgwwsJPvwbrWOMAkqUF4AaABAg.8v9qZycm_Xh97OV6FQw0yY,0,"tom bai, don't declare the focus here. i also moved xi. nausea to die. it reminds me of a reporter who went to the white house to ask questions, and said a bunch of good words for the ccp under the guise of asking questions. it's disgusting.",tom bai 别在这里语重心长地大外宣了。还把习也搬出来。 恶心死我了。 让我想起去白宫提问的记者， 打着提问题的幌子替中共说一堆好话。 真是恶心啊。
27421,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9Aq1cqlAzXT,0,"why r u commenting on liziqi's every video?i know u want to promote ur own channel.. but u should comment something like ""i also make same kind of video. so plz watch it"".. here u just showing people u r grateful to liziqi so that people feel sympathy for u and watch ur video also..if u r truly so grateful then why r u commenting the same thing in every video..?it's really disgusting๐‘",为什么您要评论Liziqi的每个视频？我知道您想宣传自己的频道。但是您应该评论“我也制作了同样的视频。所以请观看它。因此，人们对您感到同情并也观看您的视频。
