,cid,votes,time,含dislike,含dislike中文翻译
26104,UgwQdehRp_7a7Gz3Xz94AaABAg,745,3 years ago,in fact this video has like 14k dislike made me completely lost faith in humanity.,实际上，这个视频像14K不喜欢，使我对人类完全失去了信心。
30993,UgzF-bTIu0PQa86x5gB4AaABAg,565,3 years ago (edited),why this much of dislikes... these are the most relaxing videos i have ever seen in youtube.. love from india... kerala,为什么这么讨厌...这些是我在YouTube中见过的最轻松的视频..来自印度的爱...喀拉拉邦
34368,Ugy9Gua_ThhMeAwifHN4AaABAg,461,4 years ago,"to the almost 8 thousand people who disliked this, screw you; this woman is amazing",对于近8000人不喜欢这个的人，拧你。这个女人很棒
29166,UgytiuO8JMZGnEFJAPh4AaABAg,459,3 years ago,"how can ppl dislike her videos
i mean
why 
hoooow","PPL如何不喜欢她的视频
我是说
为什么
哦"
31226,UgwC5qDWyuspVj4d64Z4AaABAg,330,3 years ago,what on this earth could possess a person to even think of hitting the dislike button?!?! smh...,这个地球上有什么人甚至可以想到击中不喜欢按钮？！？！ SMH ...
16625,UgwC5JuWJFOVIQDCAtB4AaABAg,320,3 years ago,i dont understand how 24k people disliked? shame they still dont understand the value of simplicity.,我不明白24K的人如何不喜欢？遗憾他们仍然不了解简单的价值。
18774,UgwbibGMiyzwPEpnF_94AaABAg,186,3 years ago,"wait a minute , there are dislikes for this ? really ? 

sick people 

they are the reason our lives isn't heavenly like the one in the video","等一下，对这个不喜欢吗？真的 ？

生病的人

这是我们的生活不像视频中的天上的原因"
22156,Ugx-VnwOX7qjyeUAAdh4AaABAg,168,3 years ago (edited),"18k dislike??? iโ€m sorry for them. 
come on. the animals love her too. that should tell you something","18k不喜欢？？？对他们很抱歉。
快点。动物也爱她。你能从中了解到点东西"
16363,Ugza1oioWbMGLjNHtRV4AaABAg,145,3 years ago,litterly who are the 24k people who dislike her videos??? why do that she's not doing anything bad to you just peaceful cooking videos,"谁是不喜欢她的视频的24,000人？？？为什么她只是对你做任何不好的事情只是和平的烹饪视频"
38639,UgxRqhnA69JbX9Pl5zp4AaABAg,125,4 years ago,the people that dislike her should know how hard she's working why don't they go live there to see how hard it is thank you for reading,那些不喜欢她
50342,UgzTiiUZ2CBs4UkvebF4AaABAg,114,4 years ago,"199 dislike? 199 jealous people, she’s amazing ❤️",199不喜欢？ 199嫉妒的人，她很棒❤️
23217,UgynvQ_4Iapdjw7-dQF4AaABAg,94,3 years ago,ppl who disliked it has no connection with nature and god,不喜欢它的人与自然没有关系
25298,UgxpiJzgA6cyWozX9R54AaABAg,89,3 years ago,who the hell are these 15k+ dislikers? i really am curious now! the dislikes seem disproportionate somehow. anyone else agree?,这些15k+不喜欢的人到底是谁？我现在真的很好奇！不喜欢的人似乎不成比例。还有其他人同意吗？
19430,UgwpepipdU3nh_-URFF4AaABAg,82,3 years ago,this girl deserves the game for her struggle and hard work . i mean who the hell disliked her video . love from india,这个女孩应该为她的斗争和辛勤工作而获得比赛。我的意思是谁不喜欢她的视频。来自印度的爱
19433,Ugy_QzqW3SG-NLjCB-J4AaABAg,71,3 years ago,i find this so interesting and relaxing. i don't understand all the dislikes...,我发现这是如此有趣和放松。我不明白所有的不喜欢...
39990,UgzRg2duHRyigXtfcDl4AaABAg,67,4 years ago (edited),loved this video! ms. li and her grandma and uncle are adorable! she's a very hard working woman. these videos should get more likes and no dislikes. wonderful and warming videoโค,喜欢这个视频！李女士和她的祖母和叔叔很可爱！她是一个非常努力的女人。这些视频应该得到更多的喜好，而不喜欢。精彩而温暖的视频❤
48386,UgxFR6K19eEc6NJcB7p4AaABAg,46,4 years ago,"482 ppl disliked her video? wtf is wrong with these ppl, this women is beautiful, hard working, smart and so talented, i envy her.",482 PPL不喜欢她的视频？ WTF对这些PPL是错误的，这个女人是美丽，努力工作，聪明和才华横溢的，我羡慕她。
26105,Ugx9Um_0Pwrd-8gxIYx4AaABAg,41,3 years ago,"why on earth would you dislike this video, i love this so much",为什么在地球上您不喜欢这个视频，我非常喜欢这个视频
16041,UgyGOpgYzsE4GCACBhB4AaABAg,38,3 years ago,24k dislikes? there are so many evil people in this world. hope they find peace and happiness in life.,24k不喜欢？这个世界上有很多邪恶的人。希望他们在生活中找到和平与幸福。
32181,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w9ZZg-UW8V,34,4 years ago,donโ€t you guys just have that feeling in your life that you want to do something and then just donโ€t do it? like you feel like you dislike yourself for being unproductive?,你们难道不只是一生中想要做某事然后不做的感觉吗？就像您觉得自己不喜欢自己的生产力一样？
30194,Ugx4D3n1zdfLT9adqXl4AaABAg,22,3 years ago (edited),"how could someone dislike this kind of video? so relaxing and admirable.
perhaps those who dislike it are envious of your life and skills.","有人怎么会不喜欢这种视频？如此放松和令人钦佩。
也许那些不喜欢它的人羡慕您的生活和技能。"
