,cid,votes,time,含peaceful,含peaceful中文翻译
22430,Ugzk2hZzSJPMNCq5HPR4AaABAg,2100,3 years ago,"no matter how i need and love technology. this is the life i always dream. free from debt, free from worries, free from expectations, free from the eyes and standards of society. just living peacefully",无论我如何需要和热爱技术。这是我一直梦想的生活。没有债务，不用担心，没有期望，没有社会的眼睛和标准。只是和平地生活
7648,UgyVKKt9TRIJ6j1NP6J4AaABAg,532,2 years ago,"when i’m stressed or worried, i watch her videos and feel instantly better. they are so relaxing and peaceful",当我感到压力或担心时，我会观看她的视频，并立即感觉更好。他们是如此放松和和平
12038,UgzUQiRfalSMHAk6GbN4AaABAg,531,2 years ago,why are we going to war when there is so much to enjoy peacefully from mother nature?,当大自然母亲和平享受这么多享受时，我们为什么要战争？
5272,UgxuFbCwJtXFPl5dIp94AaABAg,496,1 year ago (edited),this just seems like a peaceful fantasy world.,这似乎是一个和平的幻想世界。
22893,Ugy4QKtD9cbzrOoUVFd4AaABAg,248,3 years ago,"i really like her pets, so natural, serene and peaceful.",我真的很喜欢她的宠物，如此自然，宁静与和平。
25345,UgwRz6BM4pGy6fstYnV4AaABAg,203,3 years ago,i wish i could flee away from the city to some place peaceful like this,我希望我可以从城市逃离这样的地方
16986,Ugz0Hf6YveLEIXEIP7R4AaABAg,175,3 years ago,"i just notice what this peaceful life to animals, even the dogs are so gentle and peaceful.",我只是注意到动物的这种和平生活，即使狗也是如此温柔和宁静。
41636,UgxP_Cj06aZmLa2bSqp4AaABAg,147,4 years ago,"even if this whole shit is fabricated, it's entertaining and peaceful to watch so who cares",即使整个狗屎都是捏造的，看着谁在乎，谁在乎
16363,Ugza1oioWbMGLjNHtRV4AaABAg,145,3 years ago,litterly who are the 24k people who dislike her videos??? why do that she's not doing anything bad to you just peaceful cooking videos,"谁是不喜欢她的视频的24,000人？？？为什么她只是对你做任何不好的事情只是和平的烹饪视频"
35010,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v0Uis9_0dM,128,4 years ago,right we are just so simple and we make life so stressful when it can be more beautiful and peaceful...,是的，我们是如此简单，当生活变得更加美丽和和平时，我们会让生活如此压力。
52326,UgyXY00bdu8Z3KpM2ZN4AaABAg,114,4 years ago,"leave a name, i wish all the chinese pigs a happy year, their own blessings, healthy and peaceful!",留个名，祝所有华人猪年快乐，各有其福，健康平安！
16566,UgzlpPc-Ymml4G00nv94AaABAg,104,3 years ago,this entire video is just 10 minutes but i feel like i lived one eternity peacefully while watching it,整个视频只有10分钟，但我觉得我在观看时和平地生活了一个永恒
9712,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9H-bByCbp4x,90,2 years ago,"in my humble opinion maybe it's because by default we humans used to live like that way, to peacefully co exist with our surroundings. we're trapped in a society where we live for work and superficial power and success. maybe we just gotta accept that those things weren't really our nature but to rather live peacefully just like her would be much more fulfilling eh?",我的拙见，也许是因为默认情况下，我们人类曾经像这样生活，与周围环境保持和平。我们被困在一个生活，肤浅的力量和成功的社会中。也许我们只能接受那些事情并不是我们的本性，而是像她一样和平地生活，就像她更充实吗？
12556,UgyDYTKXiEQyhi9m2ll4AaABAg,73,2 years ago,this is why i love china. they are very hardworking and very talented. they made for themselves. and so peaceful place it is,这就是为什么我爱中国。他们非常勤奋，很有才华。他们为自己做了。如此和平的地方是
16564,Ugy8NX153xGIGHcd5PF4AaABAg,69,3 years ago,"when i retire, i want to have a peaceful life like hers.",当我退休时，我想拥有像她一样和平的生活。
