,cid,votes,time,含kind,含kind中文翻译
33747,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vFGectdxIJ,3000,4 years ago,"absolutely. we live in a system created by mankind that is designed for us to become ""successful"". i ask you. being stressed, overworked, depressed is better than this simple, satisfying, honest, hardworking lifestyle?",绝对地。我们生活在人类创建的系统中，该系统旨在使我们变得“成功”。我问你。压力，劳累过度，沮丧比这种简单，令人满意，诚实，勤奋的生活方式更好？
16456,UgzO7Q9LG_oAD2wUg3p4AaABAg,1300,3 years ago (edited),if only people would realize that this kind of life is better than living in luxury,如果只有人们意识到这种生活比生活在奢侈品中更好
37494,UgygxPB5Nnh5LDT2LDx4AaABAg,1300,4 years ago,"this is the kind of life that i want, thumbs up if want too ๐",这是我想要的生活，如果也想要的话，请大拇指
21352,UgyMT0oRUzt1BcRJ06t4AaABAg,435,3 years ago,this kind of life is the one thanos dreamed of right after snapped his finger.,这种生活是thanos抓住手指后梦dream以求的人。
16214,Ugxw-CHMyW_Pv69MBnB4AaABAg,405,3 years ago (edited),this is better to watch than any kind of hollywood movies,这比任何好莱坞电影都更好
23051,UgzMYMnXeYDQoDa9XcB4AaABAg,157,3 years ago (edited),"melon=็“๏ผseed=ๅญ. melon seeds(็“ๅญ)is a joint name for the kind of chinese snacks that are made of seeds, including baked sunflower seeds, baked pumpkin seeds, watermelon seeds etc.",瓜=瓜，种子=子。瓜子（瓜子）是由种子制成的中国小吃的联合名称，包括烤葵花籽，烤南瓜种子，西瓜种子等。
35014,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v5NldAD9mJ,127,4 years ago,โ€ @therewasnochill8997 i l just want taugh at your stupidity. it can be said that your education is not necessarily as high as her. she just chose to escape the big city after experiencing all kinds of life.chinese women usually have no access to higher education๏ผhahahaha this is the biggest joke i have heard this year.,@thenwasnochill8997我我只想taugh以你的愚蠢。可以说，您的教育不一定像她那样高。她只是在体验各种生活后选择逃避这座大城市。中国妇女通常无法接受高等教育。
25683,Ugxwxl0rWPEg8TGb1Gd4AaABAg,80,3 years ago,"i don't understand! why is such a sincere and kind girl who work hard to take a video alone and some people will follow the negative reviews.
ziyi, don't be discouraged! compared to negative evaluations, it is hundreds of times the negative review!
i am your fan in taiwan
you are so amazing, you will do everything
come on ๏ธ ๏ธโฅ ๏ธ โฅ ๏ธ","我不懂！为什么这么真诚善良的女孩，这么努力自己一个人独自拍下的视频会有人按负评
子柒，别气馁！比起负评的，按赞的可是负评的上百倍！
我是妳台湾的粉丝喔
妳好厉害，什么都会做
加油♥️♥️♥️"
16007,UgwAtUIdnEhNCE2qgg54AaABAg,78,3 years ago (edited),she's literally a disney princess before they meet their prince... kind caring and hard working,在遇见王子之前，她实际上是迪斯尼公主...善良和努力工作
47093,UgzfVM2xoQeYFYLSx8x4AaABAg,75,4 years ago,"hahaha has a shot and put back many times by me: when the popcorn is going to explode, zi zi zhe ran away quickly and covered her mother -in -law's ears and was afraid that she was scared. as a result, i was scared to jump. a weak girl also wanted to protect her mother -in -law, cute mother -in -law, beautiful and kind zi yan, hoping her mother -in -law to be healthy!",哈哈哈 有一个镜头被我回放好多遍： 爆米花要爆炸时子柒笨笨的飞快跑去捂着婆婆耳朵怕她被吓着，结果自己被吓得跳起来，好可爱呀。 一个弱小的女孩还想着去保护婆婆，可爱的婆婆，美丽善良的子柒
23003,UgxZHCAU_6rsFHdy78Z4AaABAg,72,3 years ago,"she's so cute when she cover her grandma's ears, but when the pop corn pops she jumps. she also surprises her grandma with that kind of crispy hot cake or whatever you call it. she's so sweet ๐",当她遮住祖母的耳朵时，她真可爱，但是当流行玉米弹出时，她跳了出来。她还用这种酥脆的热蛋糕或您所说的任何东西使祖母感到惊讶。她真可爱
15968,UgwAbK_X4dln96WPCTN4AaABAg,63,3 years ago,you motivate me you inspire man i'm 75 years old and that give up online until i saw some of your shows that's the best medicine anybody would want. i do not know you personally but you're a godsend the lord loves you i wish i was more people like you were that kind of russian americans it makes no difference i wish i was more people planet earth like god bless you.,您激励我，您激发了我今年75岁的人，在网上放弃了，直到我看到您的一些节目，这是任何人都想要的最好的药物。我个人不认识你，但你是天哪，上帝爱你，我希望我更多的人，就像你是那种俄罗斯的美国人那没有什么区别，我希望我像上帝一样，像上帝一样，保佑你。
15201,UgwxvvlC8iCJ3jI9XWJ4AaABAg,54,3 years ago (edited),"zi yan's video makes me full of hope for life. no matter what kind of life turning i face now and in the future, i will be brave to face it! although the new crown epidemic has an unpredictable impact on my life, i firmly believe that everything will get better and better. covid19 hit our company extremely bad, there are lots of unitedrtainty in my life, but semes, better career and fullfillment in life. god bless everyone","子柒的视频让我对人生充满了希望， 无论现在和将来面临什么样的人生转折，我都会勇于面对！ 虽然新冠疫情对我的人生有无法预测的冲击， 我都坚信一切会越来越好. COVID19 hit our company extremely bad, there are lots of uncertainty in my life, but I’ll be very strong to fight for a better career and fulfillment in life. GOD bless everyone"
10689,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9Fm3FaZUaew,52,2 years ago,"not to mention the amount of โ€laborโ€ and work you have to do on the daily to maintain this kind of life. props to her, it may look calming and fun on camera but itโ€s easier said than done.",更不用说您每天必须在维持这种生活的“劳动”和工作量的数量。对她的道具，它在相机上看起来很平静且有趣，但说起来容易做起来难。
4236,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SWvVdjSGgl,41,1 year ago (edited),"more of a real life recording than staging. incredible genius and artist 

of course now ziqi can afford any kind of “staging “ . but she does not need it. 

her cost of making each video is almost neglect-able relative to the money she is getting out of it. 

a real person in life. a loving granddaughter. a real “people’s artist “and, an amazingly hard worker 

ziqi is going to write a book 《the art of making money 》","更多的是现实生活中的录制，而不是舞台。令人难以置信的天才和艺术家

当然，现在Ziqi可以负担任何类型的“分期”。但是她不需要。

相对于她从中赚钱的钱，制作每个视频的成本几乎是可忽略的。

生活中的真实人。一个充满爱心的孙女。一个真正的“人民艺术家”，一个非常勤奋的人

Ziqi将写一本书《赚钱的艺术，并将在第一张印刷品上打印100万张。"
35313,UgyYNJ00G4GAxO9qw9p4AaABAg,40,4 years ago,i am not just with the things you are presenting but also with you. you are incredible human. it is so peaceful the life you are showing. it is a kind of a healing process not just to health be to soul itself.,我不仅在于您要展示的事情，而且还与您同在。你是不可思议的人。您所展示的生活是如此和平。这是一种对健康本身的治疗过程。
11142,Ugz93V2m1bRLGjYqgi54AaABAg,34,2 years ago,"so many ability and so many skills, l like that kind of woman and very kind.",如此众多的能力和如此多的技能，我喜欢那种女人和非常友善。
12626,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9CzZ722bHgF,34,2 years ago,"@danawen555 there definatly shouldn't be racism towards chinese people there is never a reason to be racist.
i wouldn't say that china didnt do anything bad like... the think with the muslims,hong kong,censorship and china kind of has a dictator","@danawen555绝对不应该对中国人民有种族主义，从来没有理由成为种族主义。
我不会说中国没有做任何糟糕的事情，例如……与穆斯林，香港，审查制度和中国有独裁者的想法"
