,cid,votes,time,含hate,含hate中文翻译
43012,Ugw9GZs9TOFagMN7TCV4AaABAg,265,4 years ago,after watching this ! i hate my life and i feel like i'm not healthy at all,看完这个！我讨厌自己的生活，我觉得我一点都不健康
7241,UgxFdqS9tk_KLbCJMhd4AaABAg,74,2 years ago,"nature loves her. whatever she touches, it turns into a gold...",大自然爱她。无论她接触什么，它都变成了金子...
23003,UgxZHCAU_6rsFHdy78Z4AaABAg,72,3 years ago,"she's so cute when she cover her grandma's ears, but when the pop corn pops she jumps. she also surprises her grandma with that kind of crispy hot cake or whatever you call it. she's so sweet ๐",当她遮住祖母的耳朵时，她真可爱，但是当流行玉米弹出时，她跳了出来。她还用这种酥脆的热蛋糕或您所说的任何东西使祖母感到惊讶。她真可爱
12627,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9Czj5OJdXR7,67,2 years ago,i think all the hate is for the government not the people of china,我认为仇恨是政府而不是中国人民
12629,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0H_TeqncF,47,2 years ago (edited),"the hate is not directed towards the citizens, it's the government. and if you fail to see that, then you are part of the problem. chinese government has taken important resources from canada during the start of this pandemic. chinese government has taken over parts of philippines sea. chinese government has taken over the rights of people living in hong kong. chinese government has censored many who wants to spread the truth. chinese government has taken over the country of tibet, and it's resources. i have no hate towards its people. but their government needs to be exposed and taken responsible.",仇恨不是针对公民，而是政府。如果您看不到这一点，那么您就是问题的一部分。在这次大流行期间，中国政府从加拿大占据了重要的资源。中国政府接管了菲律宾海的部分地区。中国政府接管了居住在香港的人们的权利。中国政府对许多想传播真相的人进行了审查。中国政府接管了西藏国家，这是资源。我对它的人没有仇恨。但是他们的政府需要暴露并承担责任。
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,4 years ago,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
10870,UgyPnd9ImxLsy8UKjuF4AaABAg,25,2 years ago,oh no those baskets looks really heavy.and she's carrying them on the ahoulders. poor girl.shes amazing in whatever she does,哦，没有那些篮子看起来真的很重。可怜的女孩。她做什么
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
12630,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0UMr-6OrZ,20,2 years ago,pandateasalad the asian community stand with black people during blm movement but i can’t say the same for the black community. white people and everyone around the world are literally so racist and hateful towards asians/ chinese a few months back because of covid19. if u fail to see that maybe you are part of the problem.,在BLM运动期间，亚洲社区Pandateasalad与黑人站在一起，但对于黑人社区，我不能这么说。由于Covid19，白人和世界各地的白人和世界各地的所有人都对亚洲/中国人来说是如此的种族主义和仇恨。如果您看不到您可能是问题的一部分。
22173,Ugx-VnwOX7qjyeUAAdh4AaABAg.932yC5awLL593ClLBmDZ5I,18,3 years ago,"was thinking the same! 18k hates..wow! the world is full of bitter, jealous people.",在想一样！ 18k讨厌..哇！世界充满了痛苦，嫉妒的人。
12635,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D3juiOQa4G,16,2 years ago,"we don't hate chinese people, we just hate the chinese government, its like prime united states",我们不讨厌中国人，我们只是讨厌中国政府，就像美国的主要政府一样
