,cid,votes,time,含god,含god中文翻译
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,3 years ago,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
18717,UgzFqkSJdWbabJELw6d4AaABAg,120,3 years ago,"this is the first video i see about liziqi, oh my god, i'm totally in love.",这是我看到的关于利兹奇的第一部视频，哦，天哪，我完全恋爱了。
35267,UgwJHKCLquGEOOHxaet4AaABAg,105,3 years ago,the goddess of china is back to soothe the minds of us mere mortals for a few moments,中国的女神又回到了我们的思想，只是凡人一会儿
18752,UgwXLyqJiScjXUxRJYl4AaABAg,90,3 years ago,"i’m so proud that she comes from my hometown sichuan,chinese old saying: the beauties shall come from sichuan. she is the goddess in my heart.",我为她来自我的家乡四川而感到自豪，中国的老话：美女将来自四川。她是我心中的女神。
4872,UgwBdL8RFnlKoh0KJ0V4AaABAg,90,2 years ago,"oh my god, korean people! stop this meaningless hateful attack! what is the matter with you ? you own this food, too?",哦，天哪，韩国人民！停止这种无意义的仇恨攻击！你怎么了？你也拥有这种食物吗？
8045,UgzaqEE7JwDmLAar2id4AaABAg,88,2 years ago,"i admire this girl because sheโ€s at good farmer and cooking and she takes care of her grandmother very well,god bless you girl.๐‘๐‘๐‘",我很欣赏这个女孩，因为她在好农民和做饭，她很好地照顾祖母，上帝保佑你的女孩。
12364,UgygGphu6PgOX7YaItl4AaABAg,64,3 years ago,how do you even dislike these videos they are literally a grace from god,您甚至不喜欢这些视频，它们实际上是上帝的恩典
19677,UgyCmxslq3IjvQiMmZ94AaABAg,56,3 years ago,what else is there to learn?? everything she is doing independently...she's not wasting even a single grass.....my god....no words to say about her....,还有什么要学习？她所做的一切都独立...她甚至没有浪费一只草.....我的上帝....没有话要说。
20312,Ugz5j3EO-Yn9B5CMeZZ4AaABAg,53,3 years ago,my god....if i had a diet like this my skin would probably glow as well,我的上帝....如果我有这样的饮食，我的皮肤也可能会发光
23908,UgyTYTiQ_9w46NMVZj94AaABAg,45,3 years ago,"last time i cooked the luosifen, my spanish roommate came out to kitchen and asked me ""what the hell are you burning? the kitchen?"" 
frankly speaking, luosifen is an super ""unique"" food which smells like shit but tastes god-damn fantastic.","上次我烹饪Luosifen时，我的西班牙室友出来厨房问我：“你到底在燃烧吗？厨房？”
坦率地说，Luosifen是一种超级“独特”的食物，闻起来像狗屎，但味道众多的美妙。"
10650,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798qr7n4Xzgx,45,3 years ago,"​ @user-vw5je5qo2r i know she's making money, and god bless her for it! that she managed to succeed without having to resort to such indecent topics proves that she didn't do it for the money, and that there's love and humanity yet left on earth. wish you a pleasant day!",@user-vw5je5qo2r我知道她正在赚钱，上帝保佑她！她设法取得了成功而不必诉诸这样的不雅话题，证明她没有为了钱而做，并且有爱与人类尚未留在地球上。祝你一天愉快！
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
13989,UgxQ0ijZvbspl30fZHd4AaABAg,28,3 years ago (edited),she is living my dreams!!! their way of life is beautiful and perfect!!! the way god meant it to be for us all !!!,她正在实现我的梦想！！！他们的生活方式是美丽而完美的！！！上帝意味着对我们所有人的意义！！！
29467,Ugzhot2QMjAiuaaSdYF4AaABAg,28,3 years ago,i hv learned so many lessons from you that couldn't found in market... wish god be with you.,我从您那里学到了很多在市场上找不到的教训……希望上帝与您同在。
31075,UgySDT8GBH6dMKvNr8h4AaABAg,26,3 years ago,my god she s playing with nature and doing cooking like a game...keep going sister..with love from india..,我的天哪，她与大自然一起玩耍，像游戏一样做饭...继续姐妹。
25272,Ugz0dZAVhvUTeJ2tdi14AaABAg,23,3 years ago,enjoyed watching you again. god bless you and your family love you my friend,喜欢再次看着你。上帝保佑你和你的家人爱你我的朋友
1139,UgzWZ2BTR2Ry40Eq34p4AaABAg,23,1 year ago,"she has got so much talent, can make everything, cook everything. god bless you. it is so satisfying to see your chores",她拥有如此多的才华，可以做到一切，煮一切。上帝祝福你。看到你的琐事真是令人满意
34230,UgzaM7zI_n1xws2q_gp4AaABAg,19,3 years ago,"oh god, and i thought i was talented!!!! we are nothing compared to her guys luv u liziqui from pakistan",哦，天哪，我以为我很有才华！！！与她的家伙相比，我们什么都不是巴基斯坦的Luv u Liziqui
4262,Ugz4ZThxmr5nBN62K5Z4AaABAg,18,2 years ago,people are beautiful and good. it's a goddess. essence essence,人又美厨艺又好。简直是个女神太棒了。。。
20175,Ugw79jTD8XtoaVNcRFl4AaABAg,14,3 years ago,"my god, this so peaceful and so relaxing....that’s an understatement mind you. liked and subscribed. ☺️",我的上帝，这是如此的和平，如此轻松。...这是你的轻描淡写。喜欢和订阅。 ☺️
20424,UgyDwluA8U6IjRK98KV4AaABAg,13,3 years ago,she is a blessing from god.,她是上帝的祝福。
33862,UgzDazaRwnuthLKJk2l4AaABAg,12,3 years ago,love the natural sounds that are create by ur hard work..god bless u lizi..,爱你辛勤工作创造的自然声音..上帝保佑你lizi..
6830,Ugyo3IIeBR37EZYBiWl4AaABAg,11,2 years ago (edited),"i swear to god, everytime i watch her vids, it makes me feel like my life is literally a joke. like literally!!! 





well, if i think about it, its not totally wrong though!๐๐๐๐ข๐ข๐ญ๐ญ๐ญ๐ญ","我向上帝发誓，每当我看着她的视频时，这都会让我觉得我的生活实际上是个玩笑。就像字面上！！！





好吧，如果我考虑的话，那不是完全错！"
10106,UgzANMaAlqqhuhQW_AR4AaABAg,11,3 years ago,she is just proving genesis where god creates man and put him in a garden and tell man kind it will get all its needs,她只是证明了创世纪上帝创造人并将他放在花园里并告诉人类的创世纪，它将满足所有需求
27849,UgwE4wgU1T--6F8lNTh4AaABAg,11,3 years ago,"i am also by chance here, i liked the girl, how amousing she is, well done, well done, goddess !!!!!",我也偶然地在这里，我喜欢那个女孩，她是多么有趣，做得好，做得好，女神！
28342,UgxsePMSzEGaet4r-Z14AaABAg,11,3 years ago,"i found a shocking secret




video poor reviews of the goddess are integer
and click will not increase
(but remember after trying it, please like it)
otherwise, people say that i am a black powder
i wish all the bad reviews are silly b (excluding the person who test)
besides, good -looking videos don’t know how to cherish it. actual bad reviews are really unreasonable.","我发现了个惊天的秘密




女神的视频差评都是整数
而且点一下不会增加
（但是记得的试了之后就点回赞）
要不然被人就说我是黑粉了
祝所有点差评都是傻b（不包括试的人）
再说咋么好看的视频不懂珍惜居然还在那边点差评真的是不可理喻的酸民啊"
10712,Ugx79jz9tMzg20_2tst4AaABAg,9,3 years ago,"this is the ideal chinese country style, full of natural and pioietic splender. for gods sake i want to marry this girl.....",这是理想的中国风格，充满了自然和野性剪接。为了神的缘故，我想嫁给这个女孩.....
4801,UgzclH_omeMK4Dziir14AaABAg,8,2 years ago,"i can't be the only brazilian here, my god her videos are mayors",我不能是这里唯一的巴西人，我的天哪，她的视频是市长
