,cid,votes,time,含perfect,含perfect中文翻译
49373,Ugwc2G9zgVIeMLRaiRB4AaABAg,1100,4 years ago,"my god, i love this channel! everything looks so perfect.",我的天哪，我爱这个频道！一切看起来都很完美。
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,3 years ago (edited),"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
25390,UgxHnoGqfxk5wN16lwF4AaABAg,752,3 years ago,"the cinematography, the content, the editing skills. this is the most perfect video in youtube.",摄影，内容，编辑技能。这是YouTube中最完美的视频。
4108,UgyUrXRsMA8pgAIACYd4AaABAg,327,1 year ago,this video is pure love harmony and the perfect definition of a healthy life,该视频是纯粹的爱情和谐，是健康生活的完美定义
16508,UgwndTs4wucNgNjt5x94AaABAg,171,3 years ago,this girl is a perfect miracle... a hard past and now look at her... she’s living a happier life... she is my idol!,这个女孩是一个完美的奇迹...一个艰难的过去，现在看着她……她过​​着更快乐的生活……她是我的偶像！
17667,UgzowBGsC_vObZxvw3l4AaABAg,72,3 years ago,"everything she does is perfect. i mean, i'm in the city right now and she makes the country life like cool. when i went to china to visit my releatvies in the country side, i did not like it. but looking at her just makes me feel like i should go back. but coronavirus yall.",她所做的一切都是完美的。我的意思是，我现在在这座城市，她使乡村生活像酷。当我去中国参观我在乡村方面的依据时，我不喜欢它。但是看着她只是让我觉得我应该回去。但是冠状病毒yall。
10079,Ugz9teFE6G-_fbzLTEV4AaABAg,57,2 years ago,how are all her videos so clear and just shot in the perfect angles?!? it looks like an actual show!!! so nicely done!!!,她的所有视频如何如此清晰，只是以完美的角度拍摄？！？看起来像是一个实际的表演！！！做得很好！！！
3492,UgxFGmJnw9Qi2DoUydB4AaABAg,53,1 year ago,she is beyond perfection ❤ how beautiful omg this video healed my mind,她超出了完美的❤❤OMG多么美丽，这段视频康复了我的想法
14049,Ugzhu9LalUu_CpWhgf54AaABAg,31,2 years ago (edited),"8:45 !!1!1!1 that fit almost perfectly, so satisfying",8:45 !! 1！1！1几乎完美，如此令人满意
10690,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FofMko6LRY,27,2 years ago,"land in the middle of nowhere china is actually pretty inexpensive. that being said, sheโ€s basically a celebrity online now and definitely has some money. she may show only the most beautiful 5% of the effort that goes into these videos, but that doesnโ€t make them any less beautiful. if anything, we appreciate them even more because we know how much work it took to get that one perfect shot. ๐",陆地中国中国的土地实际上很便宜。话虽如此，她基本上是一个在线名人，肯定有一些钱。她可能只显示这些视频中最美丽的5％的努力，但这并不能使它们变得不那么美丽。如果有的话，我们会更加感谢他们，因为我们知道要获得一个完美的镜头所需的工作量。
