,cid,votes,time,含food,含food中文翻译
29211,UgxcycgGm6xZj9t-Pqt4AaABAg,484,3 years ago (edited),"her videos came to my attention by my 10-year-old daughter, she loved watching her videos on youtube. now we are watching it together and we both are fascinated and awe-inspiring by her works, we are learning mandarin and this video will help us to know a little more about the traditional chinese food etc.",我10岁的女儿引起了我的注意，她喜欢在YouTube上观看视频。现在，我们正在一起观看它，我们俩都对她的作品着迷和令人敬畏，我们正在学习普通话，这段视频将帮助我们更多地了解传统的中国食品等。
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,1 year ago,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
35007,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8uz1hMMzRmI,338,4 years ago,brandon shorkey exactly.... i mean look at her beautiful life. and look at mine... i just eat junk food n surf the net. what shit,布兰登·肖尔基（Brandon Shorkey）正好....我的意思是看她的美丽生活。看看我的...我只是吃垃圾食品，n浪费了网。什么屎
23909,UgxSRPUmXiMhJGMBSzt4AaABAg,334,3 years ago,"her: eating fresh food from the garden
me:eating doritos on my couch","她：从花园里吃新鲜食物
我：在我的沙发上吃doritos"
36634,Ugw9FVHPiGSKnK4o_YN4AaABAg,305,4 years ago,"these puppies and lamb knows math. following her = food 
it seems she takes care of them really well","这些幼犬和羊羔知道数学。跟随她=食物
看来她真的很好地照顾他们"
42238,UgzKAGhaRYYakmfPB014AaABAg,286,4 years ago,such a beautiful environment and delicious food. wonderland!,如此美丽的环境和美味的食物。仙境！
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,1 year ago (edited),"im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on youtube after i randomly searched chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
24364,Ugzpl0UNkc7Sdjcaac94AaABAg,136,3 years ago (edited),these foods are seriously made me feel want to celebrate chinese new year,这些食物很认真地让我觉得想庆祝农历新年
34197,Ugyw64mGiMbVKYHy4bV4AaABAg,126,4 years ago,i feel so bad now picking up my phone and ordering food to be delivered to my door,我现在很难拿起我的手机，订购食物要送到我的门口
