,cid,votes,time,含want,含want中文翻译
28495,UgxCpRiDGzrwuzVOfl94AaABAg,17000,3 years ago,she goes to the garden and finds every single ingredient she wants i went to the market forgot what i came for,她去花园，发现我想要去市场的每一种成分都忘记了我的目的
4452,Ugzj2Yk28J8Y2fosqYR4AaABAg,445,2 years ago,"indonisian: in indonesia, we call this bamboo root as rebung. we process it into various dishes, the taste wonderful.
korean: it's our food. we dont''t want other people to cook it.","印度人：在印度尼西亚，我们将这种竹根称为rebung。我们将其加工成各种菜肴，味道很棒。
韩国人：这是我们的食物。我们不希望别人做饭。"
27455,UgyZ3AfyOCl5IgGc-cp4AaABAg,387,3 years ago,"if there ever is a zombie apocalypse, i want to be with liziqi.",如果有僵尸启示录，我想和liziqi在一起。
31115,Ugw2WElkzBoP_jXGvpJ4AaABAg,373,3 years ago,"i always love your videos! soothing to the spirit. i wish you had the recipes in english. i want to make them so bad! maybe you can create a cookbook and publish it in various languages. living near seattle, washington in the united states, i know i could find all the ingredients in our international district. thank you so much for sharing one aspect of your beautiful life with us.",我总是喜欢你的视频！抚慰圣灵。希望您有英语食谱。我想让它们如此糟糕！也许您可以创建一本食谱并以各种语言发布。居住在美国华盛顿的西雅图附近，我知道我可以在国际区找到所有成分。非常感谢您与我们分享美丽生活的一个方面。
22784,UgwbW0QYhT8cIrfODzh4AaABAg,292,3 years ago,hi granny!!! who else loves granny and wants to hug her?,嗨，奶奶！！！还有谁爱奶奶，想拥抱她？
17907,UgwunEBEht1UwcutFGt4AaABAg,261,3 years ago,i want her to be in my team when the apocalypse comes,我希望她在启示录到我的团队中
12355,UgyMVioOggs_pNfQW5R4AaABAg,230,3 years ago,"me: wants this kind of life

also me: lazy as hell","我：想要这种生活

也是我：懒惰"
30492,UgxxXwysXXxCPBJTQFh4AaABAg,230,3 years ago,"no one
6:55 
subtitle english :
""careful when replicating this at home. we don't want fermented finger tips and nails""","没有人
6:55
字幕英语：
“在家里复制此事时要小心。我们不想发酵手指技巧和指甲”"
28531,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yfhKmZypkM,208,3 years ago,"hey guys, to 'she has nothing to do' i want to explain for ziqi, she does public benefit very long time, let alone not to mention how much housework she does(plant vege, fruit...), she joys us by her videos and that isn't a easy thing to make such video.",大家好，我想为Ziqi解释“她无关”她的视频，制作这样的视频并不是一件容易的事。
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
15295,Ugze2ngPz_-VPbIndax4AaABAg,192,3 years ago,her backyard is literally the entire farmers market. yet even better! i want to meet her so she can teach me.,她的后院实际上是整个农贸市场。但是更好！我想见她，以便她可以教我。
28535,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8ygZNQBxFUE,135,3 years ago,@franzpeters3824 i don't think she wants to speak english at all. your comment is simply stupid.,@franzpeters3824 我觉得她根本没有要讲英语的必要，你这评论简直是蠢到家了。
10430,UgxHKXzlUOij09tyUjZ4AaABAg,135,3 years ago,"her sense of humor is the best lmao 

“careful replicating this at home. you don’t want fermented fingertips and nails.”","她的幽默感是最好的lmao

“小心在家里复制这个。您不需要发酵的指尖和指甲。”"
27344,Ugx1EZUxQB45OBd5gm14AaABAg,131,3 years ago,she’s one of the most amazing and talented girl i’ve ever seen on youtube.. she fed not only her granny but the soul of every viewers.. this is immortality i want to live in that place,她是我在YouTube上见过的最神奇，最有才华的女孩之一。她不仅喂饱了她的奶奶，而且喂饱了每个观众的灵魂。你和奶奶的力量..❤️
29717,UgwChwyYWDnUtjkjwpl4AaABAg,103,3 years ago,"the subtitles 's chopping everything super fast, ""be careful when replicating this at home. we dont want fermented finger tips and nails""",字幕
14694,UgzNACTJnInEtuMzNcZ4AaABAg,100,3 years ago,“careful when replicating at home we don’t want fermented fingers and nails”,“在家里复制时要小心，我们不想发酵手指和指甲”
5272,UgyMRyhwxskjKO9B9lV4AaABAg,93,2 years ago,"""careful when replicating this at home we don't want fermented finger tips and nails"" ahhahahahaha this!!",“在家里复制这个问题时，请小心我们不希望发酵的手指技巧和指甲” Ahhahahahaha！
997,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9bu9UTZZM0D,88,1 year ago,i also think that no one can surpass ziyi's video works. i really want to see her new work again,我也这么觉得，没有人可以超过子柒的视频作品，真的好想再看看她新的作品
16408,UgzXBeip5ph5HSUetoZ4AaABAg,83,3 years ago,who wouldn't want this girl to be his wife...best girl on planet earth,谁不想让这个女孩成为他的妻子...地球上最好的女孩
