,cid,votes,含fruit,含fruit中文翻译
50563,UgyIf9B7LC3o_ShFBdJ4AaABAg,312,"chinese traditional snacks for the chinese new year 


chinese sugar-coated fruit 
spicy beef jerky 
dried mango 
peanut sesame brittle 
roasted chestnuts 
popcorn 
salty sunflower seeds 
fried peanuts 
crispy fried egg roll (egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter 50g) 
snowflake crisp (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsalted butter 40g. the ratio of marshmallow, milk powder and butter is so important. the crisp will not be so hard or too soft, but chewy at the right ratio. )","春节中国传统小吃


中国糖衣的水果
辣牛肉干
干芒果
花生芝麻脆
烤栗子
爆米花
咸向日葵种子
炸花生
脆皮炸鸡蛋卷（鸡蛋液体50克，牛奶120克，普通面粉100克，蜂蜜，糖50克，玉米油/无盐黄油50克）
雪花酥脆（不粘锅：重要，棉花糖200克，奶粉130克，酸果蔓，栗子，饼干，干草莓，玉米油/无盐黄油40克。棉花糖，奶粉和黄油的比例很重要。酥脆不会如此坚硬或太软，但以正确的比例耐嚼。）"
41678,UgyjXRHd_c73BsIuVoR4AaABAg,191,"wow, you really live in the heaven! the heaven of fresh fruits!",哇，你真的住在天堂！新鲜水果的天堂！
18320,Ugw80zM44ACWUv2fPGx4AaABAg,182,"she’s so strong. those baskets balanced on her shoulders are heavy. pomelos and ponkans are watery fruits, and they’re really heavy.",她很坚强。那些在她肩膀上平衡的篮子很重。 Pomelos和Ponkans是水的水果，它们真的很重。
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
14591,UgyL8ZC4sr-CLXxfCap4AaABAg,151,"hawthorn red, apple round, rock sugar gourd in a string. sesame crispy, malt sweet, peanut sugar is full.
the chestnut fragrance, the mango fresh, the pot in the pot, baked a few times. strawberry jujube slices of small biscuits, snowflake crispy cakes are rampant.
stewed meat, sprinkled with salt and pepper, spicy hand tearing beef jerky. covering your ears, jumping joyfully, popcorn, the sound of popcorn reported peace.
gourd seeds, peanuts, crispy egg roll chopsticks. grapefruit fragrance, sweet orange, mango pouring honey is warm.
carefully packaged over and over again, happy and happy ~ new ~ year!","山楂红，苹果圆，冰糖葫芦一串串。 芝麻脆，麦芽甜，花生软糖装满盘。 
板栗香，芒果鲜，锅盖窑里烤几番。 草莓枣片小饼干，雪花酥糕惹人馋。 
肉炖软，撒椒盐，麻辣手撕牛肉干。 捂耳叫，跳得欢，爆米花声报平安。 
瓜子翻，花生掀，香酥蛋卷筷子转。 柚子香，桔子甜，芒果淋蜜显温暖。 
精心包装一遍遍，快快乐乐迎～新～年！"
1951,UgxjrfA6ccVqfkuqR514AaABAg,124,"when i was a kid, i liked to go up the mountain to find wild fruit to eat",小时候，最喜欢去上山找野果子吃了
49725,UgwYmNRBOuu1iRDmVBF4AaABAg,118,dear god! the amount of work this beautiful woman does is insane!! and with such finesse too... it's wonderful to see her share the fruits of her hardwork with her grandmother...,亲爱的上帝！这个美丽的女人做的工作数量太疯狂了！！而且也这样的技巧……很高兴看到她与祖母分享辛勤工作的果实...
8287,UgyN4czRinS6Z5EthiF4AaABAg,76,there are so many fruits growing around her home!,她家周围有很多水果！
47153,UgwRgCDaUhzvBuYPQjp4AaABAg,73,"all plants growing and well maintained,,, all delicious fruits gained easily,,,surrounding by happy puppies ... you are living in heavenly garden",所有生长且维护良好的植物，所有美味的水果都很容易获得，周围是幸福的小狗……您住在天上的花园里
16292,Ugyl6BAyt6f-kggeWyh4AaABAg,67,"hawthorn red, apple round, rock sugar gourd in a string. peanuts are crispy, sweet sugar, a large plate of sesame soft sugar.
the chestnut fragrance, mango fresh, baked several times in the lid kiln. plum preserved dates, small biscuits, snowflake crispy cakes are rampant.
the meat piece, the big pot, the spicy hand tear the beef jerky. rice white, corn yellow, popcorn sounds safely.
fry the seeds, peanuts, and crispy egg rolls. grapefruit fragrance, sweet orange, ice cream honey is warm.
the new year's bags are piled into a mountain, and the packaging is new ~ big ~ year!

on this early summer night, ziyi's video made me relive my childhood new year. essence essence","山楂红，苹果圆，冰糖葫芦一串串。花生脆，冰糖甜，芝麻软糖一大盘。
板栗香，芒果鲜，锅盖窑里烤几遍。梅脯枣片小饼干，雪花酥糕惹人馋。
肉块方，大锅圆，麻辣手撕牛肉干。大米白，玉米黄，爆米花声报平安。
瓜子炒，花生翻，香酥蛋卷摆满盘。柚子香，桔子甜，冰淇淋蜜好温暖。
年货袋袋堆成山，包装一新迎～大～年！

在这个初夏的夜晚，子柒的视频再次让我重温了一下小时候的过年。。。"
