,cid,votes,time,含hope,含hope中文翻译
2237,UgwojBqA1rIKuxWouGZ4AaABAg,535,1 year ago,"it makes me want to make snacks. it’s not so hard as imagined. thank you, li ziqi. hope you get back what you deserve for your contents, kick these greedy businessmen’ ass and come back soon.",这让我想做零食。它并不像想象中的那么难。谢谢，李齐。希望您能拿回来的内容，踢这些贪婪的商人的屁股，然后很快回来。
777,UgyRITwQZG9tKfNwfy94AaABAg,361,5 months ago,i come back to all your videos again and again until you come back with new videos. hope you're okay. i really miss you. you've been a big part of my life. take care,我一次又一次地回到您的所有视频，直到您回来新视频。希望你还好。我真的好想你。你是我一生的重要组成部分。照顾好
24882,UgykCd6Iis9HNK6PQKt4AaABAg,200,3 years ago (edited),"this woman is very tough, i've seen her injured several times to create the world's best content.
keep up the spirit, sister and hopefully have a long healthy life.
warm greetings to grandma ๐","这个女人非常艰难，我见过她几次受伤，创造了世界上最好的内容。
保持精神，姐姐，并希望能长寿。
向奶奶的热情问候"
27185,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zSucoUGUY-,142,3 years ago,"where did you get this information? i hope she doesn't feel guilty about her acquired fame, also do they pay for the internet? how do they upload?",您从哪里获得此信息？我希望她对自己获得的名声不感到内gui，他们还为互联网付费吗？他们如何上传？
23985,UgyoIx8pGRolVJvMhod4AaABAg,141,3 years ago,i hope my mother -in -law is 100 years old and will always accompany xiao yan!,希望婆婆常年百岁，永远陪着小柒！
2933,Ugy9DdebnQ6uvBpZcMZ4AaABAg,134,1 year ago (edited),"i keep coming back on this video of her. i'm so glad she made this so far, i'm her top subscriber and i'm so proud for her. its been a while since she post another video. hope she come back sooner.",我不断回到她的视频。我很高兴她能做到这一点，我是她的顶级订户，我为她感到骄傲。自从她发布另一个视频以来已经有一段时间了。希望她早日回来。
48260,UgwBblU4QoNakBytV7p4AaABAg,124,4 years ago,"dear ziyi, you bring hold to people on economic! no wars, face, point, disease and sorrow if everyone learns to be loving and self-sufficient like you. you're an e ncyclopedia for us to standy forever:) happy chinese new year from eagle mountain, utah, usa.
dear ziyi, you bring hope to world peace.
if everyone learns love and self -sufficiency like you, war, famine, poverty, disease and sadness will completely disappear. you are our eternal encyclopedia:)
happy new year-greetings from yingshan, utah, usa.","Dear 子柒, you bring hope to Peace on Earth ! No wars, famine, poverty, disease and sorrow if everyone learns to be loving and self-sufficient like you. You're an encyclopedia for us to study forever : ) Happy Chinese New Year from Eagle Mountain, Utah, USA. 
亲爱的子柒，你为世界和平带来希望。 
如果每个人都像你一样学会爱和自足，战争、饥荒、贫穷、疾病和悲伤将彻底消失。你是我们永远的百科全书 : ) 
新年快乐--来自美国犹他州老鹰山的问候。"
49211,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmN23q9n1d,104,4 years ago,hopefully one that is avaible in the usa.,希望在美国可以避免的一个。
19007,UgwKaV-yEZIMgmFliCZ4AaABAg,94,3 years ago,"i hope the corona virus end quickly, so we can live normaly",我希望电晕病毒能迅速结束，以便我们可以正常生活
2258,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9aVWnPdqKZi,92,1 year ago,"for those who wonder why ziqi hasn’t uploaded any new video, she is going through some tough time fight for the fair share of her name brand. her mcn makes huge money in china selling liziqi brand merchandises, but liziqi did not get much because of her lack of experience when she signed those contracts. that’s why she stopped creating new content to protest. hopefully this whole thing can be settled in her favour and she can get her name brand back.",对于那些想知道Ziqi为什么没有上传任何新视频的人来说，她正在经历艰难的时光争取自己的名字品牌的份额。她的MCN在中国赚了大笔钱，出售Liziqi品牌商品，但是Liziqi签订了这些合同时缺乏经验，没有得到太多。这就是为什么她停止创建新内容进行抗议的原因。希望整个事情能够得到她的青睐，她可以将自己的名字品牌恢复。
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,4 years ago,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
