,cid,votes,time,含fantastic,含fantastic中文翻译
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,4 years ago,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
26241,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zrFm-8ra9s,69,3 years ago,"the best step is the 1st step, fantastic job buddy",最好的一步是第一步，很棒的工作伙伴
3784,Ugz58xNmhDqyDHiC-VB4AaABAg,55,1 year ago,100m views for this video! that is amazing and not to mention that i probably contributed 1k views to this myself ☺️ this is a fantastic video and that beef looks so damn mouth watering,该视频的100m浏览量！这真是太神奇了，更不用说我本人对此贡献了1k的观点。
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,3 years ago,"fantastic work, it reminds me my childhood life! she possesses skills of majority of farmer house wife in a typical traditional chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
42048,UgwCNzUMmIO5PpyGlmp4AaABAg,11,4 years ago,"hi
excuse me, please, 6:24 - it's a sunflower seeds, not a melon. but still, i admire your work. your video is fantastic!","你好
对不起，请问，6：24-这是葵花籽，而不是瓜子。但是，我仍然很欣赏您的工作。您的视频很棒！"
28949,UgxVf6GFVVp278yXWlp4AaABAg,9,3 years ago,she is a fantastic woman and i am really loving all of these videos.,她是一个出色的女人，我真的很喜欢所有这些视频。
21328,Ugw56japdzLAqaFKzLd4AaABAg.93kft2Vm__3944aOBe9whI,7,3 years ago,"phil tian according to online youtube sites she could be earning as much as $3 million a year from youtube alone. probably not that close, but when you factor in she has over 30 million subscribers on chinese platforms itโ€s fair to say that $3 million is probably conservative. although youtube is technically illegal and banned in china, in cases such as hers, where they make the country and culture look good, the ccp encourages their youtube participation. her skills are fantastic, but whomever is doing the filming and editing is doing a fine job too.",菲尔·蒂安（Phil Tian）根据在线YouTube网站，仅YouTube就可以每年收入高达300万美元。可能不是那么接近，但是当您考虑她在中国平台上拥有超过3000万订户时，可以说300万美元可能是保守的。尽管YouTube在技术上是非法的，并且在中国被禁止使用，但在她的情况下，使国家和文化看起来不错，但CCP鼓励他们的YouTube参与。她的技能很棒，但是无论如何都在拍摄和编辑也做得很好。
50243,UgyKQIvyzxtsrxMHv294AaABAg,7,4 years ago,global letters are daboine's global popularity ㅋㅋㅋ fantastic !!!,全球字母是Daboine的全球知名度。
34411,UgwDAMugis9OnEJ9BMp4AaABAg,6,4 years ago,those puppies are sooo cute. your night sky is fantastic and breath taking. wow!!,那些小狗太可爱了。您的夜空是奇妙而呼吸的。哇！！
