,cid,votes,time,含super,含super中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,1 year ago (edited),"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
25059,Ugytvmc3UbnvGly8w114AaABAg,237,3 years ago,"accidentally click the video too,after that could not get enough of it!!...much more better than watching the kardashian/jenner all the time.i'm just so sick of watching the superficial world,where every girls on ig tries to have lips injection and buttock implants.this is the real world,where you could see the beauty of nature,calm,peace of mind and happiness!",偶然地单击视频，之后无法获得足够的时间！！……比整个观看Kardashian/Jenner都要好得多。要注射嘴唇和臀部植入物。这是现实世界，您可以看到大自然的美丽，镇定，心灵和平和幸福！
29717,UgwChwyYWDnUtjkjwpl4AaABAg,103,3 years ago,"the subtitles 's chopping everything super fast, ""be careful when replicating this at home. we dont want fermented finger tips and nails""",字幕
27717,Ugw-L63J_o6FbA4lILJ4AaABAg,79,3 years ago,"greetings from taiwan are so beautiful, the craftsmanship is superb, and there are very retro style.",来自台湾的问候 妳 好美 手艺超群 又很有 复古风 真的 越看越美 妳的每一集都有看 希望你能常常出片 祝妳顺心 愉快
22562,Ugw3kawLdFhIagmjIAl4AaABAg,75,3 years ago,"don't get it twisted they do more work in a week then most do in a year video just makes it look easy, it's not, this women is super human.",不要让它扭曲，他们在一周内做更多的工作，大多数在一年中进行的视频都使它看起来很容易，不是，这个女人是超级人类。
26500,Ugxc1AA-oZMd4ChgkiR4AaABAg,66,3 years ago,"i like the way that you live. you and your natural surroundings are so much beautiful
the way you cook is superb.","我喜欢你的生活方式。您和您的自然环境非常美丽
您做饭的方式很棒。"
10447,UgxWYcGws_9CH4OozQh4AaABAg,45,3 years ago,"oh my goodness, i couldn’t believe my eyes when i watched this - all this still happening in the 21st century. she is a super women and beautiful",哦，天哪，当我看着这一点时，我简直不敢相信我的眼睛 - 这一切仍在21世纪发生。她是一个超级女人，美丽
23908,UgyTYTiQ_9w46NMVZj94AaABAg,45,3 years ago,"last time i cooked the luosifen, my spanish roommate came out to kitchen and asked me ""what the hell are you burning? the kitchen?"" 
frankly speaking, luosifen is an super ""unique"" food which smells like shit but tastes god-damn fantastic.","上次我烹饪Luosifen时，我的西班牙室友出来厨房问我：“你到底在燃烧吗？厨房？”
坦率地说，Luosifen是一种超级“独特”的食物，闻起来像狗屎，但味道众多的美妙。"
33165,UgxO2rwP5lSoOewT8YV4AaABAg,40,3 years ago,liziqi did super cool job. but i have to appreciate the cameraman too. the scenes of the frog and view of sunshine is amazing.,Liziqi做得非常酷。但是我也必须欣赏摄影师。青蛙的场景和阳光的景色真是太神奇了。
33733,UgztOIkTepGJIhCTZqZ4AaABAg,20,3 years ago,liziqi be like i need no man!!...one women army....super strong super beautiful,liziqi就像我不需要男人！！ ...一支女子军队....超强超级美丽
