,cid,votes,time,含oh,含oh中文翻译
18717,UgzFqkSJdWbabJELw6d4AaABAg,120,3 years ago,"this is the first video i see about liziqi, oh my god, i'm totally in love.",这是我看到的关于利兹奇的第一部视频，哦，天哪，我完全恋爱了。
4872,UgwBdL8RFnlKoh0KJ0V4AaABAg,90,2 years ago,"oh my god, korean people! stop this meaningless hateful attack! what is the matter with you ? you own this food, too?",哦，天哪，韩国人民！停止这种无意义的仇恨攻击！你怎么了？你也拥有这种食物吗？
23640,UgzsnaN3UWCEAPnUB8B4AaABAg,63,3 years ago,"""careful when replicating this at home. we dont want fermented fingertips and nails""
me: oh liziqi got jokes huh?","“在家里复制它时要小心。我们不想发酵指尖和指甲”
我：哦，利兹奇开了笑话吧？"
10447,UgxWYcGws_9CH4OozQh4AaABAg,45,3 years ago,"oh my goodness, i couldn’t believe my eyes when i watched this - all this still happening in the 21st century. she is a super women and beautiful",哦，天哪，当我看着这一点时，我简直不敢相信我的眼睛 - 这一切仍在21世纪发生。她是一个超级女人，美丽
25907,Ugwwm1OnvPfUP_o1FNR4AaABAg,44,3 years ago (edited),"grump in the house!

oh wow this is amazing and so beautifully shot. that woman is very pretty too.","在屋子里脾气暴躁！

哦，哇，这真是太神奇了，很漂亮。那个女人也很漂亮。"
15371,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93PXkeXUCEo,42,3 years ago (edited),"lumine moon, oh.... even here in india, it's not rare. but the beautiful farms, woods and the great weather really makes the video like a fairytale.",Lumine Moon，哦。。。即使在印度，也不是罕见。但是美丽的农场，树林和伟大的天气确实使视频像童话一样。
12997,Ugx1okKIJ3LO4u5-Dyd4AaABAg,38,3 years ago,has she married yet? who deserves to have this type of girl man? oh man.... that person is so lucky!!!!,她结婚了吗？谁应该拥有这种女性男人？哦，伙计。
23568,UgxX1MKDT7B0IWzMaf14AaABAg.8zfpS_f3W7x8zp7-diezBP,33,3 years ago,"@lalaland616 oh, i read on her website that she now has a production team. but she edits everything herself.",@lalaland616哦，我在她的网站上读到她现在有一个生产团队。但是她自己编辑了一切。
31472,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVmC7_9k4o,30,3 years ago,"@franzpeters3824 you think youtube doesn't know how to deal with robots? oh,i see,in your opinion,american even don't know how to deal with robots,you're not insulting china, you're insulting america.",@franzpeters3824您认为YouTube不知道如何处理机器人？哦，我认为，在您看来，美国人甚至不知道如何处理机器人，您不是在侮辱中国，而是在侮辱美国。
23928,UgwU7nEOIA5U6bs0d2F4AaABAg,21,3 years ago,"how can one watch this and dislike?






oh i get it, they must have not watched the video..... i mean that’s the only explanation.","一个人如何看待这一点和不喜欢？






哦，我明白了，他们一定没有看过视频.....我的意思是这是唯一的解释。"
34230,UgzaM7zI_n1xws2q_gp4AaABAg,19,3 years ago,"oh god, and i thought i was talented!!!! we are nothing compared to her guys luv u liziqui from pakistan",哦，天哪，我以为我很有才华！！！与她的家伙相比，我们什么都不是巴基斯坦的Luv u Liziqui
3964,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19LxqihQKWSX,16,2 years ago,@roh-moo-hyeon you are a weird troll.,@roh-moo-hyeon你是一个奇怪的巨魔。
17276,Ugy7-EdNg3xlEfpKEnJ4AaABAg,13,3 years ago,oh i want a wife like her but im a girl,哦，我想要一个像她一样的妻子，但我是一个女孩
25518,Ugx75j2_9PlBs-274oF4AaABAg,13,3 years ago,"ohhhh! the shallow creek, the crops, the frog jumps, and the background music!!! such a brain trash releasing moment!!! it was beautiful.",哦！浅溪，农作物，青蛙跳和背景音乐！！！这样的大脑垃圾释放时刻！！！它过去挺美。
31478,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVx6oluhwQ,12,3 years ago,@franzpeters3824 oh my gosh! that reminds me! i usually stay in the beauty and life community. a lot youtubers have millions of views but only thousands of comments. oh lord! youtube is being taken over by bots!,@franzpeters3824哦，天哪！那使我想起！我通常留在美丽和生活社区。很多YouTuber都有数百万的观点，但只有数千条评论。我的天！ YouTube被机器人接管！
16431,Ugy-3nMzYcYNOPDOuDx4AaABAg,11,3 years ago,oh so that’s how bamboo shoots look like in real life i remember there was a cartoon show i used to watch called like heroe 108 or something like that and i remembered there was a character who used bamboo shoots as a weapon and i always thought they were delicious,哦，这就是现实生活中的竹芽的外观可口的
3965,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19M5qQQSHrci,10,2 years ago,@roh-moo-hyeon your an idiot. shame!,@roh-moo-hyeon你一个白痴。耻辱！
2827,UgzPQMgrfg4P3N2ODe54AaABAg,8,1 year ago (edited),"i just love how she is like ""need to wash my feet la dee da... oh hey snails!""",我只是喜欢她的感觉：“需要洗我的脚la da da ...哦，蜗牛！”
4881,UgyeGuyZgvzWR9gxvxR4AaABAg,8,2 years ago,"i am dead, oh, the snail powder is too delicious, oh oh 柒 柒 柒 柒 呜 呜 呜",馋死我了呜呜呜 螺蛳粉太好吃了呜呜呜 子柒好美呜呜呜
12716,Ugyevc-U_aA0u2PBChh4AaABAg,7,3 years ago,"oh, those paddy snails are sure bring back childhood memories. i used to buy it for about us 35 cents, for a bowlful of 'em with thin yellow curry soup, from a peddler that came in the afternoon. toothpicks is absolute a must have utensil for this bad boys or else you sucker (pun intended ;-) gonna have a jaw hanging from too much sucking",哦，那些帕迪蜗牛肯定会带回童年的回忆。我曾经以大约35美分的价格购买它，用一碗薄薄的黄色咖喱汤，从下午来的小贩那里购买。牙签绝对是这个坏男孩必须拥有的餐具，否则您的吸盘（双关语;-)将下巴悬挂在太多的吮吸中
