,cid,votes,time,含omg,含omg中文翻译
35351,Ugz1sIYY5K8sxHEOe7d4AaABAg,212,3 years ago (edited),"can't believe early to watch her video 
.
.
omg this is my 1st time comment since i've been watching all of her videos, tq for 'ur thumbs up guys! i know this is cuz of ziqi's lovers!","不敢相信她的视频
。
。
天哪，这是我第一次评论，因为我一直在观看她的所有视频，即“您的大拇指”的TQ！我知道这是Ziqi恋人的Cuz！"
14922,UgwYWTbpHbAl4Uu8fJB4AaABAg,139,3 years ago,"li: look granny, this bamboo shoot is bigger than my head!!
granny: no no, not enough, when i was young, i saw a bamboo shoot............
omg such a touching conversation...","李：看奶奶，这张竹芽比我的头还大！！
奶奶：不，不，还不够，当我年轻的时候，我看到了竹脚射击........................................
天哪，这是一个令人感动的对话..."
27640,Ugw7ELr8s9-jBJQO1M94AaABAg,68,3 years ago,omg you have a little paradise there...thanks for sharing!,天哪，您在那里有一点天堂...感谢您的分享！
28089,UgzQcs09dVWjTG4QDBF4AaABAg,12,3 years ago,"there is a state called nagaland in the north eastern part of india, and we also cook like you do, the bamboo shoot, the eatable snails its omg!! just the way you brush it clean and cooking it with pork!!!",印度东北部有一个名为Nagaland的州，我们也像您一样做饭，竹枪，可食用的蜗牛是它的OMG！就是您刷干净并用猪肉烹饪的方式！！！
5422,UgzopX7Yr44Dc0Gv2cZ4AaABAg.9GVsPeHCDNu9HBtnbpn5MC,9,2 years ago,omg density ๐๐ญ,OMG密度
28584,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-FdcA8Frco,6,3 years ago,omg. someone value this video only from language,我的天啊。有人仅从语言中重视这段视频
18045,UgwTSXj3mPlZYE3bX954AaABAg,5,3 years ago,me: omg what an amazing person!!!!! 2 ads interrupted video me: nooooooo,我：天哪，真是一个了不起的人！ 2个广告中断视频我：noooooooo
27855,Ugzy3VaNWqJgnNNmx2V4AaABAg,4,3 years ago,omg your so lucky you have a tiny creek where i live everything is being made into houses,天哪，你很幸运，你有一条小溪，我住在房子里
21896,UgwcX9YQRp7-GIicFyh4AaABAg,3,3 years ago,"omg as soon as i start watching her videos i cant stop myself watching for more,makes me think how i miss my simple life in the village,,,girl you inspire me a lot,,one day gonna go back to the island where i was born,cant wait to go back home and cook like your videos,i learn a lot from your video,god bless you girl,",天哪，一旦我开始观看她的视频，我就不能停止自己观看更多，让我想到我如何想念我在村庄的简单生活，你会激发我的灵感很多，有一天会回到岛上出生了，迫不及待地想回家像你的视频一样做饭，我从你的视频中学到了很多东西，上帝保佑你的女孩，
35068,UgyHYT3znlXkwr5MaOV4AaABAg,3,3 years ago,omg 'm here after 2min ...i love your videos liziqi's of love from india,OMG
20890,UgyJogikDuttiHLxGSl4AaABAg.90PCQI45Ynj90ayR-SQOKO,2,3 years ago,omg same! also when she is mixing stuff in the big pot!,天哪！同样，当她在大锅中混合东西时！
33754,UgylKscRdOj6QS_wjKV4AaABAg,2,3 years ago,"omg, do you do homestay, i want to come",天哪，你做寄宿家庭吗，我想来
9161,UgykMmM3H2DydfVSERp4AaABAg,2,2 years ago,"living the best life, for real omg",过着最好的生活，真正的OMG
26638,UgzS06kWPFl_gfzwTgF4AaABAg,2,3 years ago,"omg.... this is paradise.
totally enamored with this spirit.
amazing imagery and editing.

i think i am in love!","天哪。这是天堂。
完全被这种精神迷住了。
惊人的图像和编辑。

我想我恋爱了！"
17225,Ugy7BwlYL68WH73yzpt4AaABAg,2,3 years ago,"this is so beautiful , like.a.dream omg i wish i can went there some day",这是如此美丽，就像a.dream omg，我希望有一天能去那里
8003,UgzPvgssniZDSIo3vsx4AaABAg,2,2 years ago,omg! she is super nd her hardwork is very well...finally she' s wonderful cooking also amezing...i like her all routine life....,我的天啊！她的辛勤工作非常好...最后，她的烹饪也很棒……我喜欢她所有的日常生活。
18478,UgxVtc0oP41YcPvxHGF4AaABAg,1,3 years ago,"omg, this video got more than 21.5m viewers!",天哪，该视频的观众超过2150万！
3515,UgyFliw6bXAPe7PI4Rl4AaABAg.9O-hcXFFSBB9O-he_b8d8F,1,2 years ago,omg,我的天啊
26070,UgyQ1weoDyHfIx_dHhV4AaABAg,1,3 years ago,men this show got me craving all that food ahahahhahahah.. looks so delicious omg. mouth is watering now..,男人这个节目让我渴望所有的食物，啊哈哈哈哈哈。看起来很美味。嘴正在浇水..
3863,UgyiRTTYAdTj5bD9rRJ4AaABAg,1,2 years ago,omg!! congrats on 15 mill subs!!,我的天啊！！恭喜15工厂潜艇！
25740,Ugxu-m0uN952WQXtZe54AaABAg,1,3 years ago,"i would like to be live with you.
it's like a brother or care taker or your cameraman or what ever it be. omg you're so good. i'm addicted to watch your videos.","我想和你一起生活。
就像一个兄弟或照料者或您的摄影师或那样。天哪，你真好。我沉迷于观看您的视频。"
12602,UgzCr0kNIBWOjFim2MN4AaABAg,1,3 years ago,"omg china are so poor , their people can’t even buy food from grocery store, china goverment forcing them to plant their own food and collect food from jungle.",OMG中国是如此贫穷，他们的人民甚至无法从中国政府杂货店购买食物，迫使他们种植自己的食物并从丛林中收集食物。
3187,UgycR7R0wOTTXV0WrNV4AaABAg,1,1 year ago,so pretty omg,太好了
14500,UgyPqlxCD1wOVDp_g8p4AaABAg,1,3 years ago,omg.. i just wanna live this life...,OMG ..我只是想活下来...
15168,UgxXIvGMyqY9_YoXmbh4AaABAg,1,3 years ago,omg i want to live there,天哪，我想住在那里
17224,UgxpUmX2kcpqP03L1oN4AaABAg,1,3 years ago,"omg what a beautiful views 
and 
she is so gorgeous","天哪，多么美丽的景色
和
她真漂亮"
25117,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zGGaiyjCAb,1,3 years ago,omg pork with fermented bamboo right!? i hav tried it n i love it!!,天哪，猪肉用发酵竹对右！？我尝试过，我喜欢它！
32361,UgxTdjMxw2tfW2TPJU14AaABAg,1,3 years ago,i've always watch ur video omg sooo good to feel relaxing i alwsys waiting your next video,我总是看你的视频omg sooo sooe感到放松，我alwsys等你的下一个视频
7980,UgxrwShvNt5GhgvzX3t4AaABAg,1,2 years ago,"omg. all those poor garden gnomes. why would they bury them and then cut off their hats like that? it's so inhumane. i try not to judge other cultures, but this has gone to far. garden gnomes lives matter. ""gglm",我的天啊。所有那些可怜的花园侏儒。他们为什么要埋葬他们，然后切断他们的帽子？这是如此的不人道。我尽量不要判断其他文化，但这已经走了很远。花园侏儒生活很重要。 “ GGLM
34754,Ugyk5hiwJ2fqQH77pot4AaABAg,1,3 years ago,omg she has everything in her garden,天哪，她在花园里有一切
7028,Ugzgxg6MI2PJ73OCmZR4AaABAg,1,2 years ago,omg beautiful place ๐ญโฅ๏ธ,OMG美丽的地方
7373,UgxUsTIdvskYcjiupl54AaABAg,1,2 years ago,omg this woman is amazing!ยฐ,天哪，这个女人很棒！°
24162,Ugyupl5aUxthz1Syw5J4AaABAg,1,3 years ago,omg that rice noodles,天哪，米饭
32875,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8yV0DYRMD5r,1,3 years ago,omg me too,我也是
24554,UgyBDN9FHPXVSrNHVjF4AaABAg,0,3 years ago,omg,OMG
24509,UgyyQibpasyI9KJ3sXV4AaABAg,0,3 years ago,omg i love the vibe the whole video... ❤️❤️,天哪，我喜欢整个视频的氛围...❤️❤️
27621,UgzC51RtgfOq2Mv6vv54AaABAg,0,3 years ago,"wow, omg i love it aww thanks ☯️",哇，天哪，我喜欢它，谢谢☯️
26631,UgwFZRIqWBEGQokDN5N4AaABAg,0,3 years ago,the sounds of the forest ...omg,森林的声音...天哪
25925,Ugyn92U1iyMgZUIFGeR4AaABAg.8ywsiNUa19i8yxVfEsq8Qn,0,3 years ago,omg me too! how is this related to game grumps hahaha,我也是我！这与游戏脾气关系如何
25958,UgxcGU6agbxxgXXzImd4AaABAg,0,3 years ago,"my message is only for men ?
you're not like me !!!
my dream is to have a wife in a life like that .
she make as dreaming omg !!!!","我的信息只是给男人吗？
你不喜欢我！！！
我的梦想是在这样的生活中有一个妻子。
她成为梦想的人！"
