,cid,votes,含culture,含culture中文翻译
18583,Ugw-4ZcCGQMb7Of6XvF4AaABAg,251,"Chinese traditional culture, 5 thousand years of civilization",中国传统文化，5000年的文明
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,"An interesting observation: many western families grow beautiful flowers in their gardens, but in a Chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. They are as colorful and pretty. I believe such style reflects certain aspects of Chinese culture and philosophy of life. Grown up in China, I have always been pursuing a quiet, peaceful and self-sufficient life. And I found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
17962,Ugw6czK9Xf25b4E83At4AaABAg,150,This is the best channel to introduce Chinese culture. I love to learn Chinese culture from here.,这是介绍中国文化的最佳渠道。我喜欢从这里学习中国文化。
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,"In order to write the college entrance examination composition to watch my sister's video ... I really envy my sister's life like this. After reading it, I was so moved. I was very happy to see foreign netizens' messages! Intersection Thank you sister for the help of spreading Chinese culture, and thank you for your dreams for so many people. This may be your dream ~ I'm happy for you. Thanks a lot! Intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,I love the Chinese culture of living and I want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
30722,UgzL5nyy2lVkZjq6So14AaABAg,76,Bamboo shoots is one of the most popular recipe in northeast India.. Love from northeast India.our culture something like China Thailand maynmer etc,竹芽是印度东北部最受欢迎的食谱之一。来自印度东北部的爱情。我们的文化像中国泰国梅纳默等
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,"Its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
And most specially thank you for inspiring me to create countryside life content, love from the Philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,"Golden Melon Grandma was taking care of her when she was young. What she is doing is the gratitude for the love and care received from childhood. This is a part of Chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
26384,UgzBbK2aDxUle4bmSSF4AaABAg,38,even sour bamboo shoot or pickle is very common in many states of NorthEast India too our cuisine and culture has many simmilarities,甚至在印度东北部的许多州，我们的美食也很常见，我们的美食和文化都具有许多同样的andiminties
18637,Ugzji7WoQS6IgFJIOvh4AaABAg,37,"The Li family has a woman, and she is called Ziqi.
May your dedication give the world better to understand China's farming and rural culture.","李家有女，人称子柒。
愿你的付出让世界更了解中国的农耕田园文化。"
