,cid,votes,含peaceful,含peaceful中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
22960,UgzH7KKKJzSidK9EZ9d4AaABAg,303,watching her videos have become my stress reliever from the crowded and busy city. it’s so peaceful and makes me love nature even more! ♥️,观看她的视频已成为我拥挤而繁忙的城市的压力减轻。它是如此的和平，使我更加爱大自然！ ♥谢
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
25710,UgwER2qnmVJ7VmOqujl4AaABAg,131,man.... just take me there with her...and i’ll leave my job and shitty things in city life...it’s so peaceful and absolutely satisfying.....,伙计....只带我到那里...我会离开我的工作和卑鄙的事情……这是如此宁静，绝对令人满意.....
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
11732,UgyECAhI2fD_muFIK214AaABAg,98,"i wish i'm in that place so quiet and peaceful, be safe liziqi",我希望我在那个地方如此安静和和平，安全地
19350,UgxWWLZSky29EJsezpp4AaABAg,83,"this is basically studio ghibli in real life... so peaceful, so beautiful, so natural and so holistic, what a life.",这基本上是现实生活中的吉卜力工作室……如此宁静，如此美丽，如此自然，如此整体，多么美好。
25602,UgxHsgRpANCCm8gOQEx4AaABAg,74,their life is so peaceful.....wanna be like them,他们的生活是如此宁静.....想像他们一样
