,cid,votes,含respect,含respect中文翻译
21985,Ugx1S3F_HcEVF0Xfeox4AaABAg,159,she can't die of hunger even without money. i respect her intelligence,即使没有钱，她也不能死于饥饿。我尊重她的才智
22322,UgzalH_OucQr_GSfdLx4AaABAg,87,"grandma should get some respect..

somebody had to teach this girl all this stuff.","奶奶应该得到一些尊重。

有人必须教这个女孩所有这些东西。"
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
19953,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91xZDt3yshg,19,"@sweetanzu2231 all due respect, even if its for money you can't deny that it's good content. i don't see why can't it be for money. she's not currently working in the cities and so she posted some meaningful content online to get some income. and it's not easy to get those content filmed so clearly. people who dislikes just find excuses to dislike it.",@sweetanzu2231所有应得的尊重，即使它是为了钱，也不能否认它是很好的内容。我不明白为什么不能赚钱。她目前没有在城市工作，因此她在网上发布了一些有意义的内容以获取一些收入。而且，让这些内容如此清晰地拍摄并不容易。不喜欢的人只是找到不喜欢它的借口。
12515,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iU_b_HpaQ,16,"pete g eating bats is part of some people’s culture and even if you feel disgusted by that, you shouldn’t be disrespectful about it.",Pete G吃蝙蝠是某些人文化的一部分，即使您对此感到厌恶，也不应该对此不尊重。
15385,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss94AR4UvRPDa,14,"strait arrow lmao, are you even serious after you made a comment like this, no respect for fools, done",海峡箭lmao，在这样的评论之后，您甚至是认真的，对傻瓜没有尊重，
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,pedro c yes it is a lie. mao is totally a great leader in many sense from chinese perspective. he built a new regime where china enjoys real freedom post hundreds years of being slaves by foreigners. he had ego and made big mistakes but his contribution outweighs his mistakes. hence people in china still respect and thank him for what he did. western media demonizes him i believe is because he represents communism while ignoring what he did to china and chinese people. it's a totally subjective and political view. i hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
21240,Ugz1v1OrVPtjEbP4xcl4AaABAg,11,"this channel is similar to the advertising of this girl, how much she knows and knows how. respect to her, all the same, not everyone can)",这个频道类似于这个女孩的广告，她知道和知道了多少。尊重她，都是一样的，并非每个人都可以
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,"@metalwaves4154 thank you both. if what ms. li's observers posted on some chinese sites are true, she is making around chinese yuan 200 million a year, from videos and online store combined. yt further gives her at least an estimated 1.5 million us dollars a year due to tens of millions of viewer clicks. she disclosed she sometimes worked till 3 a. m. to edit filmed images. at a number of times, she fell ill and was hospitalized due to over-diligence. i respect her since i grew up in south china and i can do 99 % of what she did on camera (due to my deprived childhood). i read and found some dislikes came from opposing camps and competitors. like she does, my daughters and i donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
