,cid,votes,time,含dream,含dream中文翻译
22430,Ugzk2hZzSJPMNCq5HPR4AaABAg,2100,3 years ago,"no matter how i need and love technology. this is the life i always dream. free from debt, free from worries, free from expectations, free from the eyes and standards of society. just living peacefully",无论我如何需要和热爱技术。这是我一直梦想的生活。没有债务，不用担心，没有期望，没有社会的眼睛和标准。只是和平地生活
21352,UgyMT0oRUzt1BcRJ06t4AaABAg,435,3 years ago,this kind of life is the one thanos dreamed of right after snapped his finger.,这种生活是thanos抓住手指后梦dream以求的人。
24361,UgzLwLKR8vnAGKTdwHR4AaABAg,221,3 years ago (edited),"you look like a princess with an animal friends
edit: wait am i dreaming i got so many like ๐ thank you this literally make my day","你看起来像一个公主和动物朋友
编辑：等等，我在做梦，我有很多喜欢"
30836,UgzUuTQk8yuJ8cB7z514AaABAg,122,3 years ago (edited),"24 years of living and being a chestnut lover, i always thought it was planted underground just like the ground nuts, not on a tree!๐…๐ 
.
wait, is the mango she cut doesnt have a seed??! my ultimate dreammmm","24年的生活和成为栗子爱好者，我一直认为它是在地下种植的，就像地面坚果一样，而不是在树上！
。
等等，她切割的芒果没有种子吗？我的终极dreammmm"
41743,Ugx4_J6g5aPAJWKg_Z54AaABAg,117,4 years ago,.. if she is a dream then i dont want to wake up..,..如果她是一个梦，那我就不想醒来..
19356,UgxrGL_gZgLw_j9TS1t4AaABAg,87,3 years ago,"she is like a dream princess. best of luck dear.

from,
bangladesh.","她就像一个梦想的公主。祝您好运。

从，
孟加拉国。"
35824,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ucEOvYy2p5,70,4 years ago (edited),@miranti dwi donโ€t feel ashamed! find inspiration in others and aim to live a life you dream of living!,@miranti DWI不会感到羞耻！在他人中找到灵感，并旨在过着梦dream以求的生活！
22020,UgwpxFFYsP4GRDH_-EN4AaABAg,60,3 years ago,everyone have a dream like this๏ผbut only she makes it true.,每个人都有这样的梦想，但只有她才实现。
35376,UgytzIfdHGD_NUIqrfx4AaABAg,49,4 years ago,my dream lifeโคat peace in the mountain with the nature๐ญ.,我梦dream以求的生活是在山上与大自然的和平。
26244,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zsIVAARk1n,44,3 years ago,"lovely, you are taking the first steps of treating your depression and eventually living the life you dream to live in! god bless!",可爱的是，您正在采取第一步来治疗抑郁症，并最终过着梦dream以求的生活！上帝保佑！
15099,UgykNme56YkQsAIGp8V4AaABAg,42,3 years ago,i have always dreamed of living life like this.,我一直梦想着这样的生活。
36665,UgzpbLpibu8qQDqEbOh4AaABAg,37,4 years ago,"she is so enviable.....
i wanna be like that (in my dream) 
hahahhaa","她是如此令人羡慕.....
我想这样（在我的梦中）
哈哈哈"
5506,UgxjxzTiU4tCGYRBa8V4AaABAg,29,2 years ago,"this is so inspiring, relaxing .. how i live my life in dreams ..",这是如此鼓舞人心，放松..我如何在梦中生活。
16176,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99Cl6oBm3TP,21,3 years ago,who wouldn't she looks like she is living the literal dream,她看起来不像她在实现字面上的梦想
28652,UgzPJkjRzJIR4lb5H9h4AaABAg,20,3 years ago,"after watching every videos of her, my dreams have been changed",观看了她的每个视频后，我的梦想已经改变
15215,UgyHTBxfbnOo063npyt4AaABAg.99n1nHDQ78n9A2ftCbDbq7,17,2 years ago,"me too , this is just like a beautiful dream that i want to become",我也是，这就像我想成为的美丽梦想
31264,UgwBHMGguXljvNp565V4AaABAg,16,3 years ago,this is what everyone had been dreams of. live in the village with all we need. super talented girl thumbs up ๐‘๐‘,这就是每个人都是梦想的。我们所需要的一切都住在村庄。超级才华的女孩大拇指
40295,UgyaCui1bXDrVA2Lyc94AaABAg,14,4 years ago,just a sorceress from the world of dreams! the girl is a miracle worker!,只是梦想世界的巫术！这个女孩是一个奇迹工人！
5069,UgwYgD-oeWzWdSKtR4x4AaABAg,14,1 year ago,she is living my dream live,她正在实现我的梦想
14747,UgxAoyMJE6ZJ7ybq6tt4AaABAg,11,2 years ago,she is living in a dream . i mean she have many dreams....??!,她生活在梦中。我的意思是她有很多梦。
3533,UgzxWXyl3rFUF_YUDVh4AaABAg,11,1 year ago,this video truly pleasing to eye and heart also.... that place become my dream destination now ❤how beautiful is her village. lucky girl,这个视频也真正令人愉悦。幸运的女孩
27606,UgxAdc2OTCtdIOn125V4AaABAg,10,3 years ago,"the fellow unintentionally saw your video and liked you so much. this kind of life has always been my dream, support you!",老乡无意中看到你的视频，太喜欢你了，这样的生活一直是我的梦想，支持你哦！
3496,UgxNeO4EdsJeaBeB3uZ4AaABAg,8,1 year ago,my dream is to visit china and all its regions... i really love china with its culture and language and i adore its people... congratulations to me... i have been studying chinese for a year,我的梦想是参观中国及其所有地区...我真的很喜欢中国的文化和语言，我崇拜它的人...恭喜我...我已经学习了一年
1770,Ugxx_UFKQg4oB36qtSN4AaABAg.9bGcZrQxffm9dTppuJijYQ,8,11 months ago,its like a huge dream :),它就像一个巨大的梦想:)
5166,Ugx9RRYYArayULqvG5V4AaABAg,7,1 year ago,"it's a dream or a dream full of baskets.
all apple candy and meat seem to be delicious.","这是一个梦想或充满篮子的梦想。
所有的苹果糖果和肉似乎都很美味。"
47654,UgzsDqhzC6tiJfJ0-z54AaABAg,7,4 years ago,"the life here is peaceful, i dream of having such a life. in vietnam, we also welcome tet as in china. quality and emotional video, wish you a good new year!",这里的生活是和平的，我梦想着拥有这样的生活。在越南，我们也欢迎在中国的TET。质量和情感视频，祝您新年快乐！
10841,Ugzt93wrsMLjXjTfxOZ4AaABAg,6,2 years ago,i can't stop crying and i don't know why. all i want in life is this. i hope someday i achieve this dream of mine.,我不能停止哭泣，我不知道为什么。我一生中想要的就是这个。我希望有一天我实现了我的梦想。
37125,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uXThyuFmet,6,4 years ago,"my grandma owns 90 sheep's and i help her with chores and when it snows it looks beautiful because the mountains just look the one's you see online but it consist hard work but anyone can do it!!!!

when my grandma dies my grandma told me i could look after her sheep's she's 70 but still healthy we have a apple tree and some cherry blossom trees cows and goose!! raspberries honestly anything but
so everyone lets work hard in achieving this dream!!","我的祖母拥有90只绵羊，我为她提供杂务，当雪雪它看起来很漂亮，因为山脉看起来只是您在网上看到的那个人，但它既艰苦又努力，但是任何人都可以做到！！！！

当我的祖母死后，我的祖母告诉我，我可以照顾她的绵羊，她是70岁，但仍然很健康，我们还有一棵苹果树和一些樱花树牛和鹅！老实说，除了
因此，每个人都可以努力实现这个梦想！！"
