,cid,votes,time,含creative,含creative中文翻译
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
23882,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zgE-KVtZeJ,21,3 years ago,"@skf358 what exactly has politics got to do with the creativity here displayed??? you are that western brainwashed child and can't shake it, how very unfortunate for you, because you just can't enjoy for the sake of creatively creating!!!",@skf358政治与这里显示的创造力到底有什么关系？？？你是西方洗脑的孩子，无法摇动它，对你来说真是太不幸了，因为你只是为了创造性地创造而无法享受！！！
30900,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ytWCxtiBol,10,3 years ago,"bramha's astra well... that is what cooking is... its definitely not ""food eating"" or ""food storing""... putting together dishes doesnt need to be original or super creative. i really dislike how americans are looked down on on everything. im not saying american cuisine is anything impressive, weve been around for a handful of generations tbh and were all just bunch of cultural foods mixed together, but dont disrespect american chefs or food lovers that genuinely enjoy their creations...",布拉姆（Bramha）的阿斯特拉（Astra）很好...那就是烹饪...绝对不是“食物吃”或“食物存储” ...将菜肴放在一起不需要原始或超级创意。我真的不喜欢美国人如何看待一切。我并不是说美国美食令人印象深刻，我们已经待了几代人，只有一堆文化食品混合在一起，但不要不尊重美国厨师或食物爱好者，这些爱好者真正喜欢他们的创造...
34385,UgwD6ewkvHIiqJwZ1tR4AaABAg,5,3 years ago,"you are creative and smart, followed by iraq, i don’t know what you know.",您很有创造力和聪明，其次是伊拉克，我不知道您知道什么。
23900,Ugx0tTjcBVgNgyDKkzp4AaABAg,4,3 years ago,"liziqi.hola ..... beautiful, fine, intelligent, and very creative ...
greetings from chile.
antonio.","liziqi.hola .....美丽，精美，聪明，非常有创造力...
智利的问候。
安东尼奥。"
14288,UgzmBhl66300PNjkXgB4AaABAg,2,3 years ago,"creative and the most beautiful person, you live your follow -up from iraq, where are the arabs ??",创意和最美丽的人，您会从伊拉克实现您的追随者，阿拉伯人在哪里？
11721,UgzASLlODo8WXZ-OQIx4AaABAg,1,3 years ago (edited),"i love her,,,, very creative,,,, truely a housewife material.... god bless her and family",我爱她，非常有创造力，
1148,Ugyul0CvgtpeHiwx50Z4AaABAg,1,1 year ago,i love these creative videos,我喜欢这些创意视频
1660,Ugxgcm2Z1Z0cZ_JP1mF4AaABAg,1,1 year ago,"great, creative, and look good, thank you mother",伟大，富有创造力，看起来不错，谢谢妈妈
32835,UgzEXNe9ofXigrOG-9J4AaABAg,1,3 years ago,creative girls,创意女孩
