,cid,votes,time,含skill,含skill中文翻译
32693,UgwEJ70e-axdpD2FjmZ4AaABAg,166,3 years ago,"-no one:
-not a soul:
-liziqi: aye, let me flex my skills on y'all 4 times in one week.






(it's a joke. i admire her. dont kill me. lmao)","-没有人：
- 不是灵魂：
-liziqi：是的，让我在一个星期内四次锻炼自己的技能。






（这是个玩笑。我很欣赏她。不要杀了我。lmao）"
15931,UgwcK6zy11A5K3QHuZl4AaABAg,64,3 years ago,"the most amazing are her beautiful hands, impossible to believe that she performs so much labor. first of all it tells that she has a perfect control of her very skillful hands, correct grip of every tool, perfect coordination and rhythm, accuracy, experience. my farther was also that way: he was an amateur carpenter, a gardener, an artist, he could fix anything and yet i don't remember a single bristle, a cut of injury to his hands: they were handsome, strong always implacably clean hands of a man and a creator.",最神奇的是她美丽的手，不可能相信她的劳动如此之多。首先，它告诉她她对自己非常熟练的手，正确控制每个工具，完美的协调和节奏，准确性，经验。我的距离也是如此：他是一个业余木匠，一个园丁，一个艺术家，他可以修复任何东西，但我不记得一个毛刺，他的手割伤了：他们很帅，坚强总是很干净男人和创造者的手。
22561,UgwOmhNcXJUluURnR6B4AaABAg,55,3 years ago,"no man is worthy of her heart...
but i wish i could see in the future she teaching her daughter these amazing skills...","没有人值得她的心...
但是我希望我将来能看到她教女儿这些惊人的技能..."
13149,UgytFdIOGLrtnkYGfah4AaABAg,34,3 years ago,"who records all of this, the editing skills are a1",谁记录了所有这些，编辑技能为A1
34373,UgzLmA5jjWuAHu_6eHd4AaABAg,27,3 years ago,i do not cease to admire the skills of an amazing girl.,我不停地欣赏一个了不起的女孩的技能。
14327,UgweI4lENirYu5USYYJ4AaABAg,26,3 years ago,"she makes it look so simple, but this lifestyle is a gran skill. gardening itself is a skill that takes time to understand, she knows exactly what she’s doing and in awe. not to mention her filming skills are amazing too!",她使它看起来如此简单，但是这种生活方式是一项格兰技能。园艺本身是一种需要时间来理解的技能，她确切地知道自己在做什么和敬畏。更不用说她的拍摄技巧也很棒！
4827,UgzfVB4ZePPKK89b3tF4AaABAg,26,2 years ago,"i spent all the time watching my mouth open. it has everything within your reach and looks new, so what you know is cultural? amazing your skill. congratulations",我一直看着我的嘴张开。它拥有您的一切范围，看起来很新，所以您知道的是文化？惊人的技巧。恭喜
16786,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92zrvrZ1LXm,24,3 years ago (edited),"@tehkettybear you definitely know a lot about china, i appreciate that.
i just have to remind you 2 things:
1. she's not filming documentary, it's an art work based on her dream of life
2. she's not actress, she's actually filming her hometown. they're real: the house, granny, field, and her personality, her willingness to learn skills on various works.
those real things add up to a seemingly unreal event, just because we can't do it doesn't mean she can't. i think she deserves this fame.","@tehkettybear，您肯定对中国有很多了解，我很感激。
我只需要提醒您2件事：
1.她不是在拍摄纪录片，这是基于她的生活梦想的艺术作品
2.她不是女演员，实际上是在拍摄自己的家乡。他们是真实的：房子，奶奶，田野和她的个性，她愿意学习各种作品的技能。
这些真实的事情加起来似乎是虚幻的事件，只是因为我们做不到，并不意味着她不能做。我认为她值得这个名声。"
19631,UgyCM32NPZgMZ4anZ_l4AaABAg,22,3 years ago,"can i just borrow her brains, skills and attitude to build everything i can think of and cook all the things i want to eat please",我可以借用她的大脑，技能和态度来建立我能想到的一切，并烹饪我想吃的所有东西
9346,UgzH9zSLw3du2rBNtAx4AaABAg,22,2 years ago,i just think that sheโ€s very well trained from her grandma or sheโ€s just skilled with literally everything.,我只是认为她从祖母那里受过良好的训练，或者她只是熟练的。
32412,UgyDKVH_WtjF6r-Gd2d4AaABAg,21,3 years ago,always an amazing education as well as joy watching your video and your neverending skills. thank.,始终是一个了不起的教育，也可以喜悦观看您的视频和您永无止境的技能。感谢。
22403,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-lhOpwUxK4,17,3 years ago,"@cyouchin5381 nope, as a chinese actually we hold cellphone whole day and busy in city life, that's why we love this lady so much either...she really doing what we enjoyed. in the deep mind of chinese , everyone is a farmer. we want to plant something but we have no time/skill.",@cyouchin5381 nope，作为一个中国人实际上，我们整天都拿着手机，在城市生活中忙碌，这就是为什么我们如此爱这位女士……她真的在做我们喜欢的事情。在中国人的深处，每个人都是农民。我们想种植东西，但我们没有时间/技能。
25961,Ugx13ntrq1eRxEKcAEF4AaABAg,17,3 years ago,"subtitle: careful when replicating this at home
me: laughs because i know i’ll never have the skill to do what she does","字幕：在家里复制此时要小心
我：笑，因为我知道我永远不会有做她所做的事情"
16353,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-29315NIvyM1x,15,3 years ago,"for rural people, it's not unusual that you know and can do anything. it's their ""normal"" compared to us city people. my parents both grew up in the provinces and i'm still surprised at how crafty and skillful they are in so many things,",对于农村人来说，您知道并且可以做任何事情并不罕见。与我们的城市人民相比，这是他们的“正常”。我的父母俩都在各省长大，我仍然惊讶于他们在很多事情上有多狡猾和熟练的事情，
30906,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzTQ9XuUQw,10,3 years ago,"@plush3106 no,no,no,my dear friend.as a chinese, i would say that this girl's cooking is a common step in china.some famous foods in china even take 72 hours to make.when i was young, my mother cooked food, it was as complicated as video, chinese people pay much attention to food, and they are very willing to spend time on the cooking of food.if you know the cooking of different countries in the world, you will find that chinese cooking is really complicated and requires skill and patience.welcome to china，my friend.",@plush3106不，不，不，我亲爱的朋友。作为中国人，我想说这个女孩的烹饪是中国的常见一步。中国的一些著名食品甚至需要72个小时才能赚钱。我年轻时，我的母亲煮熟了食物，就像视频一样复杂，中国人非常关注食物，他们非常愿意花时间做饭。如果您知道世界上不同国家的烹饪，您会发现中国烹饪是真的很复杂，需要技巧和耐心。
3868,UgwH74kFciN1-IaiJ0B4AaABAg,10,2 years ago,i just amazed by how she use all the leaves vines ect as packing of food or rope while me struggling going to barware store or supermarket to buy so many plastic products...... 's touching me everytime when she show me the skills and wisdom of how to deal with nature. also i feel sorry that my grandparents are no longer able to pass on me their knowledge of how to use bamboo and traditional local dishes...... all of the short stay in rural area are shining memories to me.,我只是对她如何使用所有叶子葡萄藤作为食物或绳索的包装感到惊讶我们决定找到一所拥有大土地的房子，以创造像她家一样的维度。当她向我展示如何处理大自然的技能和智慧时，每次都会感动我。另外，我感到很抱歉，我的祖父母不再能够传递他们对如何使用竹子和传统当地菜肴的知识……在农村地区的所有短暂住宿都对我来说都是闪耀的回忆。
13013,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96ElZ9a3jTm,10,3 years ago,"027anastasia._. because of predation, disease, natural disasters, starvation, people just don’t have the skills to sustain themselves like liziqi does. we’ve built these urban lifestyles because it’s possibly the safest way of living.",027anastasia._。由于捕食，疾病，自然灾害，饥饿，人们根本没有像利兹基那样维持自己的技能。我们建立了这些城市生活方式，因为这可能是最安全的生活方式。
13367,Ugxf_s_q7Zn2Y0ooqNV4AaABAg,9,3 years ago (edited),"aside from the super oily cooking and sometimes too much sweet, everything else is perfection and inspiring. the nature, the mountains, the gardens, the ingredients, the natural environment including appliances, your incredible skill in everything, your strength, the creativity.. the angles, and the video editing..well done~
the sound capturing of every activities is also amazing.. almost like asmr. beautiful background music. relaxing and beautiful.
you potray what you had said.. to show where the food we eat comes from. the works behind it. and the variety of the nature.","除了超级油腻的烹饪，有时太甜了，其他一切都是完美和鼓舞人心的。大自然，山脉，花园，成分，自然环境，包括设备，您的一切都在一切方面，力量，创造力。
每个活动的声音捕获也很棒。几乎就像ASMR一样。美丽的背景音乐。放松和美丽。
您是您所说的话..以展示我们吃的食物来自何处。它背后的作品。以及自然的多样性。"
19515,Ugy4PA1FZkwRamXGmEN4AaABAg,8,3 years ago,"it turns out that this is a screw fan! the raw materials are all homemade, too powerful, few people can have so many skills now!",原来这是螺丝粉啊！原料全是自制的，太厉害了，现在已经很少有人能有这么多的技能了吧！
5709,Ugw_ptDNEroyi8ROCV54AaABAg,8,2 years ago,"i admire her for so many reasons, one of the top reasons is her amazing knife skills.",我很佩服她，原因有很多，主要原因之一是她出色的刀技巧。
