,cid,votes,time,含strong,含strong中文翻译
30205,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yWOhtsP-mP,480,3 years ago,yeah seeing the grandma going strong is a charm in her videos,是的，看到奶奶变得强壮是她的视频中的魅力
30210,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yXhSJ6jIK1,458,3 years ago,"grandma is her biological grandma, but her adoptive mother somehow. ziqi lost her mother at very young age and step mother did not treat her well. then ziqi lost her father and her grandparents raised her up. ziqi said in a chinese variety show, she could have died without her grandparents. therefore, she has very strong bond with her grandparents.",奶奶是她的生物奶奶，但她的收养母亲以某种方式。 Ziqi很小的时候就失去了母亲，而继母的母亲并没有很好地对待她。然后Ziqi失去了父亲，她的祖父母抚养了她。 Ziqi在中国综艺节目中说，她本可以在没有祖父母的情况下死亡。因此，她与祖父母有着非常牢固的联系。
10864,UgwXeLq3XW31NNJo_fR4AaABAg,134,3 years ago,"i like her, because is strong woman.",我喜欢她，因为是坚强的女人。
23354,UgyCBlPGeBrVIIXxSlR4AaABAg,112,3 years ago,"every time ziyi watched your videos specially healed, especially in foreign countries that make people have a strong nostalgia. thank you! ""snail powder is particularly delicious""",子柒每次看你的视频特别的治愈，特别是在国外让人产生浓浓的思乡情。谢谢你！“螺蛳粉特别的好吃”
21322,Ugx8WFQ3yRDd69v-jsx4AaABAg,88,3 years ago (edited),can't believe how strong her hands and fingers are for such a tiny fragile looking lass,不敢相信她的手和手指有多坚固
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,3 years ago,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
3613,UgxDrz78yz2MbmuWXKd4AaABAg,67,2 years ago,hello from spain: i impatiently expected a new video you are an artist cooking and doing everything i look reflected in you i also make the arrangements of the casa del campo and the animals we live in the field and we take care of our animals that feed us. keep doing videos i really like a very strong hug,来自西班牙的您好：我不耐烦地期待一个新视频，您是一名艺术家烹饪，并做我看起来很反映在您身上的一切，我也做了Casa del Campo和我们生活在田间的动物的安排，我们照顾好我们的动物我们。继续做视频，我真的很喜欢一个非常强烈的拥抱
15931,UgwcK6zy11A5K3QHuZl4AaABAg,64,3 years ago,"the most amazing are her beautiful hands, impossible to believe that she performs so much labor. first of all it tells that she has a perfect control of her very skillful hands, correct grip of every tool, perfect coordination and rhythm, accuracy, experience. my farther was also that way: he was an amateur carpenter, a gardener, an artist, he could fix anything and yet i don't remember a single bristle, a cut of injury to his hands: they were handsome, strong always implacably clean hands of a man and a creator.",最神奇的是她美丽的手，不可能相信她的劳动如此之多。首先，它告诉她她对自己非常熟练的手，正确控制每个工具，完美的协调和节奏，准确性，经验。我的距离也是如此：他是一个业余木匠，一个园丁，一个艺术家，他可以修复任何东西，但我不记得一个毛刺，他的手割伤了：他们很帅，坚强总是很干净男人和创造者的手。
6288,UgyFdhbWHCZe1PyLh2V4AaABAg,63,2 years ago,i supposed anyone who eats this nutritious food would reached the age of hundred years and aboved still strong and healthy ๐—๐‘,我以为吃这种营养食品的人会达到百分之一的年龄，并且仍然坚强健康
14894,UgxEWna8ZL1zTxibmY54AaABAg.93pAL1epb7l944XeqX0J9v,55,3 years ago,@w4ld0emers0n no....the chinese bacon was homemaded by her. just check her other episodes. traditional chinese bacon doesnt use preservative at all. just strong liquor and salt.....lots of salt...then smoke and sun dry.,@w4ld0emers0n否.....中国培根被她养活。只需检查她的其他情节即可。传统的中国培根根本不使用防腐剂。只是浓的酒和盐.....大量盐...然后烟气干燥。
18462,Ugx_6yBpjTMVexlpwQ54AaABAg,38,3 years ago,"occasionally speaking, a strong hometown accent, girl, i am proud of you. her grandma looks very happy",偶尔开口说话，浓浓的家乡口音，姑娘，我很为你骄傲。她奶奶过得很开心的样子
31520,Ugzm7QU5hMp7O0Qqlq54AaABAg,37,3 years ago,this sweet lil angel is always on the go be it cooking making furniture what ever she's very strong and sempley gorgeous its always a pleasure watching her,这个甜美的小天使总是在旅途中，无论是在做家具，她都很坚强和柔和的华丽，它总是很高兴看着她
33733,UgztOIkTepGJIhCTZqZ4AaABAg,20,3 years ago,liziqi be like i need no man!!...one women army....super strong super beautiful,liziqi就像我不需要男人！！ ...一支女子军队....超强超级美丽
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
