,cid,votes,含garden,含garden中文翻译
23909,UgxSRPUmXiMhJGMBSzt4AaABAg,334,"her: eating fresh food from the garden
me:eating doritos on my couch","她：从花园里吃新鲜食物
我：在我的沙发上吃doritos"
36906,Ugys5HUZ3Qn6uKkPGj14AaABAg,318,"seeing her makes me want to go to my village and live on my own...making small house ..gardening,farming๐’๐’๐’๐’",看到她让我想去我的村庄独自生活...制作小房子..守夜，耕种
1766,Ugxx_UFKQg4oB36qtSN4AaABAg,310,everyone who watches these equally loves her couldn’t we all get along and be friends no matter what country you are from and we could grow our beautiful gardens like liziqi,每个同样爱她的人都无法相处并成为朋友，无论您来自哪个国家，我们都可以像Liziqi一样种植美丽的花园
12995,UgwcbgECnovACeF3dcx4AaABAg,308,plz make a video on your garden tour.. i am very interested to see your garden.. plz. hit like if u agree guy's,请在您的花园之旅中制作视频。.我很想看到您的花园。如果你同意盖伊的
33752,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vNe7HuTsdV,282,i actually thought this was the garden of eden!,我实际上以为这是伊甸园！
24336,UgyQAMmANW_77J2u1xt4AaABAg,216,didn't god kick everybody out of the garden of eden? how this woman finds her way to the garden. ๐ค”,上帝不是把所有人都踢出伊甸园吗？这个女人如何找到前往花园的方式。
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
47153,UgwRgCDaUhzvBuYPQjp4AaABAg,73,"all plants growing and well maintained,,, all delicious fruits gained easily,,,surrounding by happy puppies ... you are living in heavenly garden",所有生长且维护良好的植物，所有美味的水果都很容易获得，周围是幸福的小狗……您住在天上的花园里
29350,UgyODrZo9cGrHXSsfk14AaABAg,53,"too strong, the bailuo garden of xanadu and the craftsmanship and aesthetics of the female lead, the original tools and the methods of gourmet shooting have been circulating in ancient times. we seem to be a parallel line that lives in the same space.",太强了，世外桃源的百果园加上女主内外的手艺与美感，原始的工具与古代流传至今美食拍摄的手法，犹如时间倒流回几千年历史的乡间民家。我们像是生活在同一空间的两条时间的平行线，
44672,Ugx0euFOHdseCJzRKtN4AaABAg,36,"do you live in a garden of eden? make room for me, i'm coming",你住在伊甸园吗？为我腾出空间，我要来
2505,UgzFi44Jx2eoY8Gtgh94AaABAg,25,i’d love to have a area to have the access to fruit/veggies and vegetation that she does. gardening brings me such joy.,我很想有一个可以进入她所做的水果/蔬菜和植被的区域。园艺给我带来了如此快乐。
49802,UgxhRsxXcbWkdxhXGTp4AaABAg,23,please make a video of your garden view,请制作您的花园视图的视频
17548,UgyAwTFGRCIsFEBJazh4AaABAg,21,"you have a beautiful life with your grandmother. homely clean surroundings, serene atmospheres, picturesque gardens, well-managed fields of crops, handmade crafts, etc. you are in heaven and you are so lucky. 
others are stuck in towns or cities laden with daily problems like, pollutions, litter, crimes, slums, vandalism, etc.","您和祖母过着美好的生活。家常清洁的环境，宁静的气氛，风景如画的花园，管理良好的农作物，手工制作的工艺品等。您在天堂，很幸运。
其他人则被困在每日问题，例如污染，垃圾，犯罪，贫民窟，故意破坏等的城镇中。"
