,cid,votes,time,含wonderful,含wonderful中文翻译
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,4 years ago,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
43639,UgwTc_fI7gQHGRqoV-F4AaABAg,429,4 years ago,is this heaven ?? wanna go there. what a wonderful life.,这是天堂吗？想去那里。多么美好的生活。
18728,UgyJG2fKVoOMMVW2Pmt4AaABAg,178,3 years ago,"the way she loves and cares for her grandma is so wonderful, this girl is a true treasure !❤️",她喜欢和关心祖母的方式是如此美妙，这个女孩是一个真正的宝藏！❤️
1653,UgxpCNf78P4NrPxdAlF4AaABAg,129,1 year ago,wonderful woman. imagine a job so happy living your normal life and get paid so well,了不起的女人。想象一份工作如此快乐，过着自己的正常生活，并获得良好的薪水
49725,UgwYmNRBOuu1iRDmVBF4AaABAg,118,4 years ago,dear god! the amount of work this beautiful woman does is insane!! and with such finesse too... it's wonderful to see her share the fruits of her hardwork with her grandmother...,亲爱的上帝！这个美丽的女人做的工作数量太疯狂了！！而且也这样的技巧……很高兴看到她与祖母分享辛勤工作的果实...
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,4 years ago,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
45866,UgxVK8SbphPNjXXksal4AaABAg,84,4 years ago,"they live in an enchanted kingdom and i wonder if they even know it!? what a wonderful video to transport me into that place full of traditions, and old ways and all the smells, tastes, and warm feelings. thank you so much for the video. it is a treasure!",他们生活在一个迷人的王国中，我想知道他们是否知道！将我带入充满传统，古老的方式以及所有气味，品味和温暖的感觉的地方真是一个很棒的视频。非常感谢您的视频。这是宝藏！
12982,UgzkSMBnaPYBcYc26id4AaABAg,75,2 years ago,"sixty years i have lived on this earth, and this beautiful human being has accumulated & demonstrated more wisdom and knowledge in her young years than i have in my entire lifetime.
i kneel before you humbled, li ziqi. you are amazing.

you are exactly what we should all aspire to be like. i wish you a long and wonderful life, and may the gods reward you and your generations to come.","我已经生活在地球上了六十年，这个美丽的人在她的年轻时代积累并展现了比我一生中更多的智慧和知识。
李齐（Li Ziqi），我跪下来。你很棒。

你们正是我们都应该渴望的。祝您悠久而美好的生活，并愿众神奖励您和您的几代人。"
51674,Ugyx6yeEdaRcvabmfnF4AaABAg,71,4 years ago,"your a good cook, good baker, nice architect, wonderful craft worker.... awesome",您是一个好厨师，好面包师，漂亮的建筑师，出色的手工艺工人....很棒
42750,UgyFDTHkxmNs3fuKMyF4AaABAg,67,4 years ago,"breathtaking videos ,wonderfull way of living ,i want to live there",令人叹为观止的视频，美妙的生活方式，我想住在那里
39990,UgzRg2duHRyigXtfcDl4AaABAg,67,4 years ago (edited),loved this video! ms. li and her grandma and uncle are adorable! she's a very hard working woman. these videos should get more likes and no dislikes. wonderful and warming videoโค,喜欢这个视频！李女士和她的祖母和叔叔很可爱！她是一个非常努力的女人。这些视频应该得到更多的喜好，而不喜欢。精彩而温暖的视频❤
29927,Ugzqygpa7z5-mKY8azh4AaABAg,63,3 years ago,"i really love the nature around you so much, wonderful girl

wish you good health!","我真的很喜欢你周围的大自然，很棒的女孩

祝你身体健康！"
16845,Ugye3sesHYiU8p75_dd4AaABAg,50,3 years ago (edited),"this life is commendable for innumerable reasons. it is self-sustainable (which is something we can only wish we had), there are healthy and nutritious food options provided by nature's bounty, there is little to no need of harmful chemical-based products, and more importantly all the members of the ecosystem are benefitted. i hope people realize just how wonderful living like this is.",由于无数的原因，这一生活值得称赞。它是自我维持的（这是我们只希望拥有的东西），有自然的赏金提供的健康且营养的食物选择，几乎不需要有害化学物质的产品，更重要的是所有成员生态系统受益。我希望人们意识到这样的生活多么美好。
47829,UgxzMiKny8M3HW1inYZ4AaABAg,45,4 years ago,wonderful! happy new year from australia,精彩的！澳大利亚新年快乐
28607,Ugz91dzCjK4JapBYOC94AaABAg,44,3 years ago,"we must all give thanks to the cameraman, his work is wonderful. god bless ๐ค—๐ค—๐ค—๐ค—๐ค—๐ค—",我们都必须感谢摄影师，他的工作很棒。上帝保佑
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,3 years ago,"i'm from china, and i'm proud of liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also i miss my grandmother so much. chinese always love peace and hardworking from time immemorial . welcome every friends to visit china.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
18128,UgyKM3U0u1XGiTGefNd4AaABAg,37,3 years ago,"i look not looking up, as if in wonderful meditation ...
whoever looks from russia - hello everyone!","我看着没有抬头，好像在精彩的冥想中...
谁来自俄罗斯 - 大家好！"
48548,UgxSQbKgZJWsaC1E9nJ4AaABAg,29,4 years ago,"a 10 minute video from li ziqi, a wonderful day!",来自李齐（Li Ziqi）的10分钟视频，美好的一天！
33231,UgxfCdb2HYneTKr33Xx4AaABAg,20,4 years ago,"such wonderful life she have, nature and everything natural , no chemicals and pollution and messy in the street with stressful life ๐ข๐ข๐ข",她拥有如此美好的生活，自然和一切自然，没有化学物质，污染和凌乱的生活，充满压力
38041,UgwNz57LmVDeT1qu-RJ4AaABAg,19,4 years ago,"nice life
it looks like a story!
the food looks delicious, but the small items used are wonderful.
cat -shaped kamado, i laughed too cuteness lol","美好的生活
看起来像个故事！
食物看起来很美味，但是所使用的小物品很棒。
猫形的卡马多，我笑了太可爱大声笑"
38541,Ugx1P89G_Bd-0LVKkF54AaABAg,19,4 years ago (edited),"when i watch your videos i feel peaceful, you are a wonderful human being and depending on what i saw, i think you are really talented and experienced in such young age .
amazing .","当我观看您的视频时，我会感到和平，您是一个很棒的人，根据我所看到的，我认为您在如此年轻的时候就非常有才华和经验丰富。
惊人的 。"
30158,Ugyaxtud1qUg1J1622F4AaABAg,17,3 years ago,i have never ever saw this kind of a youtube channel. this is so amazing and i just can't stop watching. keep making such a wonderful videos.,我从未见过这种YouTube频道。这真是太神奇了，我只是不能停止观看。继续制作如此精彩的视频。
26976,UgwVg0poytupomjwnFh4AaABAg,16,3 years ago,what a world feeling ... wonderful.,真是个世界的感觉...很棒。
29816,UgygIa79VU2vgKBzdyd4AaABAg.8xTvD0vzAJp8yCXW2GGBB4,13,3 years ago,"i even had my tears in my eyes witnessing such a wonderful thing, found myself being excited too when the first time i see how they make popcorn never know the machine before.",我的眼睛什至泪流满面，目睹了这么美好的事物，当我第一次看到它们使爆米花以前从不知道机器时，也发现自己也感到兴奋。
235,UgxbcTEnmDwXY0p_B2B4AaABAg,12,1 month ago,i thank the channel for showing me the wonderful life ❤❤❤❤,我感谢频道向我展示美好的生活❤❤❤❤
53101,UgxiSc8wLJll1ZpbyBl4AaABAg,10,4 years ago,wonderful,精彩的
43826,UgyyYaGX1DO6tWuKHHt4AaABAg,9,4 years ago,wonderful girl,很棒的女孩
31203,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8wXRiI9hCF6,9,3 years ago,she's wonderful in any country!,她在任何国家都很棒！
39977,UgzqtRde9K0jmUT0jgd4AaABAg,8,4 years ago,"wow! young lady with amazing skill and hard working. this is part of wonderful chinese culture , thank you ๐",哇！年轻女士的技巧和努力工作。这是奇妙的中国文化的一部分，谢谢
47235,UgyO9ZlU2um3yhqcd2l4AaABAg,8,4 years ago,how rich it looks like it gives me your life is wonderful everything you do congratulations and a lot of prosperity,它看起来有多富裕，使我的生活真是美好
3127,UgxznqNRRFDdKcIFUQh4AaABAg,8,1 year ago,your dishes look absolutely wonderful! enjoy watching you cook exotic foods. ty for sharing!,您的菜看起来绝对很棒！喜欢看着你煮奇特的食物。分享！
32601,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8vu61ZRRRMr,8,4 years ago,@zazuonezhan3422 wonderful!,@Zazuonezhan3422很棒！
19806,UgyGL14Zbr9JtbZdqxV4AaABAg,8,3 years ago,this video was so peaceful to me. it brought back memories of my grandmother teaching to cook all her wonderful meals. i miss her everyday. you are such an amazing young lady i know your family is so proud of you..,这个视频对我来说是如此宁静。它带回了我祖母教的回忆，以烹饪她所有美味的饭菜。我每天都想念她。你真是个了不起的小姐，我知道你的家人为你感到骄傲。
7092,UgwxvShUzgmMWfhxelF4AaABAg,7,2 years ago,"our families watch this clip together even we live in different countries. we agree that watching her life story allowing us to gain more understand of chinese nowadays in china which is different from what we learned in schools in western countries. (better thank listen to any formal ambassador)
this is heaven on earth that we want to have an opportunity just at least once in our lives to have such direct experiences like ziqi. 
thank you for sharing many things with us. also thank to her cameraman & assistant who is also her cousin, min guo for being with her to create many wonderful videos.","即使我们住在不同的国家，我们的家人也会一起观看这个剪辑。我们同意，看着她的人生故事使我们能够对中国的中国人有更多的了解，这与我们在西方国家中学到的东西不同。 （最好谢谢听任何正式大使）
这是地球上的天堂，我们希望在生活中至少有一次机会拥有像Ziqi这样的直接经历。
感谢您与我们分享很多东西。还要感谢她的摄影师和助手，她也是她的堂兄，明尼·郭（Min Guo）与她一起制作了许多精彩的视频。"
46647,UgznRayRv0aCLiZInI54AaABAg,7,4 years ago,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
26276,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-ALgImtB9X,7,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
48041,UgznQfkm2eJgbONWqB54AaABAg,7,4 years ago (edited),this woman is extraordinary. i just love her loving spirit coupled with her incredible ability. it's wonderful to watch her create extraordinary culinary delights from scratch.,这个女人很非凡。我只是爱她爱的精神，再加上她令人难以置信的能力。看到她从头开始创造出非凡的烹饪美食真是太好了。
31540,UgxvHDqqoeSZMPR8CjB4AaABAg,7,4 years ago,"its so adorable how she wrapped the treats in the little papers while sneaking a bite of everythingโ€”so wonderfully youthful and wholesome.

i also get the feeling her grandmother has a sweet tooth lmao","她如何将零食包裹在小论文中，同时偷偷咬了一口，真是太可爱了 - 如此年轻和健康。

我也感觉到她的祖母有一个爱吃甜食的lmao"
30835,UgxWBeeRnHLq9qR0LHN4AaABAg,7,3 years ago,"while i am watching this i feel very calm and relaxed and also hungry.. this lady is very industrious, she is like an ant who works all day.. i also love their place, it's very simple yet very wonderful and serene place where you can relax.. i want to go there.. =)",当我看着这个时，我感到非常镇定和放松和饥饿。可以放松..我想去那里.. =）
33403,Ugyl_AsY6ed9nS8Q4Rd4AaABAg,6,4 years ago,macha allah is very beautiful and a wonderful life better than electronic life,马赫·阿拉（Macha Allah）非常美丽，美好的生活比电子生活更好
26982,Ugx92cvEwSWHWO46wfN4AaABAg,6,3 years ago,"just wow
it is like anime movie in a real life๐
everything is so beautiful,calm,so amazing and so so sooo ........have no words,just wonderfullโค","哇
就像真实生活中的动漫电影
一切都是如此美丽，镇定，如此惊人和如此如此的太好........没有言语，只是很棒"
25909,Ugw5j9-EmzKg-H7F1fF4AaABAg,6,3 years ago,"you are really a wonderful woman, i watched your video for the first time! the photographer's actor and the whole process are very good ๐‘",你真乃一奇女子耶，我第一次看你视频！拍摄者出演者以及整个过程都很好
39938,Ugy5FhMH24Xm_EnqmDx4AaABAg,6,4 years ago,what a wonderful video; i feel like it's there ... it seems to be so wonderful ๐’๐’ one day i hope to go to this beautiful place ๐ง๐ทโฃ๐จ๐ณโฃ๐ฏ๐ตโฃ๐ฐ๐ท,多么美妙的视频；我觉得它在那里...似乎很棒
27863,UgyDtBO-5tUzGkNCiZZ4AaABAg,6,3 years ago,i was hooked on reezoo's video. the music is also wonderful ๐ถ,我迷上了Reezoo的视频。音乐也很棒
39942,Ugz9keDm7kuWfSo_fLJ4AaABAg,5,4 years ago (edited),wonderful ... you have art in your hands ... and you beautiful and harmonious home makes everything more perfect! from argentina a strong hug โค๐ฆ๐ท,很棒...您手中有艺术...您美丽而和谐的家使一切都变得更加完美！来自阿根廷一个强烈的拥抱❤
40608,UgyRFw5Z9-CRQalUs894AaABAg,5,4 years ago,the most beautiful channel i saw in my life is very useful and wonderful,我一生中看到的最美丽的频道非常有用和美妙
18664,UgwXLmOP4e4YHuc-_WJ4AaABAg,5,3 years ago,"i love all of your videos, but this one makes me feel especially joyful. it reminds me of my grandmother, we called her nanny (very common here in the southern united states) making candied apples just like you did, and she would make caramels and rice krispy treats, and we would always have a box or two of citrus fruits from florida. that is the southernmost state in the united states and it has a subtropical climate so it grows the best fruits especially citrus. and every year over christmas holidays when we got out of school, we would always have all of those wonderful treats. i grew up on a 30 acre farm in rural south carolina in the southern part of the united states. we did not have a lot of money, but we always had wonderful home grown and home raised food like you liziqi, only we could not grow all of the things you grow there in the mountains, it was way too hot and humid in the southern united states. many days in the summer, it gets over 100 degrees fahrenheit which is over 37.7 celsius, and the humidity is always in the high 80's and 90's in the summer, sometimes it is 100% humidity and it can go over 100 degrees like 105-110 which is 40.5-43.3 celsius.",我喜欢您所有的视频，但是这让我感到特别快乐。这让我想起了我的祖母，我们称她的保姆（在美国南部很普遍）像您一样制作蜜饯的苹果，她会做焦糖和米饭krispy的零食，我们总是会有一个或两个盒子的柑橘盒来自佛罗里达的水果。那是美国最南端的州，它具有亚热带的气候，因此它可以种植最好的水果，尤其是柑橘。在圣诞节假期的每一年，当我们辍学时，我们将永远拥有所有这些美好的款待。我在美国南部南卡罗来纳州农村一个30英亩的农场长大。我们没有很多钱，但是我们总是有美好的家园，像您这样的家园里饲养了食物，只有我们无法在山上种植所有的东西，它在南部太热又潮湿了美国。夏季的许多天，它的华氏度超过100摄氏度，超过37.7摄氏度，夏季始终处于夏季的80和90摄氏度，有时是100％的湿度，它的湿度可能超过100度，例如105-110摄氏度。是40.5-43.3摄氏。
951,Ugz6hUNcFopJSDhQckp4AaABAg,5,7 months ago (edited),"you and your vision, style, taste and work are so wonderful. a beautiful feast for all the sensesโฃ๏ธ",您和您的视野，风格，品味和工作真是太好了。一个美丽的盛宴，适合所有感官❣️
31490,Ugx8kihtAAYbCdlQ_IF4AaABAg,5,4 years ago,"only can say
what a wonderful world...","只能说
世界多么精彩..."
23325,UgxigyQcm-WglS16ZEd4AaABAg,5,3 years ago,"there are dreams in our life that are shining by different way.
there are dreams in life, each of which is wonderful","there are dreams in our life that are shining by different way.
人生有梦，各自精彩"
25626,UgzbNn3j-kEHrVB-pPJ4AaABAg,4,3 years ago,these are some of the most amazing and wonderful videos i have ever watched.,这些是我看过的一些最神奇，最精彩的视频。
13016,Ugy3RHHaoI21x8KH6tR4AaABAg,4,2 years ago,it looks like a wonderful woman appearing in ghibli ...,看起来像一个出现在吉卜力的好女人...
25749,UgyId0RtnGwV9WLKPNV4AaABAg,4,3 years ago,"i think this is my favourite video you have made. it reminds me that even though life is hard.. the happiness lies in the simple things. like shared treats and memories, laughter as you show grandma the candy hawthorn .. your grandma sure loves you. you are a wonderful person with a good heart and i support you and pray for your blessings in all forms .. with love from. canada ๐จ๐ฆ",我认为这是您制作的我最喜欢的视频。它提醒我，即使生活很艰难。幸福在于简单的事情。就像共享的零食和回忆一样，当您向奶奶霍桑（Candy Hawthorn）展示时，笑声。你是一个有良好心的好人，我支持你，并以各种形式的祝福祈祷。加拿大
45354,UgxBid2WCKIpkQKwsjt4AaABAg,4,4 years ago,wonderful wonderful,太好了
21575,Ugy61tivkCjWJbXuoHt4AaABAg,4,3 years ago,such a wonderful girl we all have admire her work.,如此出色的女孩，我们都欣赏她的工作。
18153,UgxcydpZg53qGZp6ug14AaABAg,4,3 years ago,i love this video most among liziqi's wonderful videos ♡,我最喜欢Liziqi的精彩视频中的视频♡
4024,Ugz1RATowAR2gDQp3ZJ4AaABAg,3,1 year ago,it's so delicous! also want to eat delicious dishes you cook and enjoy the scenery here. how wonderful!,太美味了！还想吃您烹饪的美味菜，并在这里欣赏风景。多么美妙！
26309,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy908mXnwcnMf,3,3 years ago,thats wonderful!!!! please keep on doing your best even if its little by little! even if i dont know you please know a random persom on the internet cares about you! keep going!!!! never giveup!!!,那好极了！！！！即使一点一点一点地，请继续尽力而为！即使我不知道您，请在互联网上知道一个随机的镜头！继续前进！！！！永不放弃！！！
9810,UgxQ3cgn0vmiMs4vGFZ4AaABAg,3,2 years ago,"good morning. how wonderful. i love that life, i love nature, i love the countryside, i love your grandparents, i love you, i love all the people around you, i love animals, in short, i love everything you do",早上好。多么美妙。我爱那种生活，我爱大自然，我爱乡村，我爱你的祖父母，我爱你，我爱你周围的所有人，我爱动物，简而言之，我爱你所做的一切
38179,UgwSit0PDbvMnU3tayJ4AaABAg.8tdcARzaCn08trm_Jax2FE,3,4 years ago,"yes, a wonderful life far away from noise, waste, pollution...
everything is green!
the air is fresh!
i like such a fairytale!
hope that we will live in such wonderland one day!","是的，远离噪音，浪费，污染的美好生活...
一切都是绿色的！
空气新鲜！
我喜欢这样的童话！
希望我们有一天能住在这样的仙境！"
2544,UgwQCoDIp2pXgX29kLB4AaABAg,3,1 year ago,wonderful and beautiful,美妙而美丽
7546,UgwcAm4iOXVRSpbUYRJ4AaABAg,3,2 years ago,"wow what wonderful, i was delighted.
i would like to know that big fruit is that one that took from the tree.","哇，真是太好了，我很高兴。
我想知道那是从树上拿走的大果。"
4837,UgyLJhjWJOhBN1rnREZ4AaABAg,3,1 year ago,girl you're awesome you did a great work keep going on may your get a wonderful success,你真棒的女孩，你做了一件很棒的工作，继续进行，愿你取得奇妙的成功
38117,UgzV3YOw8RXt5tcIy7J4AaABAg,3,4 years ago,"wonderful, surprising culture! ilike",美妙，令人惊讶的文化！我喜欢
33591,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r29-ALZGVL7np,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
5769,UgzmNZReRc-yYrAzpv54AaABAg,3,2 years ago,"beautiful and professional videos! every video is a beautiful story, thank you so much for your work, by sharing with us and inspiring so many people! i wish if there would be translation or any english subtitles to the dishes you cook! they look so delicious! what a wonderful place you live in and i admire your strong personality and yet so artistic, hardworking! best wishes for you and your family",美丽而专业的视频！每个视频都是一个美丽的故事，非常感谢您与我们分享并激发了很多人，非常感谢您的工作！我希望您烹饪的菜肴是否会翻译或任何英文字幕！他们看起来很美味！您居住的地方真是一个很棒的地方，我欣赏您强大的个性，但如此艺术，勤奋！祝您和您的家人最良好的祝愿
27247,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-ALeRnaC-V,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
22593,UgzH4Xez5u1I2A2vESJ4AaABAg,3,3 years ago,how someone can be so perfect? like wonderful fairy tale),有人怎么这么完美？像奇妙的童话故事）
3618,UgzFscPGSEyqUTdYngt4AaABAg,3,1 year ago (edited),"thank you for the wonderful video. ^_^
when i was little, i read in some article that i had a hard time.
but now i have become such a wonderful woman. ✨
thanks to the grandfather and the grandmother. surely.
it is always healed.","谢谢您的精彩视频。 ^_^
小时候，我在一篇文章中读到我很难。
但是现在我已经变成了一个很棒的女人。 ✨
感谢祖父和祖母。一定。
它总是被治愈。"
43344,UgxylvOA7yK-yug573R4AaABAg,2,4 years ago,"wonderful video you are a very diligent woman, all your products look delicious, i entrust all my respects to you.",精彩视频你是一个非常勤奋的女人，你所有的产品看起来都很美味，我把所有的敬意都委托给你。
2955,UgxD7F9KyfkABgJfcJR4AaABAg,2,1 year ago,thank you for the video! you and your operator are just wonderful! i am very glad that now i know you.,谢谢您的视频！您和您的操作员很棒！我很高兴现在我认识你。
49193,UgzZ9oyj8LQwJQxAtGl4AaABAg,2,4 years ago,i really admire you you make wonderful videos colors incredibly you are very good thumbs up of greek,我真的很佩服您，您制作了精美的视频颜色，您非常拇指希腊
13165,Ugy6RB7BLcRK5LIGZKd4AaABAg,2,2 years ago,wonderful!,好棒啊！
25696,Ugy6RKxBfIBxOuWcg9B4AaABAg.9-5cTrMPiM29-ALhslcmCV,2,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
48577,UgxMWpP3ivDO-dYSvIZ4AaABAg,2,4 years ago,"season's greetings
food and sweets, not the most wonderful","季节的问候
食物和糖果，不是最美妙的"
13038,UgycyTPtT7cD70YCnWl4AaABAg,2,2 years ago,i find that she ran her story with a madness and her life is wonderful and showed her with the cooking and the work that she used to do with what god willing.,我发现她疯狂地播放了自己的故事，她的生活也很棒，而且她在烹饪以及她过去与上帝愿意做的工作非常艰难。
36912,UgxpA159fDl9K_EzTex4AaABAg,2,4 years ago,"this life is so peaceful and beautiful. i know iโ€m not cut out for it though, i could never survive. but watching this makes me feel at peace and itโ€s wonderful.",这种生活是如此和平与美丽。我知道我没有为此削减，我永远无法生存。但是看着这让我感到和平，这很棒。
23858,UgxbGSAkJP-i90PUbvR4AaABAg,2,3 years ago,i told my son that i wish she were my daughter! absolutely wonderful!,我告诉我儿子，我希望她是我的女儿！绝对很棒！
43675,UgxmzWi-Smlo518ei0R4AaABAg,2,4 years ago,congratulations on this very beautiful video. your culture is simply wonderful.,恭喜这个非常漂亮的视频。您的文化真是太好了。
