,cid,votes,time,含fresh,含fresh中文翻译
23909,UgxSRPUmXiMhJGMBSzt4AaABAg,334,3 years ago,"her: eating fresh food from the garden
me:eating doritos on my couch","她：从花园里吃新鲜食物
我：在我的沙发上吃doritos"
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,4 years ago,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
41678,UgyjXRHd_c73BsIuVoR4AaABAg,191,4 years ago,"wow, you really live in the heaven! the heaven of fresh fruits!",哇，你真的住在天堂！新鲜水果的天堂！
9906,UgxTT8TjCL4qHp9O4nR4AaABAg,179,2 years ago,"never bored , never tired , never afraid , always beautyful , fresh and calm , is she an e t ??? !",从来没有无聊，从不累，从不害怕，总是美丽，新鲜和平静，她是一个e t ？？？呢
14591,UgyL8ZC4sr-CLXxfCap4AaABAg,151,2 years ago,"hawthorn red, apple round, rock sugar gourd in a string. sesame crispy, malt sweet, peanut sugar is full.
the chestnut fragrance, the mango fresh, the pot in the pot, baked a few times. strawberry jujube slices of small biscuits, snowflake crispy cakes are rampant.
stewed meat, sprinkled with salt and pepper, spicy hand tearing beef jerky. covering your ears, jumping joyfully, popcorn, the sound of popcorn reported peace.
gourd seeds, peanuts, crispy egg roll chopsticks. grapefruit fragrance, sweet orange, mango pouring honey is warm.
carefully packaged over and over again, happy and happy ~ new ~ year!","山楂红，苹果圆，冰糖葫芦一串串。 芝麻脆，麦芽甜，花生软糖装满盘。 
板栗香，芒果鲜，锅盖窑里烤几番。 草莓枣片小饼干，雪花酥糕惹人馋。 
肉炖软，撒椒盐，麻辣手撕牛肉干。 捂耳叫，跳得欢，爆米花声报平安。 
瓜子翻，花生掀，香酥蛋卷筷子转。 柚子香，桔子甜，芒果淋蜜显温暖。 
精心包装一遍遍，快快乐乐迎～新～年！"
16292,Ugyl6BAyt6f-kggeWyh4AaABAg,67,3 years ago,"hawthorn red, apple round, rock sugar gourd in a string. peanuts are crispy, sweet sugar, a large plate of sesame soft sugar.
the chestnut fragrance, mango fresh, baked several times in the lid kiln. plum preserved dates, small biscuits, snowflake crispy cakes are rampant.
the meat piece, the big pot, the spicy hand tear the beef jerky. rice white, corn yellow, popcorn sounds safely.
fry the seeds, peanuts, and crispy egg rolls. grapefruit fragrance, sweet orange, ice cream honey is warm.
the new year's bags are piled into a mountain, and the packaging is new ~ big ~ year!

on this early summer night, ziyi's video made me relive my childhood new year. essence essence","山楂红，苹果圆，冰糖葫芦一串串。花生脆，冰糖甜，芝麻软糖一大盘。
板栗香，芒果鲜，锅盖窑里烤几遍。梅脯枣片小饼干，雪花酥糕惹人馋。
肉块方，大锅圆，麻辣手撕牛肉干。大米白，玉米黄，爆米花声报平安。
瓜子炒，花生翻，香酥蛋卷摆满盘。柚子香，桔子甜，冰淇淋蜜好温暖。
年货袋袋堆成山，包装一新迎～大～年！

在这个初夏的夜晚，子柒的视频再次让我重温了一下小时候的过年。。。"
43781,UgyyBm-8_ZYK8anhOLN4AaABAg,64,4 years ago,is this real? i mean she has everything fresh. it is too good to be true and im sure they have production crews. i mean come on camera man are sure everywhere!,这是真的吗？我的意思是她有新鲜的一切。真是太好了，我确定他们有生产人员。我的意思是，摄影师肯定到处都是！
48335,UgzNachsIUghyMWqZHt4AaABAg,53,4 years ago,the smell of fresh made egg rolls and nut crunch! it's chinese new year for sure. happy chinese new year to everyone and may everyone have good fortune and prosperity in the year ahead,新鲜制成的鸡蛋卷和坚果紧缩的气味！肯定是农历新年。每个人都祝大家新年快乐，愿每个人在即将到来的一年都有好运和繁荣！
33765,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vlpwEtdTbo,49,4 years ago,"she eats everything fresh like literally fresh right from trees ๐ญ
i want to live like this","她吃了新鲜的东西，就像从树上从树木上真正新鲜吃
我想这样生活"
4138,UgwFwTgWme_yL7LQ6tR4AaABAg,47,1 year ago,"if i can live with here, my age probably be over 100 years! i love the nature around her home... especially the natural and fresh foods. good luck for you!",如果我能在这里生活，我的年龄可能超过100年！我喜欢她家周围的大自然……尤其是天然和新鲜食品。祝你好运！
