,cid,votes,含house,含house中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
28531,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yfhKmZypkM,208,"hey guys, to 'she has nothing to do' i want to explain for ziqi, she does public benefit very long time, let alone not to mention how much housework she does(plant vege, fruit...), she joys us by her videos and that isn't a easy thing to make such video.",大家好，我想为Ziqi解释“她无关”她的视频，制作这样的视频并不是一件容易的事。
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
6573,UgyJYKtGZcL-3TvQYDt4AaABAg,72,"the house is nice and i want to live there. delicious food...every time i see it, i admire it.๐‘๐‘๐””๐",房子很好，我想住在那里。美味的食物...每次看到它，我都很佩服。
23871,UgzZVcvWTukScwqK20t4AaABAg,57,"love the house,garden,everything including the puppy...",爱房子，花园，包括小狗在内的一切...
32429,UgzhVvf8IS0q-PEU9954AaABAg,54,"i ever once put chilli in the fire, then i made the entire people in the house sneezing",我曾经把辣椒放在火上，然后我让整个人都打喷嚏
25907,Ugwwm1OnvPfUP_o1FNR4AaABAg,44,"grump in the house!

oh wow this is amazing and so beautifully shot. that woman is very pretty too.","在屋子里脾气暴躁！

哦，哇，这真是太神奇了，很漂亮。那个女人也很漂亮。"
21758,Ugy9dqXp8LnX4nH-tM94AaABAg,38,she has every kind of vegetables in her house..,她的房子里有各种蔬菜。
27336,Ugy98sOwqzBFNiI1K014AaABAg,28,"hello i'm from indonesia, and l like your content because its very traditional and look so beautiful flores, your very creatif and smart women and then my hobby is cooking and eat hehe so i very like your cooking with fresh vegetable and fruit 
i wish i had vegetable and fruit plants in my house too","您好，我来自印度尼西亚，我喜欢您的内容，因为它非常传统，看起来很漂亮，您非常有创造力和聪明的女人，然后我的爱好是烹饪和吃饭，所以我非常喜欢您用新鲜的蔬菜和水果
我希望我家里也有蔬菜和水果植物"
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
