,cid,votes,含grandma,含grandma中文翻译
30187,UgxlD7F4LIADR8nw3Xx4AaABAg,15000,everytime she uploads im just glad i get to see that grandma is well,每次她上传我都很高兴我看到奶奶很好
19925,Ugy64b8Tc-CR9fv_DdR4AaABAg,807,why are there 10k dislikes ..like people her videos are extremely aesthetic and calming and a lot of effort is required for these videos and she's feeding her grandma and giving us amazing content. why would you dislike this :(,为什么有10k的不喜欢。就像她的视频非常美观和平静，这些视频需要付出很多努力，她正在喂奶，并给我们提供了惊人的内容。你为什么不喜欢这个:(
5586,UgzY48n0KHW0jKBksbh4AaABAg,649,her grandma must be the happiest old lady in the world.,她的祖母一定是世界上最幸福的老太太。
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
2668,UgyyYChth_3diDSbnRh4AaABAg,598,"she's really an amazing woman, her grandma is lucky to have her by her side.",她真的是一个了不起的女人，她的奶奶很幸运能在她的身边。
30204,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yWN4j3oZfk,519,her grandma is the lucky person in the world,她的祖母是世界上幸运的人
30205,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yWOhtsP-mP,480,yeah seeing the grandma going strong is a charm in her videos,是的，看到奶奶变得强壮是她的视频中的魅力
30210,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yXhSJ6jIK1,458,"grandma is her biological grandma, but her adoptive mother somehow. ziqi lost her mother at very young age and step mother did not treat her well. then ziqi lost her father and her grandparents raised her up. ziqi said in a chinese variety show, she could have died without her grandparents. therefore, she has very strong bond with her grandparents.",奶奶是她的生物奶奶，但她的收养母亲以某种方式。 Ziqi很小的时候就失去了母亲，而继母的母亲并没有很好地对待她。然后Ziqi失去了父亲，她的祖父母抚养了她。 Ziqi在中国综艺节目中说，她本可以在没有祖父母的情况下死亡。因此，她与祖父母有着非常牢固的联系。
11847,Ugxj-NWxRDsYzlG9c1V4AaABAg,327,i love seeing grandma chilling out on the shaded swing. every elderly person should have that opportunity for rest after a long life. and have lovely well prepared meals for them.,我喜欢看到奶奶在阴影的秋千上放松。每个老人都应该在长寿之后有机会休息。并为他们提供可爱的餐点。
12156,UgycBYapKu7TH6vb3Ed4AaABAg,272,"my dream is to one day have a garden where i can grow plants, flowers, herbs and food for my family. her and grandma must be so happy. all that nature around them and the nutritious food to nourish them",我的梦想是有一天有一个花园，我可以在这里为家人种植植物，鲜花，草药和食物。她和奶奶一定很高兴。他们周围的所有大自然以及营养丰富的食物以滋养它们
11099,UgwOJB9Gsj9koPkpkSF4AaABAg,218,the best part is when she’s feeding her grandma with all that cooking!,最好的部分是当她用所有烹饪喂养祖母时！
14882,UgxdzDDvqWYvCwMjbWB4AaABAg,162,the grandma is lucky to have a grandchild like her.,奶奶很幸运能拥有像她这样的孙子。
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
3950,UgwGF-mfOEwIG9tT5714AaABAg,138,grandma is so lucky! she is eating good food made with lots of love!,奶奶很幸运！她正在吃充满爱的美食！
30209,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yXQMMx3Q_a,116,"1292liam no, grandma is her grandma.",1292Liam no，奶奶是她的祖母。
11605,UgzotkfSEk4kAQrin2N4AaABAg,107,i just wish that she would invite me over for lunch some day! she is the master of natural foraging & cooking & always takes care of grandma! gotta love this woman....,我只希望她有一天会邀请我吃午饭！她是自然觅食和烹饪的主人，总是照顾奶奶！要爱这个女人....
10308,UgxPYVVjMCpHV_uEKvJ4AaABAg,96,for this diet grandma is eternal,因为这种饮食奶奶是永恒的
23434,UgzUJFsjexVHtAYIVQp4AaABAg,95,"whoever is married to this woman is one lucky dude!
she is a real artisan. 
this like what my grandma and mother used to do, everything from scratch. wonderful.","与这个女人结婚的人是一个幸运的家伙！
她是一个真正的工匠。
这就像我奶奶和母亲过去所做的一切一样，一切都从头开始。精彩的。"
22322,UgzalH_OucQr_GSfdLx4AaABAg,87,"grandma should get some respect..

somebody had to teach this girl all this stuff.","奶奶应该得到一些尊重。

有人必须教这个女孩所有这些东西。"
28346,Ugw4oagRSrnkZ2PMqUR4AaABAg,81,"love u from northeast india, kuki tribes. everything is similar with my traditional love so much i miss my grandma.",来自印度东北部的爱你，库基部落。一切都与我的传统爱相似，所以我想念我的祖母。
16588,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92vgvcgb7-B,65,her grandma,她的祖母
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,"golden melon grandma was taking care of her when she was young. what she is doing is the gratitude for the love and care received from childhood. this is a part of chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
10607,UgxXJJCLlh5MKZVn1xN4AaABAg,58,"when eating, ziyi always prepares a small bowl for grandma. essence essence but recently, grandma is not always suspected.
could it be that ziyi's food has made grandma return to old age!","吃饭时，子柒总是先给奶奶准备一小碗。。。可最近奶奶总嫌不够呢。
难道子柒的美食让奶奶返老还童了！"
30212,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yY4qUyATBU,54,"1292liam no, she called the old woman as ‘popo’, ’popo’ in english means grandma.","1292liam No,she called the old woman as ‘婆婆popo’,’婆婆popo’ in English means grandma。"
