,cid,votes,time,含simple,含simple中文翻译
32585,UgzB8g7xi9aMF1JVfs94AaABAg,5900,4 years ago,"this video is so simple, yet so beautiful. so calming. 
also, dogs.","该视频是如此简单，但如此美丽。如此平静。
另外，狗。"
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,4 years ago,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
33747,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vFGectdxIJ,3000,4 years ago,"absolutely. we live in a system created by mankind that is designed for us to become ""successful"". i ask you. being stressed, overworked, depressed is better than this simple, satisfying, honest, hardworking lifestyle?",绝对地。我们生活在人类创建的系统中，该系统旨在使我们变得“成功”。我问你。压力，劳累过度，沮丧比这种简单，令人满意，诚实，勤奋的生活方式更好？
26996,UgyUuyuyl9JkP3v5kA54AaABAg,286,3 years ago,is this the real life version of studio ghibli's ? a life so simple and beautiful nature it brought tears to my eyes t_t,这是吉卜力工作室的现实生活版吗？生活如此简单和美丽的自然，使我眼中的眼泪T_T
44690,UgxwXl_kXZZYcEnLF694AaABAg,172,4 years ago,"i am confused and mesmerized at the same time. i appreciate the simpler life. 

side note: the puppies are so cute!!!","我同时感到困惑和着迷。我感谢更简单的生活。

旁注：小狗真可爱！！！"
35010,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v0Uis9_0dM,128,4 years ago,right we are just so simple and we make life so stressful when it can be more beautiful and peaceful...,是的，我们是如此简单，当生活变得更加美丽和和平时，我们会让生活如此压力。
33258,UgzgvjcyULy8bSkeDK94AaABAg,66,4 years ago,"you remind me of my childhood, growing up in a farm with my entire family....we worked the land and ate from it....it was the simplest period of my life....",您让我想起了我的童年，与整个家庭一起在一个农场中长大。...我们从事土地并从中吃掉了。。。这是我一生中最简单的时期。
24297,UgxX3-kNRDI1OS4QRcJ4AaABAg,61,3 years ago,she just inspire everyone to live a simple but a meaningful happy life ..,她只是激励每个人过上一个简单但有意义的幸福生活。
38634,Ugye-pyhxOfrY35SrWl4AaABAg,51,4 years ago,"what a simple and delicious life, she is the definition of independent woman!",她是独立女人的定义，这真是一种简单可口的生活！
21734,UgzfHM6mRDXMF8Kz9ux4AaABAg,39,3 years ago,"woow, what's even more impressive is that she did all this while maintaining clean and fresh looking
brother at me after 5 min of simple task : hello cave man","哇，更令人印象深刻的是，她在保持干净清新的同时完成了所有这些工作
5分钟后，我对我的兄弟很简单：你好洞穴男人"
37247,UgycfL3zBI_7tmj6hnR4AaABAg,30,4 years ago,"็ณ–่‘ซ่ฆ are my favorite sweet from living in china. soooooo good, and very simple to make.",糖葫糖葫是我最喜欢的中国甜食。太好了，制作非常简单。
