,cid,votes,含culture,含culture中文翻译
19753,UgzmQ-ENkjs0c6wmtyh4AaABAg,393,I would love to visit and just be immersed into their everyday culture. These videos bring my soul so much peace and happiness.,我很想参观，只是沉浸在他们的日常文化中。这些视频给我的灵魂带来了如此多的和平与幸福。
28148,UgxV6wwjOWPppmiiUF54AaABAg,139,so happy to see that so many people in the world love Chinese traditional culture.,很高兴看到世界上有这么多人喜欢中国传统文化。
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,"I really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. It's such an exquisite thing to watch. God bless that girl and you all. Thanks for reading my comment. Have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
41123,UgzonIYreStf3b2FWBp4AaABAg,70,"Young people in contemporary China should return to their own culture. Modern Chinese young people have more than westernized, and they have reached the point of flooding. Those who have conditions must return to their parents, grandparents, and put those traditional craftsmanship. The customs, diet inheritance, these are our identity passwords, the imprint of our thousands of years of historical culture, and the foundation that we distinguished from others.",当代中国的年轻人，更多的应该回归自己的文化，现代的中国人年轻人西化有余，已经到泛滥的地步了，有条件的一定要回到自己父母，爷爷奶奶身边，把那些传统的手艺，习俗，饮食继承下来，这些都是我们的身份密码，是我们几千年历史文化的烙印，是我们区别于其他人的根本。
27811,Ugw9caR8LBdIHDxANAJ4AaABAg,64,"I have insurmountable respect and admiration for this woman. Not just from what I see in the videos, but the fact she's bringing back to new life an archaic way of doing things. Because of her I've learned a lot about culture, process and reaction. Also because of her, I've gained several new skills.",我对这个女人有无法克服的尊重和钦佩。不仅是从我在视频中看到的内容，而且她将新生活带回了新生活，这是一种古老的做事方式。由于她，我学到了很多关于文化，过程和反应的知识。另外，由于她，我获得了几种新技能。
21436,Ugx0WRbXZM6j3OugXxZ4AaABAg,62,"So proud of being a Chinese, and being immersed in such culture.",如此自豪地成为中国人，并沉浸在这种文化中。
32487,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18wBclm413Dd,56,"@ultramaryna00 so you're saying this entire channel is just an actress and instead of living a ""normal"" life she proceeds to act every single day and produces all this just for the sake of clout? right, because having a different lifestyle, upbringing, and culture is just so unheard of",@ultramaryna00，所以您要说的整个频道只是一名女演员，而不是过着“正常”的生活，而是每天都会表演并为影响力而产生所有这些生活吗？是的，因为拥有不同的生活方式，养育和文化是如此闻所未闻
45196,UgwkDPqmPWCWdXCPOo14AaABAg,55,Beautiful girl and chinese culture ❤️,美丽的女孩和中国文化❤️
48782,UgzY9XjMdZTksNhI74J4AaABAg,54,"The best Chinese culture ambassador, thousands love from Nigeria",中国最好的文化大使，来自尼日利亚的成千上万的爱
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,"Bless the Chinese New Year of the world. The New Year this year can not return to China because of the exam. Ziyi and I came from the same place. When I saw her video, I thought of her grandma, because Ziyi did something that many Sichuan women would do, passed down from generation to generation. Unfortunately, many people in the mother are unwilling to learn. They are very happy to see that young people inherit these things. In addition, I will make most of the dishes she will make. It is also what grandma taught me before I went abroad. I was afraid that I could not eat the taste of my hometown outside. I hope that young people can take the initiative to inherit the traditional culture of our Chinese nation ~ I hope to graduate soon and return to Sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
