,cid,votes,time,含traditional,含traditional中文翻译
29211,UgxcycgGm6xZj9t-Pqt4AaABAg,484,3 years ago (edited),"her videos came to my attention by my 10-year-old daughter, she loved watching her videos on youtube. now we are watching it together and we both are fascinated and awe-inspiring by her works, we are learning mandarin and this video will help us to know a little more about the traditional chinese food etc.",我10岁的女儿引起了我的注意，她喜欢在YouTube上观看视频。现在，我们正在一起观看它，我们俩都对她的作品着迷和令人敬畏，我们正在学习普通话，这段视频将帮助我们更多地了解传统的中国食品等。
30200,UgzXdzPPTN6NDtHcj2Z4AaABAg,329,3 years ago,"this video shows the most traditional way of chinese making popcorns, oh dear lord, all my childhood memories. ziqi, love you.",该视频显示了我所有童年的回忆，最传统的中国人制作爆米花的方式。 Ziqi，爱你。
50563,UgyIf9B7LC3o_ShFBdJ4AaABAg,312,4 years ago,"chinese traditional snacks for the chinese new year 


chinese sugar-coated fruit 
spicy beef jerky 
dried mango 
peanut sesame brittle 
roasted chestnuts 
popcorn 
salty sunflower seeds 
fried peanuts 
crispy fried egg roll (egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter 50g) 
snowflake crisp (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsalted butter 40g. the ratio of marshmallow, milk powder and butter is so important. the crisp will not be so hard or too soft, but chewy at the right ratio. )","春节中国传统小吃


中国糖衣的水果
辣牛肉干
干芒果
花生芝麻脆
烤栗子
爆米花
咸向日葵种子
炸花生
脆皮炸鸡蛋卷（鸡蛋液体50克，牛奶120克，普通面粉100克，蜂蜜，糖50克，玉米油/无盐黄油50克）
雪花酥脆（不粘锅：重要，棉花糖200克，奶粉130克，酸果蔓，栗子，饼干，干草莓，玉米油/无盐黄油40克。棉花糖，奶粉和黄油的比例很重要。酥脆不会如此坚硬或太软，但以正确的比例耐嚼。）"
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
28148,UgxV6wwjOWPppmiiUF54AaABAg,139,3 years ago,so happy to see that so many people in the world love chinese traditional culture.,很高兴看到世界上有这么多人喜欢中国传统文化。
49215,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmkfWvd8Yr,84,4 years ago,she is doing many things in a traditional way. for instance the black machine that she use to make the popcorn is a traditional chinese machine which is hardly seen in big cities in china. and the sugar hawthorn which is is also fabulous is a food in the memory of childhood.,她以传统方式做很多事情。例如，她用来制作爆米花的黑色机器是一种传统的中国机器，在中国的大城市几乎看不到。而且，也很棒的糖山楂是纪念童年的一种食物。
49218,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmzh1xvz7B,78,4 years ago,"@allisgoodallisbad 
sounds like she should've just used you to salt her sunflower seeds. lets say i have a pencil, but i borrowed it from someone else. does the fact the owner is different change that it's a pencil? no. so does the fact she didn't own the traditional machine for popcorn poping change the fact that's what it was? no.","@allisgoodallisbad
听起来她应该只是用你来加葵花籽。可以说我有一支铅笔，但我从别人那里借了它。所有者是一支铅笔的事实吗？不。那么，她没有拥有传统机器的爆米花爆米花的事实改变了事实吗？不。"
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,4 years ago (edited),"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
41123,UgzonIYreStf3b2FWBp4AaABAg,70,4 years ago,"young people in contemporary china should return to their own culture. modern chinese young people have more than westernized, and they have reached the point of flooding. those who have conditions must return to their parents, grandparents, and put those traditional craftsmanship. the customs, diet inheritance, these are our identity passwords, the imprint of our thousands of years of historical culture, and the foundation that we distinguished from others.",当代中国的年轻人，更多的应该回归自己的文化，现代的中国人年轻人西化有余，已经到泛滥的地步了，有条件的一定要回到自己父母，爷爷奶奶身边，把那些传统的手艺，习俗，饮食继承下来，这些都是我们的身份密码，是我们几千年历史文化的烙印，是我们区别于其他人的根本。
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,3 years ago,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
