,cid,votes,含family,含family中文翻译
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
36470,UgyvmxmPJmXATBXTYnV4AaABAg,306,"her whole family can be prop by. such a talented girl.






i love you! intersection","Her whole family can be proud of her. Such a talented girl. 






我爱你！！"
7585,UgzxlPsU44VpexDLA5F4AaABAg,133,"li ziqi, and your family, and other chinese people, happy chinese new year! this video was very amazing!",Li Ziqi，您的家人和其他中国人，新年快乐！这个视频非常了不起！
27721,UgzccLbaP8YfTilsZcF4AaABAg,117,"this is my favourite video by ziqi so far, it has such a comforting effect, reminds me of spending chinese new year at home with my family.",到目前为止，这是我最喜欢的Ziqi视频，它具有如此舒适的效果，使我想起了与家人一起度过农历新年。
50202,UgxTXDY2WzPeajjE1TV4AaABAg,76,happy chinese new year!! this video is awesome. god bless you and your family.,农历新年快乐！该视频很棒。上帝保佑你和你的家人。
33258,UgzgvjcyULy8bSkeDK94AaABAg,66,"you remind me of my childhood, growing up in a farm with my entire family....we worked the land and ate from it....it was the simplest period of my life....",您让我想起了我的童年，与整个家庭一起在一个农场中长大。...我们从事土地并从中吃掉了。。。这是我一生中最简单的时期。
33571,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28vychKOUbhG,57,"valeria blanco like how my asian family says ""one plate of food isn't enough""",瓦莱里亚·布兰科（Valeria Blanco）喜欢我的亚洲家庭如何说“一盘食物还不够”
30695,UgxdG9ru8_pgZdE6FRt4AaABAg,47,"the chinese chestnuts reminded me we have the edible sweet chestnut in england. wonder if they are the same. edit: not the same, but in the same family, and both are edible.",中国栗子提醒我，我们在英格兰有可食用的甜栗子。想知道它们是否一样。编辑：不一样，而是在同一个家庭中，两者都是可食用的。
50059,UgxvLkvJocwCYEfl_W94AaABAg,44,happy new year from germany. may you and your family be blessed with health and luck. and may your hard work bring you prosperity. your videos are always so relaxing and help to calm down in this stressfull days.,来自德国的新年快乐。愿您和您的家人拥有健康和运气。愿您的辛勤工作带给您繁荣。您的视频总是如此放松，并有助于在这种压力的日子里平静下来。
47319,UgzBjxAQxko9UESdin94AaABAg,43,"it's chinese new year 2 days later, the most important day for all chinese every year no matter where they are(if chinese astronauts someday could land mars, it still is). for kids , elder relatives will give them small amount of money(压岁钱) to repress their growing older, that's a tradition with many blessing meanings. the whole family will stay awake the whole night of new year's eve, enjoy feast，watch shows, play fireworks.",两天后，这是农历新年，这是每年最重要的一天，无论他们身在何处（如果有一天中国宇航员有一天可以登陆火星，那仍然是）。对于孩子来说，老年亲戚会给他们少量的钱（压岁压岁）来压制他们的年龄较大，这是一种具有许多祝福的传统。全家人将在除夕整个晚上保持清醒，享受盛宴，表演，玩烟花。
