,cid,votes,含happy,含happy中文翻译
25334,UgwJVpehKaKELcdYy8p4AaABAg,692,"when uncle opened the corn popper ziqi runs to cover grandma's ears, then jumps and screams herself.
this was so cute, how can i not smile and be happy๐๐’•","当叔叔打开玉米流浪汉时，Ziqi跑来遮盖奶奶的耳朵，然后跳跃并尖叫。
这太可爱了，我怎么不能微笑和快乐"
26233,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8znuQleTe5O,618,depression is hard but every positive step forward is getting you closer to complete healing. keep going and iโ€m happy that you have found something that helps you.,抑郁症很难，但前进的每一步都使您更加接近完整的康复。继续前进，我很高兴您找到了帮助您的东西。
50189,UgzC_AYMc9iKQDw54AR4AaABAg,235,"happy chinese new year.
happy new year!","Happy Chinese New Year.
新年快乐！"
31186,UgxBPmGw0xIG1aIl6ZF4AaABAg,225,"as a chinese,i am really happy to see people from different countries appreciate and love ziqi's video.",作为中国人，我真的很高兴看到来自不同国家的人们欣赏并喜欢Ziqi的视频。
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,"im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on youtube after i randomly searched chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
50888,UgxmG2wdFYPjiTnHSth4AaABAg,176,"happy chinese new year beautiful lady and to popo 

i'm so inlove with all your videos... well done","春节快乐美丽的女士和popo

我对你所有的视频都很热爱...做得好"
5930,UgwjlnP3486XOBXq4ux4AaABAg,173,"happy idulfitri 1442 h. minal aidin wal faidzin, apologize physically and mentally",Happy Idulfitri 1442 H. Minal Aidin Wal Faidzin，身体和精神上道歉
29764,UgxN4R5bsoOD2G__EjZ4AaABAg,171,i followed her for many years and so happy everybody over here likes her,我跟随她多年了，在这里大家都很高兴喜欢她
52519,UgwbP6W2HBDiHTTV3UV4AaABAg,171,i want to wish you happy chinese year,我想祝你中国快乐
47849,UgwWCOWPTTkmpP0vtDJ4AaABAg,167,happy chinese new year am from ethiopia,埃塞俄比亚的农历新年快乐
14591,UgyL8ZC4sr-CLXxfCap4AaABAg,151,"hawthorn red, apple round, rock sugar gourd in a string. sesame crispy, malt sweet, peanut sugar is full.
the chestnut fragrance, the mango fresh, the pot in the pot, baked a few times. strawberry jujube slices of small biscuits, snowflake crispy cakes are rampant.
stewed meat, sprinkled with salt and pepper, spicy hand tearing beef jerky. covering your ears, jumping joyfully, popcorn, the sound of popcorn reported peace.
gourd seeds, peanuts, crispy egg roll chopsticks. grapefruit fragrance, sweet orange, mango pouring honey is warm.
carefully packaged over and over again, happy and happy ~ new ~ year!","山楂红，苹果圆，冰糖葫芦一串串。 芝麻脆，麦芽甜，花生软糖装满盘。 
板栗香，芒果鲜，锅盖窑里烤几番。 草莓枣片小饼干，雪花酥糕惹人馋。 
肉炖软，撒椒盐，麻辣手撕牛肉干。 捂耳叫，跳得欢，爆米花声报平安。 
瓜子翻，花生掀，香酥蛋卷筷子转。 柚子香，桔子甜，芒果淋蜜显温暖。 
精心包装一遍遍，快快乐乐迎～新～年！"
