,cid,votes,time,含great,含great中文翻译
36892,UgzN7p7-TQIOSwyyhr14AaABAg,429,4 years ago,i 'm coming across the great wall just to meet this lady.,我是为了遇到这位女士而遇到长城。
29830,UgzwLAANTk5m3qE9Vcp4AaABAg,342,3 years ago,"i am egyptian, i have 14 years. but i believe that the chinese are the best people in the world. i am talking about arabic, but i translate it into chinese and let the chinese understand. i love china and china, and i have been looking forward to all news from this great country in china. this is a very great country.",我是埃及人，我有14年。但我相信中国人是全世界最好的人。我说的是阿拉伯语，但是我把它翻译成中文，让中国人理解。我热爱中国和中国，我一直期待中国这个伟大国家的所有新闻，这是一个非常伟大的国家。
43470,Ugzo1FOEREGiFyITaGd4AaABAg,283,4 years ago (edited),"she should become the brand ambassador of the united nations framework convention on climate change (unfccc). she is inspiring millions of people around the globe to opt for more sustainable and organic living. i wish and pray that her efforts reach larger and larger audience with each passing day and she becomes an agent of great changes in future! 

she is the daughter of nature! 
long live the princess !

love :-)","她应该成为《气候变化》（UNFCCC）的联合国框架大使的品牌大使。她激发了全球数百万的人，以选择更可持续和有机的生活。我希望并祈祷她的努力每天都在吸引越来越多的观众，她成为未来发生巨大变化的代理人！

她是大自然的女儿！
公主万岁！

爱 ：-）"
45015,UgxNs8qvFiR-KIlgJVJ4AaABAg,199,4 years ago,natural but great production.,天然但出色的产量。
32343,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w15EJhWCZD,181,4 years ago,great...now she is stuck on a island with you. what did she do to you? lol,太好了...现在她和你一起被困在一个岛上。她对你做了什么？哈哈
41786,Ugx6ZVJLnuxcK0AkkaB4AaABAg,169,4 years ago,"patience, compassion and simplicity are the greatest treasure in man.",耐心，同情和简单是人中最伟大的宝藏。
21649,Ugz8JcIkTaDadZUfaAt4AaABAg,133,3 years ago,"the rural girls in a mountain in mianyang, sichuan, my hometown, lost their parents in a few years, and brought them by grandparents. life was bumpy, but through hard work, she succeeded, and a great child.",我家乡四川绵阳一大山里的农村女孩，几岁就失去父母，由爷爷奶奶带大。一生坎坷，但她通过努力，成功了，很了不起的孩子。
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,3 years ago (edited),"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
26723,Ugz6QOTzmnKwsIwRGnZ4AaABAg,75,3 years ago (edited),"the picture quality is so good. not to forget, this girlโ€s cooking and handicrafts skill is great too.",图片质量太好了。不要忘记，这个女孩的烹饪和手工艺技能也很棒。
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,4 years ago,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
