,cid,votes,time,含sharing,含sharing中文翻译
31115,Ugw2WElkzBoP_jXGvpJ4AaABAg,373,3 years ago,"i always love your videos! soothing to the spirit. i wish you had the recipes in english. i want to make them so bad! maybe you can create a cookbook and publish it in various languages. living near seattle, washington in the united states, i know i could find all the ingredients in our international district. thank you so much for sharing one aspect of your beautiful life with us.",我总是喜欢你的视频！抚慰圣灵。希望您有英语食谱。我想让它们如此糟糕！也许您可以创建一本食谱并以各种语言发布。居住在美国华盛顿的西雅图附近，我知道我可以在国际区找到所有成分。非常感谢您与我们分享美丽生活的一个方面。
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
27640,Ugw7ELr8s9-jBJQO1M94AaABAg,68,3 years ago,omg you have a little paradise there...thanks for sharing!,天哪，您在那里有一点天堂...感谢您的分享！
3909,UgxgK05InVePyfFVu_14AaABAg,62,2 years ago,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
30093,UgxqdRKZj8iudjgcdM94AaABAg,24,3 years ago,thankyou for sharing your gifts with the world,谢谢您与世界分享您的礼物
11097,UgwFBvWUt-BC74PMeiJ4AaABAg,13,3 years ago,"i really loved all your videos! being indonesian we have similar culture, work ethic and the love of cooking. thank you so very much far sharing it with us!",我真的很喜欢您的所有视频！作为印尼人，我们具有相似的文化，职业道德和对烹饪的热爱。非常感谢您与我们分享！
31692,Ugzwq0QZyJaOcraGqYh4AaABAg,9,3 years ago,this meal looks absolutely delicious and healthy. thanks for sharing. this video shows great respect for the wonderful foods on earth and how we can present them.,这顿饭看起来绝对美味又健康。感谢分享。该视频非常尊重地球上美妙的食物以及我们如何展示它们。
126,UgzZOnu68sFynRTPH6t4AaABAg,5,1 month ago,李子柒 has been a real inspiration for us. she did a wonderful job of sharing her countryside living channel before some scummy people took her hard work and monetized themselves while ruining her. i hope she'll well.,李子柒对我们来说是一个真正的灵感。在一些笨拙的人们努力工作并在破坏她的同时，她努力工作，在分享自己的乡村生活频道方面做得非常出色。我希望她会很好。
33117,Ugw9aKFd2yoU0UK_Q914AaABAg,5,3 years ago,"ziyi, envious you can live in nature, can absorb the energy of nature every day, eat organic food, thank you for sharing the beauty of nature with us.",子柒，好羡慕你能在大自然中生活，每天能吸收大自然的能量，吃有机食物，谢谢你分享给我们大自然的美。
29450,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yah6grt-cp,4,3 years ago,boyu xu: there is a lot of bamboos out there and she only get a tiny piece of it. i bet you don't know the word called sharing. don't be none sense!,Boyu Xu：那里有很多竹子，她只得到了一小部分。我敢打赌，您不知道称为共享的单词。不要没有任何感觉！
31007,Ugy_fCyx53bR6kPFoLF4AaABAg,4,3 years ago,love your videos .... you are true inspiration and motivation. thank you so much for sharing your amazing and magical life with us ....,热爱您的视频。...您是真正的灵感和动力。非常感谢您与我们分享您的神奇生活。
32985,Ugx8POQtaPCweV6mccp4AaABAg,4,3 years ago,"thank you for sharing with us your beautiful culture, it amazes me and gain my respect more for chinese, they’re so hard working and patient. i enjoy so much watching your videos",感谢您与我们分享您美丽的文化，这使我惊讶，并更加尊重中文，他们是如此努力和耐心。我非常喜欢看你的视频
