,cid,votes,含fuck,含fuck中文翻译
21033,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94JLPWyaBNl,24,nolan beatrolyn this woman is chinese you dumb fuck.,诺兰·比阿特罗（Nolan Beatrolyn）这个女人是中国人，你愚蠢的他妈的。
44288,Ugx8g4i-WT3sPQMGcvh4AaABAg,20,it looks like it's all calm in this fucking,在这个他妈的中看起来一切都很平静
35406,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j8vRe_2h-ZJH,11,"lmao they only say she slaughter them because sheโ€s chinese fucking racism, wake up itโ€s 2019.",lmao他们只说她屠杀了他们，因为她是中国他妈的种族主义，醒来是2019年。
32492,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18xHZ59m9-aX,7,@ultramaryna00 yeah you are fucking dumb more than enough,@ultramaryna00是的
35028,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vDpXLBJozu,6,she is an actor and this whole series of hers is a fucking sham.,她是一个演员，整个她的整个系列都是一个他妈的假。
23104,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ933YSNcGUFS,5,dank sinatra what the fuck dude? you are disgusting,Dank Sinatra是什么他妈的伙计？你令人厌恶
12638,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D4re0HK1O8,4,"@hayleyhyj525 didn't i tell you to shut the fuck up? first you assumed i was hating on chinese people and being racist against them. and when i put you in your place for being a fucking racist to me who is by the fucking way! of chinese descent you are now attacking someone else who is speaking the same message against the government. the chinese government is suppressing it's people. stop playing the fucking victim and shut the fuck up. you think i don't go through the same racist shit people are throwing at me for looking asian in an american country? sit the fuck down, cause you are the problem.",@hayleyhyj525我不是告诉你闭嘴吗？首先，您认为我讨厌中国人，并对他们进行种族主义。当我把你放在你的位置时，你是个他妈的种族主义者，他是他妈的的方式！在中国血统中，您现在正在攻击其他人对政府发出相同信息的人。中国政府正在压制人民。停止玩他妈的受害者，闭嘴。您认为我不会因为在一个美国国家寻找亚洲人而扔给我的种族主义狗屎吗？坐下，因为你是问题所在。
12634,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0xHdjGMsF,3,@hayleyhyj525 bitch my grandmother is chinese. why would i fucking hate on chinese people? sit the fuck down.,@hayleyhyj525我的祖母是中国人。我为什么要讨厌中国人？坐下。
14490,UgzsabbtfW3TuqWsXKF4AaABAg.9Ad3LSeJ3QA9AquTjLaSBi,3,fuckin yaassssss,他妈的yaasssss
14225,Ugy3jpKvVKCyGBN4k5V4AaABAg.9AvrS6mrmOC9BUHwsGj_N5,3,yuri i think schools overrated yes they teach you but half the shit they teach is useless like why do i need to know who hitler is i’m not becoming a historian and bullying the schools do nothing about it and now the stupid zero tolerance makes it so if you are getting bullied and fight back your gonna get in trouble so fuck school it horrible and overrated and it’s the cause of a lot of suicides because teachers and students suck,尤里（Yuri）我认为学校高估了，是的，他们教了你，但是他们所教的一半是毫无用处因此，如果您被欺负并反击您会遇到麻烦，那么他妈的上学可怕和被高估，这是造成很多自杀的原因，因为老师和学生很烂
37522,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN8uPTEkytkhd,3,"why do people have to ruin good comments by adding 'like if u agree' things, just fuck off.",为什么人们必须通过添加“像您同意”的事情来破坏好评论，只是滚蛋。
19170,Ugz7GfDlR4YeU4t_6r14AaABAg.967vXqxs2yP96pPnrVcQxR,2,@alialsibaie could you kindly shut the fuck up,@alialsibaie你能闭嘴
17628,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98FxJmOmwbZ,2,@heardistance shut the fuck up man no one wants to read your wisecrack comments keep them to yourself,@heardistance关闭他妈的男人，没人想阅读您的智慧评论将它们保留给自己
16489,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l99ZRUNbFiAG,2,how the fuck is it better? you have to work all day to prepare a little bit of food. it's nonsense.,他妈的好吗？您必须整天工作才能准备一些食物。这是胡说八道。
26269,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-18YrCmBjg,2,that's fuckin tight!!,那是他妈的！
35046,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vIQGfPOKhb,2,@gf6368 go fuck yourself,@gf6368去他妈的你自己
41043,UgynLuqgpcvjQ3humNx4AaABAg,2,"what is it, fucking, it was ...",是什么，他妈的，是...
23032,UgyybRTdtg5YjYy9pB94AaABAg,2,17k dislikes? ๐€ fuck those 17k people.,17k不喜欢？
31912,Ugy26kHZRpAtPureSWN4AaABAg,2,"9:49 so fucking adorable. and also, damn, this is how life supposed to be.",9:49太可爱了。而且，该死，这就是生活应该的样子。
12151,Ugzkz5SC2EcREeVLOeR4AaABAg.9Da4yXOGS1o9E0meNw_OzK,2,but the fuck she does everything silently,但是他妈的她默默地做了一切
19702,Ugw8zVfijnF81fkgXTV4AaABAg,1,i want to visit this place ... lovely ❤️❤️ heaven on the earth ...i'm stuck of this city and its pollution and fucking office work.. really i ❤️ their work,我想去这个地方...可爱的❤️❤️天堂在地球上...我被这座城市及其污染和他妈的办公室工作。
31554,Ugz5w3QKLIkyFE_dwZ14AaABAg,1,this is so over produced that feels fake as fuck,这真是太生产了，感觉像他妈的
