,cid,votes,time,含like,含like中文翻译
11532,UgwOKaIWeB3nIXK7cUJ4AaABAg,1800,3 years ago,"i would like to say one thing, you have a best cameraman. one like to cameraman ❤",我想说一件事，你有一个最好的摄影师。一个喜欢摄影师❤
15368,UgxM6M0zpu3k7SD32RR4AaABAg,1700,3 years ago (edited),the whole thing just looks like a fairytale.... isn't it?,整个事情看起来像个童话。...不是吗？
28516,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yaXBjP5kIe,1400,3 years ago,@franzpeters3824 you have a problem with people not speaking english? what's your problem? don't watch it if you dislike her....,@franzpeters3824您对不说英语的人有问题吗？你怎么了？如果您不喜欢她，请不要看。
19925,Ugy64b8Tc-CR9fv_DdR4AaABAg,807,3 years ago,why are there 10k dislikes ..like people her videos are extremely aesthetic and calming and a lot of effort is required for these videos and she's feeding her grandma and giving us amazing content. why would you dislike this :(,为什么有10k的不喜欢。就像她的视频非常美观和平静，这些视频需要付出很多努力，她正在喂奶，并给我们提供了惊人的内容。你为什么不喜欢这个:(
16114,UgwQmwt3bLXwye3i6Xp4AaABAg,784,3 years ago,"i think every kid should have a relative that has a ranch or farm something like that, and experience life and joy that’s entirely different from the fast pace city life, and that you need to put effort to learn and grow something of your own",我认为每个孩子都应该有一个牧场或耕种类似的亲戚，并且体验与快速速度城市生活完全不同的生活和喜悦，并且您需要付出努力来学习和成长自己的东西
10632,UgxqSpb3Gk81b3ZvGH54AaABAg,765,3 years ago,"in a world obsessed with money, violence, drugs, sex... she is like a light in a dark forest, a breath of fresh air amidst all the pollution of modern life.",在一个痴迷于金钱，暴力，毒品，性爱的世界中……她就像一片黑暗的森林中的光明，在现代生活的所有污染中呼吸新鲜空气。
3940,UgzddFErU7M5OM42IZ94AaABAg,728,2 years ago,i feel like everything i know about life is wrong. this is what life supposed to look like!,我觉得我对生活的一切都错了。这就是生活应该的样子！
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,1 year ago (edited),"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
32865,UgxN7NFGjJrEc7efRWd4AaABAg,621,3 years ago,i don't know why but when i get notification of her vedio automatically i feel relax myself all my tensions get away for a while . any one else feels like me then hit like,我不知道为什么，但是当我自动收到她的吠陀通知时，我感到放松自己的所有紧张局势暂时摆脱了一段时间。任何其他人都喜欢我，然后像我一样击中
8439,UgziVro46SrJlBxVm494AaABAg,528,2 years ago,who is addicted to liziqi's videos like me,谁沉迷于像我这样的liziqi的视频
14446,UgwC1BG8OG690PtX4iB4AaABAg,482,3 years ago,its like watching those studio ghibli movies. its very nostalgic.,就像看那些吉卜力录音室电影一样。它非常怀旧。
6320,UgzrOgipSKHwc8hEvCV4AaABAg,428,2 years ago,"my name is hrithika from kerala ,india.iam only 8 years old.my sister is typing this for me. iam your great fan ๐.i wish to make a land like yours",我叫来自印度喀拉拉邦的Hrithika。我的姐姐只有8岁。 iam你的忠实粉丝
29433,UgzV5SRrEU2-VIvbK7h4AaABAg,417,3 years ago,"panda a: that girl comes again, who cut our bamboo last time to make her furniture! this time she evens eats it!
panda b: damn! let’s go dislike her on youtube!
hence the dislikes.","熊猫A：那个女孩又来了，她上次砍了我们的竹子来制作家具！这次她逃避了！
熊猫B：该死！让我们在YouTube上不喜欢她！
因此，不喜欢。"
12993,Ugwl6sRonzHw35234nV4AaABAg,406,3 years ago,"imagine a world like this, no plastic no msg no adulteration full of green and nature providing everything for us",想象一个这样的世界，没有塑料没有味精，没有充满绿色的掺假，自然为我们提供了一切
31717,UgzXGcQUxZHhzvFjDeR4AaABAg,400,3 years ago (edited),"i accidently pressed this video 
and.....



it was my best mistake everrr 


edit:jezzz 300+ likes?!
by the way i'm new here","我不小心按下了这个视频
和.....



这是我最好的错误


编辑：jezzz 300+喜欢？
顺便说一句，我在这里新来"
5612,UgwpUI0m8Mk-QT1ICNl4AaABAg,388,2 years ago,"if you don't like this, there's something wrong with you.",如果您不喜欢这个，那么您有问题。
11115,UgxS3m6P5-5nxlPHYY94AaABAg,380,3 years ago,every time i think she’s done she does like ten more things,每次我认为她已经完成了，她都会喜欢十件事
18207,UgzsHZsR0J2sPs3rcJV4AaABAg,317,3 years ago,she made gordon ramsey looks like a complete donkey,她让戈登·拉姆齐看起来像个完整的驴子
16775,UgxjySQyWB6VBun_lLt4AaABAg,312,3 years ago,why would someone dislike this? i literally can’t think of any reason,为什么有人会不喜欢这个？我从字面上想到任何原因
20124,Ugy2JIei5Rk0MEDBhgF4AaABAg,277,3 years ago (edited),imagine the world started to live like this with high buildings inside woods.,想象一下，世界开始像树林内的高建筑物一样生活。
9124,UgxfZGWrlWvdO6E-l814AaABAg,232,2 years ago,it just looks like she lives in a historical chinese drama hahaha,看起来她生活在一部历史悠久的中国戏剧《哈哈哈》中
