,cid,votes,time,含hero,含hero中文翻译
21583,UgySwho-EzdlrZj87G94AaABAg,434,3 years ago,dude she would be a good studio ghibli heroine..,杜德，她将成为一个很好的工作室吉卜力女英雄。
37303,Ugz6mbRxUYbd8kXFoBN4AaABAg,204,4 years ago (edited),this like melted my heart. this is so beautiful. she's like a real life heroine of a drama. her life is so romantic.,这就像融化了我的心。这真是太美了。她就像一部现实生活中的女主角。她的生活是如此浪漫。
24639,UgzQ0dx0dwRRA6NXgQN4AaABAg,52,3 years ago,she's like one heroine character straight out of ghibli world,她就像一个女英雄角色直接从吉卜力世界出来
33761,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vcBGj-LTD8,20,4 years ago,"the ethnos exists everywhere. people get so obsessed with trying to be a hero, everyone ends up either out of their league, or alone in this success. kinships must be built. we can have this too.",民族无处不在。人们非常着迷于试图成为英雄，每个人都最终脱离了联盟，或者独自一人取得了成功。必须建立亲属关系。我们也可以拥有。
22457,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93N-OpVdmYy,9,3 years ago,"โ€ @theroyalfight lol, she's a wealthy lifestyle blogger nowadays. a video with 1 million views can make $3000 โ€“ $7000 in adsense and she gets several million views per upload along with accumulating views. so that's a little bit of a stretch to act like shes actually roughing it, but nevertheless i love her and shes very talented and her and her grandmothers land is beautiful.",@theroyalfight大声笑，她是当今富裕的生活方式博客作者。一百万次观看次数的视频可以使$ 3000 - $ 7000的Adsense录制，她每个上传获得数百万次观看次数以及累积的观看次数。因此，这有点像她实际上是在粗糙的，但是我爱她，她非常有才华，她和她的祖母的土地很美。
14615,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AgqP_Zcrzo,4,2 years ago,"@user-ce5xg9ko6m ohhahaha, the title of the film is really good, from time to time, you have to come and look at it. it's too delicious. look at the big screen super comfortable. the heroine should win the academy award.
7 brothers vividly and appropriate text descriptions are particularly powerful. essence essence princess qi is coming to take this person into the team and play.","@user-ce5xg9ko6m 呵呵哈哈哈，片名取得真好，时不时就要来重看一下的，太有滋味了这部，看大屏幕超舒心，女主角很该得奥斯卡奖的
7兄生动贴切的文字描述特厉害。 。 。柒公主快来将此人揽入团队效力呀"
29273,UgxFnfqq4OFtZhQBTsh4AaABAg,3,3 years ago,"with a sweetness like her, you'll never go hungry. or complain you eat the same stuff over and over. i've never seen so much mad skills and talent in just one person. she's truly my hero๐๐’•๐’•๐’•.",像她一样的甜蜜，您永远不会饿。或抱怨您一遍又一遍地吃同样的东西。我从来没有看到过如此多的疯狂技能和才华。她确实是我的英雄。
39148,Ugxusw9kTf3tT2823TV4AaABAg,2,4 years ago,"it is not easy to edit this peaceful program. it needs to be close to a gas field to achieve it. each category is just right.
very good, thank you for sharing :) calm, quiet, gentle and comfortable, wisdom, i also see the wisdom of quaint folk, praise !!!! very healing the injuries brought by the city!

i prefer the temperament of the heroine when i don't deliberately dress up with light makeup! very clip! like! ^^
really done ... can stay away from the hustle and bustle for a while,
specific display ... it can be lived, simple, simple and natural, but also live neat and comfortable (although it is not easy)
being able to surround the mountains of gaoli water every day, the air is fresh, the mountains are full of flowers and precious medicinal materials, and the mountains are used to tell the mountains.
you can also choose intermittently .... contacted with today's scientific and technological life ...
if there is a harmonious companion, chun went to qiulai to support the old, this kind of life ... no demand !!!
looking ... watching .... live in the taiji gas field health ... this film is indeed ... rare soul health soup! thank you for sharing :)","编一辑这宁心的节目, 真不容易, 需要有接近的气场走在一起才能成就, 每一范畴每一个配合刚刚好, 
很好佷好, 多谢分享:) 从容, 恬静, 轻柔舒服, 智慧, 还见识到古朴民间的智慧, 赞!!!! 很治愈都市带来的伤!

较喜欢女主角不刻意装扮淡妆时的气质! 很夹! 赞!^^ 
真的做到了...可远离尘嚣一会, 
具体展现了...可以活得既古朴简单自然的同时, 又能整洁舒适不匮乏地生活着 (虽不太易) 
能每天环抱高山高丽水而居, 空气清新, 山峦满是鲜花鲜果及珍贵药材, 用画面诉说了靠山食山, 
又能间歇地选择....与现今科技生活联系着.....看日出观日落, 看银河晚星,! 依四时阴阳作息! 还何求!! 
若有位和谐伴侣春去秋来恩爱扶持到老, 这种生活...无求矣!!! 
看着...看着....活像进入了太极气场养生里...这片的确是...难得心灵养生汤! Thank you for sharing :)"
11906,Ugy__xvH0iVBoIvdTn54AaABAg,1,2 years ago,"she behaves like a k drama heroine
lovely ๐’•๐’•๐’•๐’•๐’•","她的行为就像是K戏剧女主角
可爱"
7992,Ugzy0z8KhmhX_N3mkUJ4AaABAg,1,2 years ago,"and one saying, wash wash in arabic, toma, hero, hahaha",一句话，用阿拉伯语，toma，英雄，哈哈哈洗涤
