,cid,votes,time,含real,含real中文翻译
36655,UgylTM1tk7rRFvWtYkJ4AaABAg,2500,4 years ago,"1. she is so beautiful :3

2. she doing really cool things

3. she has so cute animals

4.she can do thinks alone too","1.她是如此美丽：3

2.她做的很酷的事情

3.她有这么可爱的动物

4.她也可以独自一人"
31761,UgxL-fjCbDcECDnrR6N4AaABAg,2000,4 years ago,even a baby sheep follows her around... this really makes me rethink how i'm living.,即使是一只婴儿绵羊也跟随她……这确实使我重新思考自己的生活。
34768,UgyQpM0HVnaBQhUMEap4AaABAg,1900,4 years ago,"bro she really living life like that, and i'm out hear stressing away for uni exams woooooow",兄弟，她真的像那样过着那样的生活，我听到我为Uni考试感到压力
16456,UgzO7Q9LG_oAD2wUg3p4AaABAg,1300,3 years ago (edited),if only people would realize that this kind of life is better than living in luxury,如果只有人们意识到这种生活比生活在奢侈品中更好
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,3 years ago (edited),"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
15197,UgyHTBxfbnOo063npyt4AaABAg,752,3 years ago,i feel like i'm watching a real life ghibli studio anime.. damn,我觉得我正在看现实生活中的吉卜力工作室动漫。
42621,UgxpAuke_Y_UjO6Tiot4AaABAg,722,4 years ago,"is this real, is this paradise, is she an angel...this is so very beautiful...",这是真实的吗，是天堂，是她的天使...这太漂亮了...
11044,UgzdqJXifDp179lYdYp4AaABAg,693,2 years ago,"wow, canโ€t believe what i am watching. itโ€s like watching a fairytale in real life!",哇，不敢相信我在看什么。就像在现实生活中观看童话！
44817,UgwNTe2WFTfUb04XLBB4AaABAg,662,4 years ago,this is really high quality!,这确实是高质量的！
30492,UgyySwGmDvOFkuceh9F4AaABAg,474,3 years ago,who is this angel like person living in heaven? is it some drama or real..its too good to be true,这个天使是谁，就像住在天堂里的人？这是一些戏剧还是真实的..它太好了，无法实现
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,2 years ago (edited),"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
777,UgyRITwQZG9tKfNwfy94AaABAg,361,5 months ago,i come back to all your videos again and again until you come back with new videos. hope you're okay. i really miss you. you've been a big part of my life. take care,我一次又一次地回到您的所有视频，直到您回来新视频。希望你还好。我真的好想你。你是我一生的重要组成部分。照顾好
