,cid,votes,time,含perfect,含perfect中文翻译
33062,Ugx-R9NU-I2dISe7SLN4AaABAg,145,3 years ago,"nature, colors, fruits, clothes, your grandmother and of course you how everything is so perfect",大自然，颜色，水果，衣服，您的祖母，当然还有一切都如此完美
11553,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97v3ZT0OXyN,71,3 years ago,"riya guria after june, 2017, she hired the cameraman and a young assistant. before that, she was a one girl team and did exactly what you said to finish the shooting tasks. almost impossible while she made it with her incredible persistence. as for the proof, she showed all the raw materials on chinese webo, a chinese social media platform. one perfect scene may just come from tens of reshoots, especially when she did it alone at the time. and those early elaborate masterworks make her videos go viral.",Riya Guria在2017年6月之后，聘请了摄影师和年轻助手。在此之前，她是一个女团队，并按照您所说的完成射击任务。当她以她令人难以置信的毅力做到这一点时，几乎是不可能的。至于证明，她在中国社交媒体平台中国韦伯（Webo）上展示了所有原材料。一个完美的场景可能来自数十个重新拍摄，尤其是当她当时独自做的时候。那些早期精心制作的杰作使她的视频传播开来。
28198,UgzvUXzlx4Hpc_AfBAB4AaABAg,71,3 years ago,i wonder who makes the videos.. they have such perfect cinematography..,我想知道谁制作了视频..他们有如此完美的摄影。
15931,UgwcK6zy11A5K3QHuZl4AaABAg,64,3 years ago,"the most amazing are her beautiful hands, impossible to believe that she performs so much labor. first of all it tells that she has a perfect control of her very skillful hands, correct grip of every tool, perfect coordination and rhythm, accuracy, experience. my farther was also that way: he was an amateur carpenter, a gardener, an artist, he could fix anything and yet i don't remember a single bristle, a cut of injury to his hands: they were handsome, strong always implacably clean hands of a man and a creator.",最神奇的是她美丽的手，不可能相信她的劳动如此之多。首先，它告诉她她对自己非常熟练的手，正确控制每个工具，完美的协调和节奏，准确性，经验。我的距离也是如此：他是一个业余木匠，一个园丁，一个艺术家，他可以修复任何东西，但我不记得一个毛刺，他的手割伤了：他们很帅，坚强总是很干净男人和创造者的手。
19900,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91MlDGAsziC,35,3 years ago,"nah no one deserved her, shes too perfect",不，没有人应得的，她太完美了
17399,UgyjpfesSPuwYp3Fnw14AaABAg,33,3 years ago,i don’t know what to say just everything is so perfect and nature,我不知道该说些什么，一切都是如此完美和自然
8209,Ugwi18Z3V3i04kFFVG54AaABAg,33,2 years ago,"i love cooking n this video is wonderful, everything scene is traditional or very old skool .perfect film",我喜欢烹饪n这个视频很棒，所有场景都是传统的或非常古老的。完美的电影
13989,UgxQ0ijZvbspl30fZHd4AaABAg,28,3 years ago (edited),she is living my dreams!!! their way of life is beautiful and perfect!!! the way god meant it to be for us all !!!,她正在实现我的梦想！！！他们的生活方式是美丽而完美的！！！上帝意味着对我们所有人的意义！！！
5214,Ugwe-7KTJMyn1qujNSl4AaABAg,21,2 years ago,she masters everything to perfection,她掌握了一切完美
33520,UgzGXtm4OPuQrqpm-2J4AaABAg,21,3 years ago,"li ziqi , the princess of nature, the quintessence of perfection ...",Li Ziqi，自然公主，完美的精髓...
33053,Ugx7ioagsBZN6Pn4i414AaABAg,18,3 years ago,waaah! that pot of noodles is perfect to end the day!..,哇！那锅面条非常适合结束一天！
17301,UgwE2kJ033T-s7sPYQF4AaABAg,14,3 years ago,"the food,the mood,scenery and the cinematography.
perfect.","食物，心情，风景和摄影。
完美的。"
34524,UgyUieem38jTnsuUj_x4AaABAg,14,3 years ago,"perfect, everything perfect... her so cute and beautiful. i love her and nature here",完美，一切完美...她如此可爱和美丽。我在这里爱她和自然
20313,Ugx6wfqqbyfeSS_RSpJ4AaABAg,13,3 years ago,"no one's life is perfect but her's is just beautiful, as beautiful as she is",没有人的生活是完美的，但她的生活很漂亮，就像她是
15749,UgytgF-MWXc3RDCoeKl4AaABAg,13,3 years ago,the most perfect human being that ever lived.,有史以来最完美的人。
18023,UgzZFcrlBTbopuNVj9d4AaABAg,13,3 years ago,this perfection is only in the video! don't spray!,这种完美只有在视频里！勿喷！
10655,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU7993jSt_c0nn,12,3 years ago,"below your comment, this guy @马xe, is one of those who doubt ziqi's videos' reality and firmly believe she has a large group of ppl who help her and train her do all those stuffs. he's one of those haters. i don't know why do they have to say words like this. maybe they are just so jealous. ziqi has pushed another video to explain how did she shot, edit videos and of course farm and cook nearly all by herself(https://www.youtube.com/watch?v=ovoslq-aep8). i just want to remind each ppl with kind heart who watch ziqi's videos. just don't believe every single word of those haters. i was a photographer, i know some techniques of shooting. i can notice some flaws in her video just as she mentioned in the link above, however i choose to ignore them because the entire video is soooo perfect. if she had a group of professional ppl who help her, those mistakes would never happen....definitely.",在您的评论下，这个家伙 @马XE是怀疑Ziqi视频的现实的人之一，坚信她有一大批PPL，可以帮助她并训练她做所有这些事情。他是那些仇恨者之一。我不知道为什么他们必须说这样的话。也许他们真嫉妒。 Ziqi推出了另一个视频，以解释她如何拍摄，编辑视频和当然的农场，并几乎独自烹饪（https://www.youtube.com/watch?v=ovoslq-aep8）。我只想提醒每个PPL，善良的心观看了Ziqi的视频。只是不要相信那些仇恨者的每个单词。我是摄影师，我知道一些射击技术。就像她在上面链接中提到的那样，我可以在她的视频中注意到一些缺陷，但是我选择忽略它们，因为整个视频非常完美。如果她有一群专业人士帮助她，那么这些错误就永远不会发生。
10905,UgyrqNFUsCUI5_HcrwF4AaABAg,11,3 years ago,"this is the first time i’m watching this! besides her cooking ,the camera work is just so perfect",这是我第一次看这个！除了她的烹饪外，相机的作品是如此完美
29106,UgzxhBZ9r-Ug4yKsHm54AaABAg,11,3 years ago,"who planted all of the massive fields? was it her family alone over the years, i wonder? every plant & shrub looks so healthy & green! the weather for growing must be perfect there. she never has a recipe or guide, just does from memory! ♥️ to watch her busy days.",谁种植了所有大型领域？这些年来，这是她一个人的家人吗？每种植物
13367,Ugxf_s_q7Zn2Y0ooqNV4AaABAg,9,3 years ago (edited),"aside from the super oily cooking and sometimes too much sweet, everything else is perfection and inspiring. the nature, the mountains, the gardens, the ingredients, the natural environment including appliances, your incredible skill in everything, your strength, the creativity.. the angles, and the video editing..well done~
the sound capturing of every activities is also amazing.. almost like asmr. beautiful background music. relaxing and beautiful.
you potray what you had said.. to show where the food we eat comes from. the works behind it. and the variety of the nature.","除了超级油腻的烹饪，有时太甜了，其他一切都是完美和鼓舞人心的。大自然，山脉，花园，成分，自然环境，包括设备，您的一切都在一切方面，力量，创造力。
每个活动的声音捕获也很棒。几乎就像ASMR一样。美丽的背景音乐。放松和美丽。
您是您所说的话..以展示我们吃的食物来自何处。它背后的作品。以及自然的多样性。"
26307,UgwQnpWIGgxw_Aj3Qk14AaABAg,8,3 years ago,"you're pretty.. your daily life is full of cooking foods.. the perfect ""ibu rumah tangga"" house wife.. i have to learn from you",你很漂亮..你的日常生活充满了烹饪食物..完美的“ ibu rumah tangga”家庭妻子..我必须向你学习
