,cid,votes,time,含talent,含talent中文翻译
15918,UgyUcg5lm3-sjfxM1lx4AaABAg,446,3 years ago,me at 3 am: such talent i could never,我凌晨3点：我永远做不到的才华
23351,Ugz9HI_zDPTo0uC3k5J4AaABAg,252,3 years ago,"when heaven showered beauty and talents, she caught them all!",当天堂淋浴美丽和才华时，她抓住了所有人！
27344,Ugx1EZUxQB45OBd5gm14AaABAg,131,3 years ago,she’s one of the most amazing and talented girl i’ve ever seen on youtube.. she fed not only her granny but the soul of every viewers.. this is immortality i want to live in that place,她是我在YouTube上见过的最神奇，最有才华的女孩之一。她不仅喂饱了她的奶奶，而且喂饱了每个观众的灵魂。你和奶奶的力量..❤️
34245,Ugx5t6WgXk0zJSrTBg94AaABAg,129,3 years ago,"ziqi is the most talented and hardworking girl.
anyone agree with me","Ziqi是最有才华和勤奋的女孩。
任何人都同意我"
32958,UgzruOU4xd6unPIBz4d4AaABAg,40,3 years ago,"i wonder, how you carry yourself with so much talent 

lots and lots of love for you","我想知道，你是怎么带着这么多才华的

对你有很多爱心"
1139,UgzWZ2BTR2Ry40Eq34p4AaABAg,23,1 year ago,"she has got so much talent, can make everything, cook everything. god bless you. it is so satisfying to see your chores",她拥有如此多的才华，可以做到一切，煮一切。上帝祝福你。看到你的琐事真是令人满意
10248,UgyGiZ9fbnqIcHpup4p4AaABAg,19,3 years ago,drink afternoon tea and see li ziyi! intersection support girls with talented and talented!,喝着下午茶， 看看李子柒！！ 支持一下有爱有才的姑娘！
34230,UgzaM7zI_n1xws2q_gp4AaABAg,19,3 years ago,"oh god, and i thought i was talented!!!! we are nothing compared to her guys luv u liziqui from pakistan",哦，天哪，我以为我很有才华！！！与她的家伙相比，我们什么都不是巴基斯坦的Luv u Liziqui
11109,UgyU5DcrSTwyHceU6Ax4AaABAg,19,3 years ago,"her place,just like a real life ""paradise""..she's so talented,esp.in cooking,.fruits organic and,veggies.",她的位置就像现实生活中的“天堂”。她是如此有才华，尤其是在烹饪中，有机和蔬菜。
15518,UgzON0oBvF-QATs0XeB4AaABAg,17,3 years ago,"the most talented woman youtube, i have a great relaxing feeling when watching her make bamboo shoots.",最有才华的女人YouTube，看着她拍竹射击时，我的感觉很轻松。
24973,UgykG-Yypb4EG6iBiI54AaABAg,16,3 years ago,"in addition to ziyi's temperament and talent, i also have to praise the cameragers, editing, and color rectors (of course, may be the same person). especially for coloring, how do you feel so professional, so many people in the film and television industry are ashamed!",除了子柒的气质和才华，我还要专门赞一下摄像师、剪辑、调色师（当然有可能是同一个人）。尤其是调色，怎么感觉那么专业，让影视界很多人都汗颜！
3298,Ugw8-VIcwBKYj05k_-l4AaABAg,14,1 year ago,"she is so talented and work so quitly , appreciate her talent",她是如此有才华，工作如此谨慎，感谢她的才华
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
11915,Ugx7V6wRlZhTI1yXM_94AaABAg,13,3 years ago,i just to know who are these 15k dislike people...everything she do is just like a part of my fairytale stories but i can't get enough of her videos and talent......but its true that if you have talent and successful then you will definately have haters and people will try to bring you down.so if you read this comment then keep going.lots of love from india,我只是知道这些15k不喜欢的人是谁...她所做的一切都像我童话故事的一部分，但我无法获得她的视频和才华的足够才华横溢和成功，那么您一定会有仇恨者，人们会试图让您失望。因此，如果您阅读此评论，请继续前进。
